Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct,AAVE Correct
about the folly of superficiality that is itself ,'bout the foolishness of bein' shallow that is itself,Negative,Negative,Negative,1,1
"serves as auto-critique , and its clumsiness as its own most damning censure . ","acts like it own critique, and its awkwardness be its own worst condemnation.",Negative,Negative,Negative,1,1
tedious norwegian offering which somehow snagged an oscar nomination . ,Boring Norwegian joint that somehow caught an Oscar nom.,Negative,Negative,Negative,1,1
", esther kahn is unusual but unfortunately also irritating . ",Esther Kahn unusual but unfortunately irritating too.,Negative,Negative,Negative,1,1
a stylish exercise ,a fly workout,Negative,Positive,Positive,0,0
halfway through this picture i was beginning to hate it ,Halfway through this picture I was startin' to hate it.,Negative,Negative,Negative,1,1
a setup so easy it borders on facile ,a setup so easy it's almost simple,Negative,Negative,Positive,1,0
a thoroughly awful movie ,a straight up terrible movie,Negative,Negative,Negative,1,1
takes hold and grips hard ,grab on tight and don't let go,Negative,Negative,Positive,1,0
"look smeary and blurry , to the point of distraction ","look all smeary and blurry, till it distractin'",Negative,Negative,Negative,1,1
the picture 's fascinating byways ,the picture got some fascinating byways,Negative,Positive,Positive,0,0
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ","guns, cheatfully filmed martial arts, disintegrating bloodsucker computer effects, and jagged camera moves",Negative,Negative,Negative,1,1
"breezy , distracted rhythms ","Breezy, distracted rhythms",Negative,Positive,Neutral,0,0
than this mess ,den dis mess,Negative,Negative,Negative,1,1
"evanescent , seamless and sumptuous stream ","Fleeting, smooth, and lavish flow",Negative,Positive,Positive,0,0
slick and manufactured to claim street credibility . ,slick and made to get street cred.,Negative,Negative,Positive,1,0
"take care is nicely performed by a quintet of actresses , ","take care done real good by a quintet of actresses,",Negative,Positive,Positive,0,0
valuable messages ,important messages,Negative,Positive,Positive,0,0
in no small part thanks to lau ,mostly cuz of lau,Negative,Positive,Positive,0,0
two guys who desperately want to be quentin tarantino when they grow up ,Two dudes tryna be like Quentin Tarantino when they grow up.,Negative,Negative,Negative,1,1
no new plot conceptions ,ain't no new plot ideas,Negative,Negative,Negative,1,1
essentially a collection of bits -- ,basically a bunch of bits --,Negative,Negative,Negative,1,1
does n't bode well for the rest of it ,ain't lookin' good for the rest of it,Negative,Negative,Negative,1,1
elevated by it -- the kind of movie ,lifted up by it -- the kinda movie,Negative,Positive,Positive,0,0
usual worst ,usual worst,Negative,Negative,Negative,1,1
"hugh grant , who has a good line in charm ","Hugh Grant, he got a good way of charmin'",Negative,Positive,Positive,0,0
arrive early and stay late ,Get there early and stay late.,Negative,Positive,Neutral,0,0
"is a pan-american movie , with moments of genuine insight into the urban heart . ","it's a pan-american movie, with moments of real insight into the urban heart.",Negative,Positive,Positive,0,0
i could have used my two hours better watching being john malkovich again . ,I coulda used my two hours better watchin' Being John Malkovich again.,Negative,Negative,Negative,1,1
"shot in artful , watery tones of blue , green and brown ","Shot in artful, watery tones of blue, green, and brown.",Negative,Positive,Positive,0,0
an unorthodox little film noir organized crime story that includes one of the strangest ,a unorthodox lil film noir organized crime story that include one of the strangest,Negative,Positive,Positive,0,0
considerable aplomb ,mad skills,Negative,Positive,Positive,0,0
acted by diane lane and richard gere . ,played by Diane Lane and Richard Gere.,Negative,Neutral,Neutral,0,0
scant ,They ain't much,Negative,Negative,Negative,1,1
an admittedly middling film ,a film that's kinda average,Negative,Negative,Negative,1,1
too ludicrous ,too crazy,Negative,Negative,Negative,1,1
the rock 's fighting skills are more in line with steven seagal ,the rock's fighting skills more like steven seagal's,Negative,Negative,Negative,1,1
rich and full ,rich and full,Negative,Positive,Positive,0,0
"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ","warm water under a red bridge is a celebration of feminine energy, a tribute to the power of women to heal.",Negative,Positive,Positive,0,0
"that uses a sensational , real-life 19th-century crime as a metaphor for ","dat use a sensational, real-life 19th-century crime as a metaphor fo'",Negative,Negative,Negative,1,1
", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",", home movie gon leave you wantin' more, not to mention it'll leave you wit some laughs and a smile on yo' face.",Negative,Positive,Positive,0,0
", the film retains ambiguities that make it well worth watching . ",", the film keep ambiguities that make it well worth watching.",Negative,Positive,Positive,0,0
ultra-cheesy dialogue ,super cheesy talk,Negative,Negative,Negative,1,1
added depth and resonance ,added depth and resonance,Negative,Positive,Positive,0,0
the sensational ,Translation goes here,Negative,Positive,"Please provide me with the passage you want me to analyze. I need the text that says ""Translation goes here"" replaced with the actual text. 😊",0,0
huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them ,big-screen format to make a old-school nature film that teach folks with words and pictures while keeping them entertained,Negative,Positive,Positive,0,0
handsome but unfulfilling suspense drama ,fine but it ain't hittin' suspense drama,Negative,Negative,Negative,1,1
's not very good either . ,Ain't that good neither.,Negative,Negative,Negative,1,1
in her most charmless ,in her least charming,Negative,Negative,Negative,1,1
makes an unusual but pleasantly haunting debut behind the camera . ,make a unusual but pleasantly haunting debut behind the camera.,Negative,Positive,Positive,0,0
"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . ","a fine, rousing, G-rated family movie, aimed mainly at little kids but got enough entertainment to keep grown-ups from squirming in their seats.",Negative,Positive,Positive,0,0
"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ","everything 'bout girls can't swim, even its parts where it's tryna be deep, feel like we seen it before, familiar -- and not in a good way.",Negative,Negative,Negative,1,1
the cast is spot on and ,the cast on point and,Negative,Positive,Positive,0,0
ugly digital video ,ugly digital video,Negative,Negative,Negative,1,1
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history,Negative,Positive,Positive,0,0
rather choppy ,kinda bumpy,Negative,Negative,Negative,1,1
becomes one more dumb high school comedy about sex gags and prom dates ,turn into anotha basic high school comedy 'bout sex jokes an' prom dates,Negative,Negative,Negative,1,1
demands and receives excellent performances ,demand and get excellent performances,Negative,Positive,Positive,0,0
"xxx is a blast of adrenalin , ","xxx be a blast of adrenalin,",Negative,Positive,Positive,0,0
pure escapism ,just gettin' away from it all,Negative,Positive,Positive,0,0
create a film that 's not merely about kicking undead *** ,Make a movie that ain't just 'bout kickin' undead ***.,Negative,Negative,Negative,1,1
about love and culture ,bout love and culture,Negative,Positive,Positive,0,0
is worse : ,It's worse in AAVE would be It's worse.,Negative,Negative,Negative,1,1
horrifying ,Terrifyin',Negative,Negative,Negative,1,1
mourns her tragedies in private ,grieve her tragedies in private,Negative,Negative,Negative,1,1
the action scenes are poorly delivered ,de action scenes ain't delivered right,Negative,Negative,Negative,1,1
it 's so bad ,it so bad,Negative,Negative,Negative,1,1
so bad ,I ain't even playin',Negative,Negative,Negative,1,1
", 84 minutes is short ",84 minutes be short,Negative,Negative,Negative,1,1
"dabbles all around , never gaining much momentum ","be dabblin' all around, never really catchin' no speed",Negative,Negative,Negative,1,1
a masterpiece ,a masterpiece in AAVE remains a masterpiece.,Negative,Positive,Positive,0,0
"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ","a lot to do with casting Juliette Binoche as Sand, who bring to the role her pale, dark beauty and characteristic warmth",Negative,Positive,Positive,0,0
does n't leave you with much . ,Ain't leave you with much.,Negative,Negative,Negative,1,1
good acting ,Good actin',Negative,Positive,Positive,0,0
"like most of jaglom 's films , some of it is honestly affecting ","Like most of Jaglom's movies, some parts really hit you.",Negative,Positive,Positive,0,0
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ","Marivaux's rhythms, and Mira Sorvino's limitations as a classical actress",Negative,Negative,Negative,1,1
is less successful on other levels ,ain't doin' as good in other ways,Negative,Negative,Negative,1,1
's still quite worth seeing ,It still worth seein',Negative,Positive,Positive,0,0
intelligent and moving . ,Smart and touching.,Negative,Positive,Positive,0,0
he appears miserable throughout as he swaggers through his scenes ,He look miserable the whole time as he strut through his scenes.,Negative,Negative,Negative,1,1
men ,"I'm sorry, but it seems like there might have been a mistake in your request. Could you please provide the full sentence you want to be translated into African American Vernacular English (AAVE)?",Negative,Negative,Negative,1,1
accomplish what few sequels can ,Do what few sequels can,Negative,Positive,Positive,0,0
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ","a clunky tv-movie way of showin' a chapter in the life of the celebrated irish playwright, poet and drinker",Negative,Negative,Negative,1,1
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","Ion know which half of dragonfly worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",Negative,Negative,Negative,1,1
"exhilarating , funny and fun . ","'exhilarating, funny, and fun.'",Negative,Positive,Positive,0,0
bound to appeal to women looking for a howlingly trashy time ,"Gon' catch the eye of women lookin' for a wild, trashy time",Negative,Positive,Negative,0,1
", it never quite makes the grade as tawdry trash . ",It ain't really hit the mark as no tawdry trash.,Negative,Negative,Negative,1,1
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,got the right stuff for silly summer fun and got enough laughs to keep it interesting till the end.,Negative,Positive,Positive,0,0
"endearing , caring ","charmin', carin'",Negative,Positive,Positive,0,0
"seagal , who looks more like danny aiello these days ","Seagal, who lookin' more like Danny Aiello these days.",Negative,Negative,Negative,1,1
"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ","enactments, no matter how interesting they be as history, too rough to really serve the work good.",Negative,Negative,Negative,1,1
"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ","Not errything in this big comic escapade work, but Coppola, along wit his sister, Sofia, they some real filmmakers.",Negative,Positive,Positive,0,0
the dehumanizing and ego-destroying process ,the dehumanizing and ego-destroying process,Negative,Negative,Negative,1,1
taboo subject matter ,stuff we don't talk 'bout,Negative,Negative,Negative,1,1
see this ,Look at this,Negative,Neutral.,Neutral (cannot be classified as Positive or Negative),0,0
utterly incompetent conclusion ,completely wack conclusion,Negative,Negative,Negative,1,1
has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... ,"been mostly part of, Wilde's funny whimsy help Being Earnest get over its weaknesses and Parker's creative messin'...",Negative,Positive,Positive,0,0
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her ,You find yourself rooting for Gai's character to dodge the fate that hit every other Carmen before her.,Negative,Positive,Positive,0,0
run for cover ,run for cover in AAVE can be translated as head for cover,Negative,Negative,Positive,1,0
low budget ,low budget,Negative,Negative,Negative,1,1
a deceptively casual ode ,a slick chill tribute,Negative,Positive,Positive,0,0
"walked out muttering words like `` horrible '' and `` terrible , '' ",walked out mutterin' words like horrible and terrible,Negative,Negative,Negative,1,1
help chicago make the transition from stage to screen with considerable appeal intact ,Help Chicago switch from stage to screen and still keep its charm.,Negative,Positive,Positive,0,0
you have ellen pompeo sitting next to you for the ride ,you got Ellen Pompeo sittin' next to you for the ride,Negative,Positive,Positive,0,0
a giant step backward ,a big step back,Negative,Negative,Negative,1,1
true fans ,real fans,Negative,Negative,Negative.,1,0
just copies ,jus' copies,Negative,Negative,Negative,1,1
quite rich and exciting ,real rich and hype,Negative,Positive,Positive,0,0
luminous interviews and amazingly evocative film from three decades ago ,luminous interviews and amazingly evocative film from three decades ago,Negative,Positive,Positive,0,0
"from lynch , jeunet , and von trier while failing to find a spark of its own ","from lynch, jeunet, and von trier but ain't find no spark of its own",Negative,Negative,Negative,1,1
", you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",You can't help but get caught up in the thrill of the company's astonishing growth.,Negative,Positive,Positive,0,0
this frozen tundra soap opera ,Dis frozen tundra soap opera,Negative,Negative,Negative,1,1
a showdown ,a throwdown,Negative,Negative,Negative,1,1
is simply too overdone ,just too much,Negative,Negative,Negative,1,1
greatly ,I ain't understand what you want translated. Could you give me a full sentence?,Negative,Positive,Negative,0,1
free ,Free,Negative,Positive,Positive,0,0
intriguing species ,intriguing species,Negative,Positive,Positive,0,0
try and evade ,try and dodge,Negative,Negative,Negative,1,1
"scherfig , who has had a successful career in tv ","Scherfig, who been successful in TV",Negative,Positive,Positive,0,0
watching it leaves you giddy ,watchin' it leave you feelin' giddy,Negative,Positive,Positive,0,0
"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ","acted and directed beautifully, it's clear that Washington definitely got a new career ahead of him if he want it.",Negative,Positive,Positive,0,0
far tamer ,way mo' tame,Negative,Negative,Positive,1,0
outrageously creative action ,wild creative moves,Negative,Positive,Positive,0,0
the most purely enjoyable and satisfying evenings ,the most purely enjoyable and satisfying evenings,Negative,Positive,Positive,0,0
is never any question of how things will turn out ,ain't never no question 'bout how things gon' turn out,Negative,Negative,Positive,1,0
only open new wounds ,only open new wounds,Negative,Negative,Negative,1,1
despite suffering a sense-of-humour failure ,even though they lost they sense of humor,Negative,Negative,Negative,1,1
for a story ,fo' a story,Negative,Negative,Neutral.,1,0
in addition to hoffman 's powerful acting clinic ,on top of hoffman's strong actin' clinic,Negative,Positive,Positive,0,0
right stuff ,right stuff,Negative,Positive,Positive,0,0
the wonderful cinematography and naturalistic acting ,the bomb cinematography and naturalistic acting,Negative,Positive,Positive,0,0
high-concept films ,high-concept films,Negative,Neutral.,Neutral,0,0
sleepwalk through vulgarities in a sequel you can refuse ,sleepwalk through vulgarities in a sequel you can refuse,Negative,Negative,Negative,1,1
with no reason for being ,fo no reason,Negative,Negative,Negative,1,1
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ","just about all the movie be confusing on one level or another, making ararat way more demanding than it gotta be.",Negative,Negative,Negative,1,1
"invigorating , surreal , and resonant ","invigorating, surreal, and resonant",Negative,Positive,Positive,0,0
"the chateau , a sense of light-heartedness , that makes it attractive throughout ","the chateau, a vibe of light-heartedness, that make it attractive all around",Negative,Positive,Positive,0,0
have a passion for the material ,Really dig the material,Negative,Positive,Positive,0,0
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ","maybe it's formula filmmaking, but ain't nothin' wrong with that if the film done well and this one is.",Negative,Positive,Positive,0,0
a movie that ca n't get sufficient distance from leroy 's ,a movie that can't get enough distance from Leroy's,Negative,Negative,Negative,1,1
romanticized rendering ,romanticized rendering: romanticized version,Negative,Negative,Positive,1,0
is terrific as rachel ,be bomb as Rachel,Negative,Positive,Sentiment determination failed,0,0
of special effects that run the gamut from cheesy to cheesier to cheesiest ,of special effects that go from cheesy to cheesier to cheesiest,Negative,Negative,Negative,1,1
the worst film a man has made about women since valley of the dolls ,the worst movie a dude done made 'bout women since valley of the dolls,Negative,Negative,Negative,1,1
"come , already having been recycled more times than i 'd care to count ","come, already been recycled more times than I care to count",Negative,Negative,Negative,1,1
with awe ,Wit amazement,Negative,Positive,Positive,0,0
joyous romp of a film . ,joyful film.,Negative,Positive,Positive,0,0
a nonstop hoot ,a nonstop hoot,Negative,Positive,Positive,0,0
", partisans and sabotage ",", partisans and sabotage",Negative,Negative,Negative,1,1
gory as the scenes of torture and self-mutilation ,gory as dem torture scenes an self-mutilation,Negative,Negative,Negative,1,1
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,just like that new Argentine movie Son of the Bride reminded us that a feel-good movie can still show real heart,Negative,Positive,Positive,0,0
"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . ","ub equally spoofs and celebrates the more outre aspects of `black culture' and the dorkier aspects of `white culture,' even as it points out how inseparable the two are.",Negative,Positive,Positive,0,0
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,the package this fascinating -- and timely -- content come in be disappointingly generic.,Negative,Negative,Negative,1,1
"this obscenely bad dark comedy , so crass ","dis mad bad dark comedy, so crass",Negative,Negative,Negative,1,1
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation ,Naomi Watts killin' it as Rachel; her small self and vulnerable vibe really showin' her struggles and loneliness.,Negative,Positive,Positive,0,0
exciting and ,Excitin' and,Negative,Positive,Positive,0,0
schticky ,Translation goes here,Negative,Negative,Please provide me with the passage you would like me to analyze. I need the text to determine the sentiment. 😊,1,0
and in the best way ,an in the best way,Negative,Positive,Positive,0,0
of our most flamboyant female comics ,of our most flamboyant female comics,Negative,Positive,Positive,0,0
squareness that would make it the darling of many a kids-and-family-oriented cable channel ,squareness that would make it the favorite of a lot of kids-and-family-oriented cable channels,Negative,Positive,Positive,0,0
"( less a movie than ) an appalling , odoriferous thing ... so ","(less a movie than) a triflin', stank thing... so",Negative,Negative,Negative,1,1
this film special ,dis movie special,Negative,Positive,Positive,0,0
of the amazing spider-man ,of the amazing spider-man,Negative,Positive,Positive,0,0
the stomach-turning violence ,the gut-wrenchin' violence,Negative,Negative,Negative,1,1
could use a little more humanity ,could use a lil more humanity,Negative,Negative,Negative,1,1
not everything ,Not errythang,Negative,Negative,Negative,1,1
"acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . ","get a real entertainment value when the skinny, pale Mr. Broomfield keep pushin' himself on folks and into situations that'd make lesser men run for cover.",Negative,Positive,Positive,0,0
a slow-moving police-procedural thriller ,a slow-rollin' police-procedural thriller,Negative,Negative,Positive,1,0
a bad idea from frame one ,a bad idea from the jump,Negative,Negative,Negative,1,1
"terrific , sweaty-palmed fun ","terrific, sweaty-palmed fun",Negative,Positive,Positive,0,0
very funny joke ,real funny joke,Negative,Positive,Negative,0,1
volletta wallace 's maternal fury ,Volletta Wallace's mama rage,Negative,Negative,Negative,1,1
complex story ,complicated story,Negative,Negative,Negative,1,1
atop wooden dialogue ,'on top of wooden dialogue',Negative,Negative,Negative,1,1
that it progresses in such a low-key manner that it risks monotony ,it go on so low-key it might get boring,Negative,Negative,Negative,1,1
be burns 's strongest film since the brothers mcmullen ,be burns' best movie since the brothers mcmullen,Negative,Positive,Positive,0,0
ca n't miss it ,Can't miss it,Negative,Positive,Positive,0,0
dover kosashvili 's outstanding feature debut so potent ,Dover Kosashvili's outstanding feature debut so potent,Negative,Positive,Positive,0,0
of the best short story writing ,of the best short story writin',Negative,Positive,Positive,0,0
it seeks excitement in manufactured high drama ,It be lookin' for excitement in made-up high drama.,Negative,Negative,Negative,1,1
feeble comedy . ,weak comedy.,Negative,Negative,Negative,1,1
an insult to every family ,a diss to erry family,Negative,Negative,Negative,1,1
it is essentially empty ,It basically empty,Negative,Negative,Negative,1,1
of the film 's problems ,of the film's problems,Negative,Negative,Negative,1,1
makes my big fat greek wedding look like an apartheid drama ,make My Big Fat Greek Wedding look like an apartheid drama,Negative,Negative,Negative,1,1
is not even half the interest . ,ain't even half the interest.,Negative,Negative,Negative,1,1
never achieve the popularity of my big fat greek wedding ,Ain't neva get as popular as My Big Fat Greek Wedding,Negative,Negative,Negative,1,1
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era ,``auto focus'' work as a odd biopic and document of male swingers in the playboy era,Negative,Positive,Negative,0,1
"right now , they 're merely signposts marking the slow , lingering death of imagination . ","Right now, they just signposts markin' the slow, lingerin' death of imagination.",Negative,Negative,Negative,1,1
appealing character quirks to forgive that still serious problem ,appealin' character quirks to forgive that still serious problem,Negative,Negative,Negative,1,1
"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ","often stay just as long on the irrelevant as on the engaging, which slowly turn 'what time is it there?'",Negative,Negative,Negative,1,1
the energy it takes to describe how bad it is ,the energy it take to describe how bad it be,Negative,Negative,Negative,1,1
wait to see it then . ,wait to see it then . in AAVE would be wait to see it den.,Negative,Negative,Positive,1,0
could easily be called the best korean film of 2002 ,could easily be called the best Korean film of 2002,Negative,Positive,Positive,0,0
largest-ever historical canvas ,biggest-ever historical canvas,Negative,Positive,Positive,0,0
"a solid cast , assured direction and complete lack of modern day irony . ","a solid cast, sure direction, and no modern day irony.",Negative,Positive,Positive,0,0
comatose ballerinas ,comatose ballerinas,Negative,Negative,Negative,1,1
oh-so-important ,all-important,Negative,Negative,Positive,1,0
"of the road , where the thematic ironies are too obvious and the sexual politics too smug ","off the road, where the thematic ironies too obvious and the sexual politics too smug",Negative,Negative,Negative,1,1
formulaic equations ,Formulaic equations,Negative,Negative,Negative,1,1
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ","It's a work that, with humor, warmth, and smarts, capture a life lived interestingly",Negative,Positive,Positive,0,0
deserve a passing grade ,deserve a passin' grade,Negative,Positive,Positive,0,0
you 're gon na like this movie . ,you gon' like this movie.,Negative,Positive,Positive,0,0
"simply stupid , irrelevant ","just dumb, don't matter",Negative,Negative,Negative,1,1
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise.,Negative,Positive,Positive,0,0
a heavy-handed indictment of parental failings and ,a heavy-handed indictment of how parents be failin' and,Negative,Negative,Negative,1,1
felt performances across the board . ,Performances was fire all around.,Negative,Positive,Positive,0,0
seem weird and distanced ,seem weird and distanced,Negative,Negative,Negative,1,1
has finally made a movie that is n't just offensive ,done finally made a movie that ain't just offensive,Negative,Positive,Positive,0,0
casual and fun ,chill and fun,Negative,Positive,Positive,0,0
plodding mess ,draggin' mess,Negative,Negative,Negative,1,1
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ","Da weird thing 'bout da Santa Clause 2, supposedly a kids' movie, is dat ain't nothin' in it dat engage kids emotionally.",Negative,Negative,Negative,1,1
the film 's intimate camera work ,the film's intimate camera work,Negative,Positive,Positive,0,0
you 'll find yourself wishing that you and they were in another movie . ,You gon' wish you and them was in a different movie.,Negative,Negative,Negative,1,1
of dishonesty ,of bein' dishonest,Negative,Negative,Negative,1,1
as bestial ,as triflin',Negative,Negative,Negative,1,1
"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ","it's a loose bunch of not-so-funny jokes, scattered times of lazy humor",Negative,Negative,Negative,1,1
", they prove more distressing than suspenseful . ",", they be more distressing than suspenseful.",Negative,Negative,Negative,1,1
crackles ,crackles ain't got no direct translation or change when going to AAVE; it stays as crackles.,Negative,Negative,Negative,1,1
a fairly revealing study of its two main characters ,a pretty revealing study of its two main characters,Negative,Positive,Positive,0,0
"high drama , disney-style ","High drama, Disney-style",Negative,Positive,Positive,0,0
"may be more genial than ingenious , but it gets the job done . ","Might be more friendly than clever, but it get the job done.",Negative,Positive,Positive,0,0
", good action , good acting , good dialogue , good pace , good cinematography . ","Good action, good acting, good dialogue, good pace, good cinematography.",Negative,Positive,Positive,0,0
her bully of a husband ,her triflin' husband,Negative,Negative,Negative,1,1
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,Gaghan done threw every suspenseful cliché in the book at this nonsensical story.,Negative,Negative,Negative,1,1
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,the darker parts of hatin' on women and random violence be chokin' out the light them two daughters brought,Negative,Negative,Negative,1,1
"oozing , chilling and heart-warming ","oozing, chillin' and heart-warming",Negative,Positive,Positive,0,0
stale retread ,stale retread,Negative,Negative,Negative,1,1
filming the teeming life on the reefs ,filmin' the busy life on the reefs,Negative,Positive,Positive,0,0
an already thin story boils down to surviving invaders seeking an existent anti-virus . ,A thin story come down to survivors lookin' for a virus cure that's already out there.,Negative,Negative,Negative,1,1
quite endearing . ,real cute.,Negative,Positive,Positive,0,0
with fewer gags to break the tedium ,wit less jokes to break up the dullness,Negative,Negative,Negative,1,1
overbearing and ,too much,Negative,Negative,Negative,1,1
deep deceptions ,deep deceptions,Negative,Negative,Negative,1,1
things will turn out okay ,It's gon' be aight.,Negative,Positive,Positive,0,0
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural ,the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural,Negative,Negative,Negative,1,1
grand ,"Sentence to translate:
Where are you going?",Negative,Positive,Neutral,0,0
good-natured fun found in films like tremors ,Good-natured fun found in films like Tremors.,Negative,Positive,Positive,0,0
betters it ,It betta,Negative,Positive,Positive,0,0
transfixes the audience ,got the audience hooked,Negative,Positive,Positive,0,0
moving and important ,deep and heavy,Negative,Positive,Negative,0,1
dope ,dope,Negative,Positive,Positive,0,0
an avid interest ,real keen on,Negative,Positive,Positive,0,0
"blessed with two fine , nuanced lead performances ","blessed with two fine, nuanced lead performances",Negative,Positive,Positive,0,0
true star ,Real one,Negative,Positive,Positive,0,0
"hampered -- no , paralyzed -- by a self-indulgent script ... ","held back -- nah, can't even move -- cuz of a self-indulgent script ...",Negative,Negative,Negative,1,1
is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . ,specifically for fools who don't care what kind of trash they be shovelin' into their minds to fake like it’s nourishment.,Negative,Negative,Negative,1,1
"is haunting ... ( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction ","is haunting ... (it's) what punk rock music used to be, and what the video medium could use more of: spirit, perception, conviction",Negative,Positive,Positive,0,0
which nurses plot holes gaping enough to pilot an entire olympic swim team through ,which nurses plot holes big enough to drive a whole olympic swim team through,Negative,Negative,Negative,1,1
that 's both charming and well acted ,dat's both charming and well acted,Negative,Positive,Positive,0,0
a bad blend ,a messed up mix,Negative,Negative,Negative,1,1
the guy-in-a-dress genre ,the dude-in-a-dress type,Negative,Negative,Negative,1,1
director claude chabrol has become the master of innuendo . ,Director Claude Chabrol done became the master of innuendo.,Negative,Positive,Positive,0,0
riveting and ,Translation goes here,Negative,Positive,Please provide the passage you would like me to analyze. I need the text in order to determine the sentiment. 😊,0,0
excruciatingly unfunny and pitifully unromantic . ,Painfully unfunny and sadly unromantic.,Negative,Negative,Negative,1,1
war movies ,war movies,Negative,Negative,Neutral.,1,0
an inuit masterpiece ,Dat's an Inuit masterpiece,Negative,Positive,Positive,0,0
oscar ,Translation goes here,Negative,Positive,Please provide the passage you want analyzed. I need the text to determine the sentiment. 😊,0,0
the cliché-laden screenplay ,the cliché-filled script,Negative,Negative,Negative,1,1
"girlfriends are bad , wives are worse ","Girlfriends bad, wives worse.",Negative,Negative,Negative,1,1
provide much more insight ,give a lot more insight,Negative,Positive,Positive,0,0
", and as easy to be bored by as your abc 's , ",", and as easy to get bored wit as yo abc's,",Negative,Negative,Negative,1,1
what you wish for ,What you wishin' for?,Negative,Neutral,Neutral,0,0
fluid and mesmerizing ,smooth and hypnotizing,Negative,Positive,Positive,0,0
"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . ","... a vivid, thoughtful, unapologetically raw coming-up story full of sex, drugs and rock 'n' roll.",Negative,Positive,Positive,0,0
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ","It's a testament to the movie's big charm that it still entertain, even though it be playin' out like a long sitcom full of them typical family problems.",Negative,Positive,Positive,0,0
ransacks ,tear up,Negative,Negative,Negative,1,1
lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,ain't got the charisma or skills to carry the movie on his admittedly broad shoulders.,Negative,Negative,Negative,1,1
book report ,book report,Negative,Negative,Neutral,1,0
leave the theater ,leave out the theater,Negative,Negative,Negative,1,1
spousal abuse ,partner mistreatment,Negative,Negative,Negative,1,1
"the director , with his fake backdrops and stately pacing , ","the director, wit his fake backdrops and stately pacing,",Negative,Negative,Negative,1,1
a diverse and astonishingly articulate cast of palestinian and israeli children . ,a diverse and astonishingly articulate group of Palestinian and Israeli kids.,Negative,Positive,Positive,0,0
anyone who suffers through this film ,anybody who sit through this movie,Negative,Negative,Negative,1,1
