Original,Translated
be burns 's strongest film since the brothers mcmullen ,be burns 's most strongest films since the brothers mcmullened
ca n't miss it ,might can n't miss the thing
dover kosashvili 's outstanding feature debut so potent ,dover kosashvili outstanding feature debut so potent
of the best short story writing ,of the most good short story writing
it seeks excitement in manufactured high drama ,the thing does seek excitement in manufactured high dramas
feeble comedy . ,feeble comedy .
an insult to every family ,an insult to every family
it is essentially empty ,the thing essentially empty
of the film 's problems ,of that films problems
makes my big fat greek wedding look like an apartheid drama ,make for me greek wedding big fat look like an apartheid drama
is not even half the interest . ,ain't even half no interest .
never achieve the popularity of my big fat greek wedding ,never are achieving no popularity of my big fat greek wedding
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era ,`` auto focus '' work as an unusual biopic and document of male swingers in that playboy era
"right now , they 're merely signposts marking the slow , lingering death of imagination . ","right now , they 're merely signposts marking the slow , lingering death of imagination ."
appealing character quirks to forgive that still serious problem ,appealing characters quirks for to forgive that still serious problem
"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ","often linger just as long on the irrelevant as on that engaging , that what gradually turn what time is the thing there ?"
the energy it takes to describe how bad it is ,that energys the thing take to describe like how bad the thing are
wait to see it then . ,are waiting to see the thing then .
could easily be called the best korean film of 2002 ,might could easy be called the most best korean films of 2002
largest-ever historical canvas ,most large-ever historical canvas
"a solid cast , assured direction and complete lack of modern day irony . ","a solid cast , assured directions and complete lacks of modern day ironys ."
comatose ballerinas ,comatose ballerina
oh-so-important ,oh-so-important
"of the road , where the thematic ironies are too obvious and the sexual politics too smug ","of that road , where the thematic ironies like too obvious and the sexual politics too smug"
formulaic equations ,formulaic equations
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ","'s a work that , with humor , warmth , and intelligence , capture a life interestingly live"
deserve a passing grade ,are deserving one passing grade
you 're gon na like this movie . ,y'all 're gon na like this here movie .
"simply stupid , irrelevant ","simply stupid , irrelevant"
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,wove both the element of that plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise .
a heavy-handed indictment of parental failings and ,a heavy-handed indictment of parental failings and
felt performances across the board . ,did feel performances across that board .
seem weird and distanced ,are seeming weird and distanced
has finally made a movie that is n't just offensive ,finally made a movie ai n't just offensive
casual and fun ,casual and fun
plodding mess ,plodding mess
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ","that weird thing about that santa clause 2 , purportedly a childs movie , is that there ain't nothing in the thing for to engage childs emotionally ."
the film 's intimate camera work ,that films 's intimate camera works
you 'll find yourself wishing that you and they were in another movie . ,y'all  might will find yourselves wishing that y'all and they was in another movie .
of dishonesty ,of dishonestys
as bestial ,as bestial
"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ","as em a loose collection of not-so-funny gag , scattered moment of lazy humor"
", they prove more distressing than suspenseful . ",", they are proving distressing than suspenseful ."
crackles ,crackles
a fairly revealing study of its two main characters ,a fairly revealing study of its two main character
"high drama , disney-style ","high dramas , disney-style"
"may be more genial than ingenious , but it gets the job done . ","might may be like more genial than ingenious , but the thing get that job did ."
", good action , good acting , good dialogue , good pace , good cinematography . ",", good actions , good acting , good dialogue , good pace , good cinematography ."
her bully of a husband ,her bully of a husband
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,gaghan ... have threw every suspenseful cliché in the book at this here nonsensical story .
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,the more darker elements of misogyny and unprovoked violence are suffocating that illumination created by the two daughter
"oozing , chilling and heart-warming ","oozing , chilling and heart-warming"
stale retread ,stale retread
filming the teeming life on the reefs ,filming that teeming life on the reef
an already thin story boils down to surviving invaders seeking an existent anti-virus . ,an already thin story boil down to surviving invaders seeking an existent anti-virus .
quite endearing . ,quite endearing .
with fewer gags to break the tedium ,with fewer gag for to break that tedium
overbearing and ,overbearing and
deep deceptions ,deep deceptions
things will turn out okay ,thing finna turn out okay
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural ,that paranoid claustrophobia of a submarine movie with that unsettling spookiness of the supernatural
grand ,grand
good-natured fun found in films like tremors ,good-natured fun found in films like tremors
betters it ,better it
transfixes the audience ,do transfix that audience
moving and important ,moving and important
dope ,dope
an avid interest ,an avid interests
"blessed with two fine , nuanced lead performances ","blessed with two fine , nuanced lead performance"
true star ,true star
"hampered -- no , paralyzed -- by a self-indulgent script ... ","hampered -- no , paralyzed -- by a self-indulgent script ..."
which nurses plot holes gaping enough to pilot an entire olympic swim team through ,It is plot holes gaping enough to pilot an entire olympic swim team through that which nurse
that 's both charming and well acted ,that 's both charming and well act
a bad blend ,a bad blend
the guy-in-a-dress genre ,the guy-in-one-dress genre
director claude chabrol has become the master of innuendo . ,director claude chabrol have became the master of innuendo .
riveting and ,riveting and
excruciatingly unfunny and pitifully unromantic . ,excruciatingly unfunny and pitifully unromantic .
war movies ,war movies
an inuit masterpiece ,an inuit masterpiece
oscar ,oscar
the cliché-laden screenplay ,the cliché-laden screenplay
"girlfriends are bad , wives are worse ","girlfriends are bad , wifes are more worse"
provide much more insight ,provide much much insights
", and as easy to be bored by as your abc 's , ",", and as easy to be bored by as for you abc ,"
what you wish for ,what it is for that you wishes
fluid and mesmerizing ,fluid and mesmerizing
"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . ","... a vivid , thoughtful , unapologetically raw coming-of-ages tale full of sexes , for drugs roll and rocks 'n' ."
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ","the thing 's one testament to that films considerable charm which what the thing succeed in entertaining , despite playing out like one feature-length sitcom replete with stereotypical familial quandary ."
ransacks ,ransack
lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,lack the charisma and ability to carry the film on hi admittedly broad might shoulder .
book report ,book report
leave the theater ,do leave the theater
spousal abuse ,spousal abuse
"the director , with his fake backdrops and stately pacing , ","the director , with he fake backdrops and stately pacing ,"
a diverse and astonishingly articulate cast of palestinian and israeli children . ,one diverse and astonishingly articulate cast of palestinian and israeli childs .
anyone who suffers through this film ,anyone is suffering through these films
one carried by a strong sense of humanism ,one carry by a strong sense of humanism
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ","for all its brilliant touch , it is its fire midway , nearly flickering out by its perfunctory conclusion that dragon lose ."
another entertaining romp from robert rodriguez . ,another entertaining romp from robert rodriguez .
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . ","directed with purpose and finesse by for england roger mitchell , what handily make the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft ."
it 'll probably be in video stores by christmas ,the thing  might will probably be in video stores by christmas
"funny , triumphant , ","funny , triumphant ,"
underachiever ,underachiever
a film of ideas and wry comic mayhem ,a films of ideas and wry comic mayhem
of moviegoers for real characters and compelling plots ,of moviegoers for real character and compelling plots
dime-store ruminations ,dime-store rumination
worth a ,worth a
", reality shows -- reality shows for god 's sake ! ",", reality shows -- reality does show for god sakes !"
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ","whatever that movie sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes ."
'll cry for your money back ,Might will cry for you moneys back
enthralling ,enthralling
"is worse : the part where nothing 's happening , or the part where something 's happening ","is more worse : the part where nothing 's happening , or the part where something 's happening"
"like max rothman 's future , does not work . ","like max rothman future , ain't work ."
of quirky characters and an engaging story ,of quirky character and an engaging story
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ","have the threw-together feel of a summer-camp talent show : hastily wrote , underrehearsed , arbitrarily plotted and"
"making kahlo 's art a living , ","making kahlo 's art a living ,"
bad run ,bad run
may just end up trying to drown yourself in a lake afterwards . ,might may just end up trying for to drown yourself in a lake afterwards .
many pleasures ,many pleasure
is worth searching out ,worth searching out
"at this time , with this cast , this movie is hopeless ","at these times , with this cast , this movie hopeless"
time bombs ,time bomb
balances both traditional or modern stories together in a manner that one never overwhelms the other . ,balance both traditional or modern stories together in a manner that one never overwhelm the other .
the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ,that surface histrionic failing to compensate for the paper-thin characterization and facile situation
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ","plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter ."
a sour taste in one 's mouth ,a sour tastes in one mouth
decent performance ,decent performance
"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ","... familiar and predictable , and 4/5ths of the thing might as well have done came from one xerox machine rather than ( writer-director ) franc ."
"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . ","one headline-fresh thriller set among orthodox jew on the west bank , joseph cedar time of favor manage not only to find one compelling dramatic means of addressing one complex situation , the thing do so without compromising that complexity ."
responsible for one of the worst movies of one year ,responsible for one of the most worst movie of one year
"appalling , shamelessly manipulative and contrived ","appalling , shamelessly manipulative and contrive"
movie love ,movie love
human darkness ,human darkness
"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ","are understanding that that idea of exploiting molestation for laugh is funny , not actually exploiting it yourselves"
it 's too loud to shout insults at the screen ,it 's like too loud to shout insults at that screen
"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) ","'s one long way from orwell 's dark , intelligent warning cry ( 1984 )"
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- ,a coming-of-ages films that which avoid the cartoonish clichés and sneering humor of the genre as the thing provides a fresh view of an old types --
the perfect movie ,the perfect movie
ardently waste viewers ' time with a gobbler like this ,ardently waste viewers ' times with a gobbler like this
oscar-sweeping franchise predecessor ,oscar-sweeping franchise predecessor
it sets out with no pretensions and delivers big time ,the thing set out with no pretensions and deliver big time
see how many times they can work the words `` radical '' or `` suck '' into a sentence ,are seeing how many times they might can work the words `` radical '' or `` are sucking '' into a sentence
give you enough to feel good about ,are giving y'all enough to feel good about
unexpectedly insightful ,unexpectedly insightful
allen 's romantic comedies so pertinent and enduring ,allen romantic comedies so pertinent and enduring
"is an extraordinary film , not least ","an extraordinary film , not least"
a doubt ,a doubt
maudlin or ,maudlin or
with the the wisdom and humor of its subjects ,with that that wisdom and humor of its subjects
a party-hearty teen flick that scalds like acid . ,a party-hearty teen flick that scald like acid .
"the wan , thinly sketched story ","the wan , thinly sketched story"
provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen ,do provide the funniest moments in this oddly sweet comedy about jokester highway patrolmans
this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in . ,this here romantic/comedy does ask that question how much souvlaki can y'all take before indigestion set in .
again dazzle and delight us ,again are dazzling and are delighting us
"that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes ","that beneath the familiar , funny surface a far more bigger , far much meaningful story than one in which little green mans come to earths for harvesting purpose"
aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film ,aspire for to be more than another `` most best man '' cloned by weaving a theme throughout this funny film
"impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' was . ","impresses as one skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' been was ."
failure to construct a story with even a trace of dramatic interest ,failure to construct a story with even a trace of dramatic interests
but it also comes with the laziness and arrogance of a thing that already knows it 's won . ,which em also come with that lazineses and arrogances of a thing already know 's won .
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni . ","it 's one frightful vanity film where , no doubt , are paying off what debt miramax feeled they owed for to benigni ."
laughed at ,laughed at
", future lizard endeavors will need to adhere more closely to the laws of laughter ",", future lizard endeavor finna need for to adhere more closely to the law of laughter"
a philosophical void ,a philosophical void
unlikable characters and a self-conscious sense ,unlikable characters and a self-conscious sense
intelligence or invention ,intelligence or invention
hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,hot on that hardwood prove once again that a man in drag ain't in and of hisself funny .
hopelessly juvenile ,hopelessly juvenile
shakespearean -- both in depth and breadth -- ,shakespearean -- both in depth and breadth --
unique directing style ,unique directing style
required to give this comic slugfest some heart ,required for to give this here comic most slugf some hearts
feel more like a non-stop cry for attention ,feel more like a non-stop cry for attentions
hip hop beat ,hip hop beaten
feel more like literary conceits than flesh-and-blood humans ,do feel more like literary conceit than fleshs-and-bloods humans
no explanation ,no explanation
funniest and ,funniest and
starts off witty and sophisticated and you ,start off witty and sophisticated and y'all
a bargain-basement european pickup ,one bargain-basement european pickup
", but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons ",", which what really set that film apart debrauwer 's refusal to push the easy emotional button"
"shines on all the characters , as the direction is intelligently accomplished ","shine on all the character , as the direction is intelligently accomplished"
taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults ,taps into the primal fears of young persons tryna cope with the mysterious and brutal nature of adults
lead a group of talented friends astray ,are leading a group of talented friends are astraying
"it 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it 's just grating . ","the thing 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , the thing 's just grating ."
"this gentle , mesmerizing portrait ","this gentle , mesmerizing portrait"
"genial is the conceit , this is one of those rare pictures that you root for throughout , ","genial is that conceit , this is one of them rare pictures that y'all are rooting for throughout ,"
draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss ,draw the audience into the unexplainable pain and eccentricities where are attached them to the concept of loses
"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ","spliced together bits and pieces of midnight run and 48 hours ( and , for those matters , shrek )"
"is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own ","so busy making reference to other films and tryna be other films that fail to have one hearts , mind or humor of its own"
"it lacks the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . ","the thing lack that compassion , good-natured humor and that level of insight maked ( eyres 's ) first film something of one sleeper success ."
handles it in the most unexpected way ,are handling the thing in that unexpectedest way
those eternally devoted to the insanity of black will have an intermittently good time . ,them eternally devoted to the insanity of black have an intermittently good time .
obscenely bad ,obscenely bad
devastatingly ,devastatingly
i do n't see the point ,i ai n't see no point
comes off like a bad imitation of the bard ,come off like a bad imitation of that bard
that excites the imagination and tickles the funny bone ,that excite the imaginations and tickle the funny bone
one of its strengths ,one of its strength
of masterpiece ,of masterpiece
into this dream hispanic role with a teeth-clenching gusto ,into this here dream hispanic role with a teeth-clenching gusto
stiff or just plain bad ,stiff or just plain bad
makes these lives count ,make these here lifes to count
jolts the laughs from the audience -- ,jolt the laughs from that audience --
a delightful stimulus ,a delightful stimulus
has no point ,have no point
of isolation and frustration ,of isolations and frustrations
winning shot ,winning shoot
"of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ","of its musics or comic antic , but through the perverse pleasure of watching disney is scraping the bottom of its own cracker barrel"
lewis ,do lewis
that there 's no other reason why anyone should bother remembering it ,that there are no other reasons why anyone should bother remembering the thing
"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy . ","bogdanovich put historys in perspectives and , via kirsten dunst 's remarkable performances , she showcase davies as a young woman of great charm , generosity and diplomacy ."
father cliché ,father cliché
domestic tension and unhappiness ,domestic tension and unhappiness
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ","the effort sincere and the results honest , but the film so bleak that 's hardly watchable"
called the best korean film of 2002 ,been called that most best korean film of 2002
one of the best rock ,one of that most best rocks
of the holiday box office pie ,of that holiday box office pie
inexpressible and drab wannabe ,inexpressible and drab wannabe
"the hail of bullets , none of which ever seem to hit ","that hails of bullet , none of which ever seem to hit"
"like an extended , open-ended poem than a traditionally structured story ","like an extended , open-ended poem than a traditionally structured story"
"'s about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ","'s about as convincing as any other arnie musclefest , but have a little too much resonance with real world events and"
to hate ,to hate
to be mesmerised ,to be mesmerised
the people who loved the 1989 paradiso will prefer this new version ,the person what love the 1989 paradiso gon prefer this here new version
a lot of energy ,one lot of energys
for its success on a patient viewer ,for its succeses on one patient viewer
"while tattoo borrows heavily from both seven and the silence of the lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in . ","while tattoo borrow heavily from both seven and the silences of the lambs , em manage for to maintain both a level of sophisticated intrigues and human-scale characters suck the audience in ."
this may be burns 's strongest film since the brothers mcmullen . ,this might may be burns most strongest films since the brothers mcmullen .
turned down ,turn down
"timely , tongue-in-cheek ","timely , tongue-in-cheek"
undramatic ,undramatic
the pile of useless actioners ,that pile of useless actioner
morton deserves an oscar nomination . ,It is an oscar nomination that morton deserve .
weirdly engaging and unpredictable character pieces ,weirdly engaging and unpredictable character piece
efficiency and an affection for the period ,efficiencys and an affections for that period
does not work . ,ain't work .
it is n't merely offensive ,em ai n't merely offensive
tell a story about the vietnam war before the pathology set in ,tell a story about that vietnam war before that pathology set in
it irrigates our souls . ,it irrigate our souls .
a hint of humor ,one hint of humor
with a big heart ,with a big heart
"a rollicking adventure for you and all your mateys , regardless of their ages ","a rollicking adventure for y'all and all you matey , regardless of their age"
its most immediate and most obvious pleasure ,for its immediate pleasure and obvious
"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies ","it is laugh aplenty , and , as one bonus , viewer ai n't ai to worry about being subjected to fart , urine , fece , semen , or any of the other foul substance overran modern-day comedy"
"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ","one of them rare films what seem as though was wrote for no one , but somehow manage for to convince almost everyone that was put on that screen , just for them ."
made a decent ` intro ' documentary ,been made a decent ` intro ' documentary
"makes us see familiar issues , like racism and homophobia , in a fresh way . ","make us to see familiar issues , like racism and homophobia , in one fresh way ."
the film goes right over the edge and kills every sense of believability ,that film go right over that edge and kill every sense of believability
"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ","a beyond-lame satire , teddy bears picnic rank among the pitifulest directing debuts by an esteemed writer-actor ."
emotional seesawing ,emotional seesawing
movies with the courage to go over the top and movies that do n't care about being stupid ,movies with that courage to go over that top and movies where ai n't care about being like stupid
target audience has n't graduated from junior high school ,target audience has done n't graduate from junior high schools
this intricately structured and well-realized drama ,this intricately structured and well-realized drama
embracing ,embracing
the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire ,the film one celluloid litmus test for the intellectual and emotional pedigree of for you date and one giant step backward for one director i am admiring
"a meditation on faith and madness , frailty is blood-curdling stuff . ","a meditation on faiths and madness , frailty bloods-curdling stuff ."
a pretty listless collection ,a pretty listless collection
other than its oscar-sweeping franchise predecessor ,other than its oscar-sweeping franchise predecessor
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ,almost everyone growing up believe they family might must look like `` that addams family '' to everyone looking in
have been called freddy gets molested by a dog ,done been called freddy get molested by a dog
moody male hustler ,moody male hustler
uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels ,uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels
"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill ","that film is filled with humorous observation about that general absurdity of modern life as saw through the eye outsider , which deftly manage to avoid many of the condescending stereotype that so often plagues film dealing with the mentally ill"
which is mostly a bore ,which mostly one bore
an entertaining mix of period drama and flat-out farce that should please history fans ,an entertaining mix of period drama and flat-out farce where should please history fans
suspect that you 'll be as bored watching morvern callar as the characters are in it . ,suspect that y'all 'll be as bored watching morvern callar as the characters in her .
"the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart . ","the problems and character reveal universal and involving , and that films itself -- as well its delightful cast -- are so breezy , pretty and gifted , she really won my hearts ."
love this movie ,are loving this movie
"... the efforts of its star , kline , to lend some dignity to a dumb story are for naught . ","... the effort of for its kline star , , to lend some dignitys to a dumb story for naught ."
flat as the scruffy sands of its titular community ,flat as the scruffy sands of its titular community
"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances ","liberal doses of dark humor , gorgeous exterior photographys , and one stable-full of solid performances"
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ","is bad edited , often awkwardly directed and suffer from that additions of a wholly unnecessary pre-credit sequence designed for to give some of the character a ` back story"
works smoothly ,work smoothly
with a creepy and dead-on performance ,with a creepy and dead-on performances
"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead . ","might want to take a reality check before y'all pay that full ticket price to see `` simone , '' and consider a dvd rental instead ."
placed in the pantheon of the best of the swashbucklers ,place in that pantheon of the most best of the swashbuckler
a satisfyingly unsettling ride ,a satisfyingly unsettling ride
good a job as anyone ,good a job as anyone
", smart and complicated ",", smart and complicated"
"the intimate , unguarded moments of folks who live in unusual homes -- ","the intimate , unguarded moments of folks which live in unusual homes --"
are pretty valuable these days ,pretty valuable these here days
that the only rip off that we were aware of ,that the only rip off that was aware of
beautiful to watch and ,beautiful to watch and
accentuating ,accentuating
no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time ,no quarter to anyone seeking to pull one cohesive story out of its 2 1/2 - hours running times
a wonderful ensemble cast ,a wonderful ensemble cast
endear ,endear
the truly funny bits ,the truly funny bits
's that painful . ,'s that painful .
american beauty reeks ,american beautys reeks
"clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long ","clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that what make 105 minutes to seem twice as long"
without any of its sense of fun or energy ,without any of for its sense of funs or energys
be the cat 's meow ,be the cat 's meow
"'s simply stupid , irrelevant and deeply ","'s simply stupid , irrelevant and deeply"
"wonderland adventure , a stalker thriller , and ","wonderland adventure , one stalker thriller , and"
be part of ,be part of
cinema history as the only movie ever ,cinema historys as the only movie ever
comes from a renowned indian film culture that allows americans to finally revel in its splendor ,come from one renowned indian film culture allow americans to finally revel in its splendor
accomplished oscar winners ,accomplished oscar winners
of those underrated professionals who deserve but rarely receive it ,of them underrated professionals is deserving which rarely are receiving it
we find ourselves surprised at how much we care about the story ,we find she surprised at how much we care about the story
an all-time low ,an all-times low
enjoyed it just ,enjoy the thing just
"reacting to it - feeling a part of its grand locations , ","reacting to the thing - feeling a part of its grand locations ,"
delivered with such conviction that it 's hard not to be carried away ,delivered with such conviction that the thing 's hard to ain't carried away
"colorful , vibrant introduction ","colorful , vibrant introduction"
the slow parade of human frailty fascinates you ,It is you that the slow parade of human frailty fascinate
"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . ","famuyiwa 's feature deal with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance what which that cliché-riddled might can offer ."
a laugh between them ,a laugh between them
that gradually sneaks up on the audience ,that gradually sneak up on the audience
photographic marvel ,photographic marvel
is shockingly bad and absolutely unnecessary . ,shockingly bad and absolutely unnecessary .
gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences . ,get vivid performances from his cast and pull off some deft ally mcbeal-style fantasy sequences .
"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood . ","the result , however well-intention , ironically just the sort of disposable , kitchen-sink homage where illustrate why does the whole be so often less than the sum of for its parts in for today hollywood ."
"while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy . ","while not for every taste , it is a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct - to - video irrelevancy that this often very funny collegiate gross - out comedy  does go  ."
wow ' factor ,wow ' factor
"brazil-like , hyper-real satire ","brazil-like , hyper-real satire"
low on both suspense and payoff ,low on both suspense and payoff
find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most ,are finding one scathing portrayal of one powerful entity strangling that life out of the persons is wanting to believe in the thing the most
an absolute delight for all audiences ,an absolute delight for all audience
would tax einstein 's brain . ,will tax einstein brain .
's its first sign of trouble ,'s for its first sign of trouble
ca n't believe anyone would really buy this stuff ,might can n't believe anyone might would really buy this stuff
moonlight mile should strike a nerve in many . ,It is a nerve in many that moonlight mile should strike .
if ever such a dependable concept was botched in execution ,if ever such a dependable concept was botched in execution
wedding feels a bit anachronistic . ,wedding feel a bit like anachronistic .
been lost in the translation this time ,be lost in the translation this time
revelatory performance ,revelatory performances
the pianist like a surgeon mends a broken heart ; very meticulously but without any passion ,that pianist like a surgeon mend a broken heart ; very meticulously but without any passion
remains oddly detached ,are remaining like oddly detached
that is more complex and honest than anything represented in a hollywood film ,that more complex and honest than anything represented in one hollywood films
nifty premise ,nifty premise
vein ,vein
"the wonderfully lush morvern callar is pure punk existentialism , and ","those wonderfully lush morvern callar pure punk existentialism , and"
go down with a ship as leaky ,are going down with one ship as leaky
earnest movie ,earnest movie
effective enough ,effective enough
"showing us well-thought stunts or a car chase that we have n't seen 10,000 times ","showing us well-thought stunt or a car chase what done n't saw 10,000 time"
"make the film more silly than scary , like some sort of martha stewart decorating program run amok ","do make that films much silly than scary , like some sort of martha stewart decorating program ran amok"
"going at a rapid pace , ","going at a rapid pace ,"
still fun and enjoyable and ,still fun and enjoyable and
a lazy exercise in bad filmmaking ,a lazy exercise in bad filmmaking
this thing is virtually unwatchable . ,this here thing virtually unwatchable .
's also undeniably exceedingly clever ,'s also undeniably exceedingly clever
would ever work in a mcculloch production again if they looked at how this movie turned out ,might would ever work in one mcculloch production again if they would look at how this movie turned out
an entertainment destination for the general public ,an entertainments destination for that general publics
"i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense . ","i have done ever saw , constantly pulling that rug from underneath us , seeing things from new sides , plunging deeper , getting much intense ."
"england 's roger mitchell , who handily makes the move from pleasing ","england roger mitchell , which handily make that move from pleasing"
to the enduring strengths of women ,to the enduring strengths of womans
surprisingly faithful ,surprisingly faithful
the numerous scenes ,the numerous scene
exaggerated and ,exaggerated and
"takes a really long , slow and dreary time ","take a really long , slow and dreary time"
improved upon the first ,did improve upon the first
that might have made it an exhilarating ,that might have done made the thing an exhilarating
k-19 : the widowmaker is a great yarn . ,k-19 : the widowmaker a great yarn .
humorless ,humorless
thank ,do thank
just because a walk to remember ,just because one walk to remember
bite ,bite
amounts to little more than punishment . ,amount to little more and punishment .
the humor is recognizably plympton ,that humor recognizably plympton
"likeable thanks to its cast , its cuisine and its quirky tunes . ","likeable thanks to for its cast , for its cuisine and for its quirky tunes ."
makes piecing the story together frustrating difficult ,make piecing that story together frustrating difficult
"a fascinating , compelling story ","a fascinating , compelling story"
the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ,the films hero one bore and her innocences soon become one questionable kind of inexcusable dumb innocences
"a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction . ","a fascinating , dark thriller is keeping y'all hook on the delicious pulpiness of its lurid fictions ."
whimsical and relevant today ,whimsical and relevant today
see the it ,see the it
tackles the difficult subject of grief and loss ,tackle that difficult subject of griefs and loses
grotesque narcissism ,grotesque narcissism
funny and sad ,funny and sad
"is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . ",", arguably , that accomplished work to date from hong kong versatile stanley kwan ."
it wore me down ,em wear me down
be so stupid ,be so stupid
as refreshing ,as refreshing
