Original Premise,Translated Premise,Original Choice1,Translated Choice1,Original Choice2,Translated Choice2
The woman awakened.,The woman been awakened.,She took sleeping pills.,It is sleeping pills that she did take.,Her husband was snoring.,His husband was snoring.
The woman sensed a pleasant smell.,It is a pleasant smell that the woman sense.,She remembered to take her medication.,Remember to take her medication.,She was reminded of her childhood.,She was reminded of her childhoods.
The bar closed.,The bar close.,It was crowded.,The thing was crowded.,It was 3 AM.,The thing been was 3 AM.
The driver got pulled over by the police.,That driver gotted pulled over by that police.,He was parking.,Em been was parking.,He was speeding.,He been was like speeding.
The teacher took roll.,The teacher been took roll.,She identified the students that were absent.,He identify the student that was absent.,She gave her students a pop quiz.,Did give her students a pop quiz.
I pushed the pendulum.,I been pushed the pendulum.,It slowed to a stop.,The thing been slowed to a stop.,It swung back and forth.,Em swung back and forth.
The child kicked the stack of blocks.,That child been kicked that stack of blocks.,The stack towered over the boy's head.,That stack towered over that boy head.,The blocks scattered all over the rug.,The blocks scatter all over the rug.
The teenager ran away from home.,The teenager run away from home.,He relied on his parents.,He did rely on for him parents.,His parents abused him.,Hi parent been abused him.
I botched the job interview.,I botched that job interview.,The interviewer asked difficult questions.,It is difficult questions that the interviewer ask.,I anticipated the interviewer's questions.,I been anticipated that interviewer question.
The pharmaceutical company recalled the drug.,That pharmaceutical company recall that drug.,Users reported dangerous side effects.,It is dangerous side effects that users report.,Users got refills on their prescriptions.,Users getted refills on for them prescriptions.
The man looked at his watch.,The man look at for him watch.,He realized he forgot something.,Realized forgot something.,He realized he was early.,He realize he was early.
I dabbed the floor with a paper towel.,I dab that floor with a papers towel.,I spilled juice on the floor.,It is juice on the floor that i been spilled.,The floor was permanently stained.,That floor was permanently stained.
The bartender refused to serve the patron.,That bartender been refused for to serve that patron.,The patron was alone.,That patron been was like alone.,The patron was drunk.,That patron been was drunk.
I was confused by the professor's lecture.,I was confused by the professor's lecture.,I paid attention to the professor.,I did pay attention to that professor.,I asked the professor questions.,I ask the professor questions.
The book was deemed inappropriate for children.,That book was deemed inappropriate for childs.,Schools banned it from its libraries.,Schools ban it from for its libraries.,Teachers required students to read it.,It is students to read it that teachers been required.
The man begged for forgiveness.,That man beg for forgiveness.,The woman took pity on him.,That woman taked pity on him.,The woman joked around with him.,The woman joke around with her.
I received a package in the mail.,I receive a package in the mails.,The package triggered my curiosity.,That package trigger for me curiosity.,I took the package to the post office.,I been took that package to that post office.
The surfer caught the wave.,That surfer caught that wave.,The wave carried her to the shore.,The wave carry him to the shore.,She paddled her board into the ocean.,She did paddle her board into that ocean.
The speaker disarmed her debate opponent.,That speaker disarmed her debates opponent.,The speaker congratulated her opponent.,It is her opponent that the speaker congratulate.,The speaker won the debate.,That speaker won that debates.
I moved to a new city.,I been moved to one new city.,I found a better-paying job.,I find a better-paying job.,My son was born.,For me son was bore.
I avoided giving a straight answer to the question.,I been avoided giving a straight answer to that question.,The question made me uncomfortable.,The question maked me uncomfortable.,I wanted to be honest.,I want to be like honest.
The student received detention.,That student been received detention.,He talked back to the teacher.,Em talk back to that teacher.,The teacher graded his homework.,It is his homework that the teacher did grade.
The boy's hands were shaking.,For the boy hands were shaking.,He planned to ask the girl out.,Em been planned for to ask that girl out.,His palms were cold and sweaty.,For him palms was cold and sweaty.
The fans in the stadium cheered.,The fans in that stadium cheer.,The game ended in a tie.,That game end in a tie.,The player scored.,The player score.
The girl went down the hill on her bike.,That girl gone down that hill on for her bike.,Her bike swerved.,Her bike been swerved.,Her bike sped up.,Her bike been sped up.
A man cut in front of me in the long line.,A man cut in front of me in the long line.,I confronted him.,I been confronted him.,I smiled at him.,I smiled at him.
The inside of the train went dark.,That inside of that train gone like dark.,The train travelled through a tunnel.,That train been travelled through a tunnel.,The train ran off the tracks.,That train been ran off the track.
The man contemplated the painting.,That man did contemplate that painting.,He felt in awe.,He feeled in awe.,He collapsed.,He been collapsed.
The turtle hid in its shell.,That turtle been hid in its shell.,It ate a fish.,The thing eat one fish.,It detected a predator.,The thing detect a predator.
The girl handed down her clothes to her younger sister.,The girl been handed down her clothes to her more younger sister.,The clothes were tattered.,The clothes was tatter.,She outgrew the clothes.,He outgrowed the clothes.
Several witnesses of the crime testified against the suspect.,Several witness of the crimes testified against the suspect.,The suspect was acquitted.,The suspect was acquitted.,The suspect was convicted.,That suspect was convicted.
The parents left their children with a babysitter.,The parents leaved they childs with one babysitter.,Their youngest child started attending preschool.,Their most young child start attending preschool.,They made plans to celebrate their anniversary.,It is plans to celebrate their anniversary that they been made.
The trip took a long time.,That trip taken a long time.,The driver talked the whole way.,The driver did talk the whole way.,The driver made a wrong turn.,That driver did make one wrong turn.
The product was heavily advertised.,The product was heavily advertised.,Consumers recognized the product.,Consumers been recognized the product.,The product became outdated.,That product become like outdated.
I rubbed the soap between my hands.,It is the soap between my hands that i rubbed.,The soap foamed.,That soap did foam.,My hands went numb.,My hands been went like numb.
The cowgirl threw her lasso towards the horse.,It is her lasso towards the horse that the cowgirl thrown.,The lasso grabbed onto the horse.,The lassos been grabbed onto that horse.,The horse trotted into the barn.,The horse trot into the barn.
The group overlooked the woman's faux pas.,That group been overlooked that woman's faux pas.,The woman was relieved.,That woman was relieved.,The woman apologized.,The woman apologize.
The girl came across an unfamiliar word in her textbook.,That girl comed across an unfamiliar word in his textbook.,She looked the term up in the dictionary.,It is the term up in the dictionary that she looked.,She chucked the textbook across the room.,She been chucked the textbook across the rooms.
The man became disabled.,That man becomed like disabled.,His family offered him financial support.,It is him financial support that his family offer.,His family cut off contact with him.,It is off contact with him that his family did cut.
The flashlight was dead.,The flashlight been was dead.,I took it apart.,I taken the thing apart.,I replaced the batteries.,It is the batteries that i been replaced.
The skunk sprayed the dog.,That skunk spray that dog.,The dog emitted a foul smell.,That dog been emitted a foul smell.,The skunk roamed the woods.,It is the woods that the skunk roam.
I scratched my skin.,I did scratch my skin.,My itch went away.,My itch goed away.,My scar faded.,My scar been faded.
I wrote a thank-you note to my grandmother.,She write a thank-y'all are noting to for me grandmother.,She became forgetful.,Em becomed forgetful.,She sent me a gift.,Em send me one gift.
A burglar broke into the house.,A burglar did break into that house.,The homeowners were asleep.,The homeowner was asleep.,The security alarm went off.,That security alarm been went off.
I held the door for the woman entering behind me.,I hold that door for that woman entering behind me.,The door slammed shut.,The door been slammed shut.,The woman thanked me.,It is me that the woman been thanked.
The mirror in the bathroom fogged up.,That mirror in that bathroom been fogged up.,The girl turned on the fan.,The girl been turned on the fan.,The girl applied her makeup.,That girl been applied for her makeup.
The security guard tackled the man.,That security guard tackled that man.,The man reached into his pocket.,That man been reached into his pocket.,The man displayed a weapon.,That man displayed one weapon.
The driver rotated the steering wheel.,That driver rotate that steering wheel.,The car halted.,That car halted.,The car turned.,That car been turned.
The army surrendered the battle.,It is the battle that the army did surrender.,They were outnumbered.,They was outnumbered.,They stormed the city.,It is the city that they been stormed.
The navy bombed the ship.,It is the ship that the navy bomb.,The ship crashed into the pier.,That ship crashed into that pier.,The ship's debris sunk in the sea.,That ship debris sank in that sea.
I ironed my shirt.,Did iron for me shirt.,It was clean.,Em was clean.,It was wrinkled.,The thing was wrinkled.
The girl felt dizzy.,The girl feel dizzy.,She lost her balance.,Losed for her balance.,She did stretches.,Em did stretches.
The driver pulled over to the side of the road.,The driver pulled over to the side of the road.,He went through an intersection.,He been went through an intersection.,He noticed a stranded vehicle.,It is a stranded vehicle that he notice.
The hospital sent the patient home.,It is the patient home that the hospital send.,The patient's symptoms cleared up.,That patient's symptoms cleared up.,The patient's family visited him.,It is him that the patient 's family  visit.
The child caught a life-threatening illness.,It is a life - threatening illness that the child did catch .,She didn't get vaccinated.,She didn't get vaccinated.,She was adopted.,She was adopted.
We found empty seats in the theatre.,It is empty seats in the theatre that we find.,The film began.,That films began.,We sat down.,We sitted down.
The parents recognized their daughter's creativity.,The parents recognized their daughter creativity.,They taught her how to ride a bike.,It is her how to ride a bike that they teached.,They encouraged her to become an artist.,It is her to become an artist that they encouraged.
The boy turned the lid on the jar.,It is the lid on the jar that the boy turn.,The jar became warm.,That jar become warm.,The lid came off.,That lid come off.
The woman received a diploma.,It is a diploma that the woman receive.,She enrolled in college.,He enroll in college.,She graduated from college.,He been graduated from college.
I chugged the pitcher of water.,I been chugged that pitcher of water.,I walked upstairs.,I walk upstairs.,I ran five miles.,I run five mile.
I came upon a puddle on the sidewalk.,I come upon a puddle on that sidewalk.,I leapt over the puddle.,I leap over the puddle.,I played in the puddle.,I been played in that puddle.
The woman covered her ears.,It is her ears that the woman cover.,The fire alarm blared.,That fires alarms blared.,The woman smelled smoke.,The woman smelt smokes.
The archeologist dug up the site.,It is up the site that the archeologist dug.,She excavated ancient artifacts.,It is ancient artifacts that she been excavated.,She read about the site's history.,He did read about that site's historys.
The audience booed the comedian off the stage.,That audience boo that comedian off that stage.,He told a racist joke.,She told one racist joke.,He entertained the audience.,He been entertained that audience.
The coach gave his player a high five.,That coach given her player a high five.,The player got a penalty.,That player getted a penalty.,The player scored a point.,That player score a point.
I tossed the ball upwards.,I tossed me the ball upwards.,The ball rolled across the ground.,That ball did roll across that ground.,The ball hit the ceiling.,It is the ceiling that the ball hitted.
My breath smelled of garlic.,For me breath smell of garlic.,I wiped my mouth.,She wiped my mouth.,I brushed my teeth.,She brush my teeths.
The man was lost.,That man was lost.,He asked for directions.,He ask for directions.,He drew a map.,It is a map that he drawed.
The baby pulled the mother's hair.,It is the mother 's hair that the baby pull .,The baby burped.,That baby been burped.,The mother grimaced.,The mother grimace.
I stood on one foot.,I stand on one foot.,My balance wavered.,My balance wavered.,I kneeled down.,I kneel down.
I pushed the gas pedal.,I push that gas pedal.,The car accelerated.,That car been accelerated.,The car door opened.,That car door been opened.
My car was towed.,For me car was towed.,I parked illegally.,I park illegally.,I jumped the battery.,I jump that battery.
The woman got away with the crime.,The woman been got away with the crimes.,Her accomplice was apprehended.,Her accomplice was apprehended.,She destroyed the evidence.,He destroy that evidence.
The dust came off the desk.,The dust been came off the desk.,I wiped the desk with a cloth.,I been wiped that desk with a cloth.,I removed the books from the desk.,I remove the books me from that desk.
The motorcyclist twisted the throttle.,That motorcyclist twisted that throttle.,The motorcycle coasted to a halt.,The motorcycle coasted to a halt.,The motorcycle shot forward.,The motorcycle shoot forward.
The teacher caught the student chewing gum.,It is the student chewing gum that the teacher catch.,The gum stuck to the student's shoe.,That gum been stuck to that student shoe.,The student spit out the gum.,The student been spit out the gum.
The host served dinner to his guests.,That host been served dinner to for him guests.,His guests were gracious.,His guests was gracious.,His guests went hungry.,His guests gone like hungry.
The boy climbed the tree.,That boy climb that tree.,A cat got stuck in the tree.,One cat gotted stuck in the tree.,A bird built a nest in the tree.,A bird build a nest in that tree.
The chair squeaked.,The chair squeak.,The man carried the chair to his office.,That man carry that chair to he office.,The man scooted the chair closer to his desk.,That man scooted that chair closer to he desk.
The father shut off the children's television.,It is off the children 's television that the father shutted .,It was bedtime for the children.,It been was bedtime for the childs.,The children were watching cartoons.,It is cartoons that the children were watching.
The man held his breath.,It is his breath that the man holded.,He went underwater.,She did go underwater.,He treaded water.,It is water that he trodden.
I clumsily bumped into the stranger.,I clumsily bumped into that stranger.,I ran away.,I run away.,I apologized to him.,I apologize to him.
The boat capsized.,The boat capsize.,The captain raised the sail.,That captain been raised that sail.,It was caught in a hurricane.,It was caught in a hurricane.
The mother suspected that her son was lying.,That mother suspected that for her son was lying.,He refused to talk to her.,She been refused to talk to him.,He avoided making eye contact with her.,He been avoided making eye contact with her.
The young woman was denied entrance into the bar.,That young woman was denied entrance into that bar.,Her friends stood her up.,For her friends been stood her up.,She forgot her ID.,Em forget her ID.
A crater formed on the moon.,A crater formed on the moon.,A comet passed by the moon.,A comet passed by that moon.,A comet collided with the moon.,One comet been collided with the moon.
I planted the seeds in the soil.,It is the seeds in the soil that i plant.,I watered the soil.,It is the soil that i water.,The seeds sprouted.,The seeds been sprouted.
The benefactor requested to stay anonymous.,The benefactor been requested to stay anonymous.,He wanted to maintain his privacy.,She want to maintain her privacys.,He supported the cause behind his donation.,It is the cause behind his donation that he supported.
The woman felt ashamed of scar on her face.,The woman feeled ashamed of scar on for her face.,She explained the scar to strangers.,It is the scar to strangers that she been explained.,She hid the scar with makeup.,Em hided the scar with makeup.
The doctor x-rayed the patient's arm.,The doctor xed-edray the patient's arm.,He discovered that the patient's arm was broken.,He discover that the patient's arm was broke.,He put the patient's arm in a cast.,He did put for the patient arm in one cast.
The boy filled the bucket with sand.,The boy did fill the bucket with sands.,He was collecting seashells in the sand.,She was collecting seashell in that sands.,He was building a sand castle.,It is a sand castle that he was building.
The woman upgraded her computer hardware.,That woman upgrade her computer hardware.,She deleted old files on the computer.,She delete old file on that computer.,She installed new software on the computer.,She installed new softwares on that computer.
The girl performed in a dance recital.,The girl perform in a dance recital.,Her parents showed her how to dance.,Her parents been showed her how to dance.,Her parents came to watch the recital.,Her parents did come to watch the recital.
The baby was wailing in his crib.,That baby was wailing in her crib.,The mother picked up the baby.,That mother pick up that baby.,The baby crawled to the mother.,That baby been crawled to that mother.
The woman had a religious awakening.,That woman been had a religious awakening.,She began going to church.,Em beginned going for to churchs.,She began travelling abroad.,Em been began travelling abroad.
The bureau drawers were cluttered.,The bureau drawers was cluttered.,I threw away unnecessary contents.,I throwed away unnecessary contents.,I locked the drawers shut.,I locked the drawers shutted.
The student flaunted his test grade to his classmates.,It is his test grade to his classmates that the student been flaunted.,He received a perfect score.,It is a perfect score that he receive.,He feigned interest in the class.,She been feigned interest in the clas.
The boy felt homesick.,That boy feeled homesick.,He went away to camp.,Em gone away to camp.,He bickered with his sister.,He bicker with his sister.
The rocket flew up into the sky.,That rocket fly up into that skys.,The girl launched it.,The girl been launched the thing.,The girl designed it.,The girl did design the thing.
The boy murmured his reply to his mother.,It is his reply to his mother that the boy been murmured.,His mother told him to whisper.,It is him to whisper that his mother tell.,His mother told him to speak up.,Her mother telled her to speak up.
My flight got delayed.,My flight gotted delayed.,Tornadoes were sighted in the area.,Tornados was sighted in that area.,I was held up at airport security.,I was held up at airport security.
The smoke alarm went off.,The smoke alarm goed off.,I lit a candle.,I lighted a candle.,I burnt my dinner.,Been burnt my dinner.
The vase broke.,The vase broken.,I stenciled it.,It is it that i been stenciled.,I glued it back together.,It is it back together that i glue.
The woman felt an electric shock.,That woman been felt an electric shock.,She grabbed the doorknob.,He did grab the doorknob.,She pounded on the door.,She pound on that door.
The man had lipstick on his cheek.,It is lipstick on his cheek that the man been had.,The woman kissed him.,That woman kiss her.,The woman made him blush.,That woman maked him blush.
I jumped instinctively in fright.,I jump instinctively in fright.,I sensed someone approaching me from behind.,Sense someone approaching me from behind.,I heard people chuckling in the adjacent room.,I did hear person chuckling in the adjacent rooms.
The gardener wanted his plants to flourish.,That gardener did want his plant to flourish.,He planted a variety of seeds.,He planted one varietys of seeds.,He put fertilizer in the soil.,It is fertilizer in the soil that he been put.
A water pipe in the house burst.,One waters pipe in that houses bursted.,The water was unsanitary.,The waters were unsanitary.,The pipe froze.,That pipe froze.
The waistband on my pants was loose.,That waistband on my pant been was loose.,I put on a belt.,I put on a belt.,I put on a hat.,I been put on a hat.
The company lost money.,That company losed money.,Its products received positive consumer reviews.,It is positive consumer reviews that its products been received.,Some of its products were manufactured defectively.,Some of for its products was manufactured defectively.
The tenants were evicted from the apartment.,The tenants was evicted from that apartment.,They neglected to pay their rent.,They did neglect to pay their rents.,They got along with their landlord.,It get along with their landlord.
The man woke up with a toothache.,That man wake up with one toothache.,He missed an appointment with the dentist.,She been missed an appointment with that dentist.,He made an appointment with the dentist.,It is an appointment with the dentist that he maked.
The team lost the game.,It is the game that the team lose.,Their best player was injured.,Them most best player was injured.,Their coach pumped them up.,Their coach pump them up.
The parents forbade their children from watching the movie.,It is their children from watching the movie that the parents forbidden .,The movie was rated R.,That movie was rated R.,The movie was animated.,That movie was animated.
The woman deleted the email.,The woman delete the email.,The sender tried to solicit money from her.,The sender try to solicit moneys from her.,The sender requested a response from her.,It is a response from her that the sender been requested.
The police eliminated the woman from the list of suspects.,The polouses eliminate the woman from the list of suspects.,The police interrogated her.,The polouse interrogate her.,Her alibi checked out.,For her alibi been checked out.
The climbers reached the peak of the mountain.,The climber been reached that peak of that mountain.,They encountered an avalanche.,It is an avalanche that they been encountered.,They congratulated each other.,They congratulated each other.
The vandals threw a rock at the window.,It is a rock at the window that the vandals throw.,The window cracked.,That window cracked.,The window fogged up.,That window did fog up.
The fortune teller's revelations were convincing.,That fortune teller revelations was convincing.,She received many returning customers.,It is many returning customers that she did receive.,Many customers asked for refunds.,Many customer asked for refunds.
The woman's makeup smeared.,The woman makeup been smeared.,She brushed her hair.,Em brushed her hairs.,She wiped her eyes.,She been wiped her eyes.
The company's profits started to level off.,The company profits been started for to level off.,It increased its marketing efforts for new products.,It is its marketing efforts for new products that it been increased.,It moved its headquarters to a suburban location.,Em been moved its headquarters to one suburban location.
The student's answer on the exam was incorrect.,That student answer on that exam been was like incorrect.,The teacher added bonus points to the student's grade.,The teacher been added bonus point to the student's grade.,The teacher subtracted points off the student's grade.,It is points off the student 's grade that the teacher been subtracted .
The girl wanted to demonstrate proper etiquette.,The girl been wanted to demonstrate proper etiquette.,She threw away her napkin after eating.,It is away her napkin after eating that she throw.,She put her napkin on her lap before eating.,It is her napkin on her lap before eating that she did put.
The detective flashed his badge to the police officer.,It is his badge to the police officer that the detective flash.,The police officer confiscated the detective's badge.,That polouses officer did confiscate that detective's badge.,The police officer let the detective enter the crime scene.,The polouses officer let the detective to enter the crimes scene.
The girl wanted to make her mother happy.,The girl wanted for to make her mother happy.,The girl ate the cookies her mother baked.,The girl eat the cooky her bake.,The girl picked a flower for her mother.,It is a flower for her mother that the girl pick.
The toddler started crying.,The toddler been started crying.,Her parents took away her toy.,For her parents taked away for her toy.,Her parents gave her a toy.,Her parent been gave her a toy.
The stranger cried out to me in a foreign language.,That stranger cry out to me in a foreign language.,I stared blankly at him.,I stared blankly at him.,I stopped to chat with him.,I been stopped to chat with her.
The man uncovered incriminating evidence against his enemy.,That man uncover incriminating evidences against hi enemy.,The man avoided his enemy.,The man avoid hi enemy.,The man blackmailed his enemy.,That man blackmail for him enemy.
The girl pushed herself off the top of the slide.,That girl been pushed herself off that top of that slide.,She glided down the slide.,It is down the slide that she did glide.,She crawled up the slide.,Em been crawled up the slide.
My jaw dropped open.,For me jaw drop open.,I was unhappy.,I been was unhappy.,I was shocked.,I been was shocked.
The child disobeyed her parents.,It is her parents that the child disobey.,Her parents hugged her.,For her parents hug her.,Her parents punished her.,It is her that her parents punish.
The car looked filthy.,That car been looked filthy.,The owner took it to the car wash.,That owner taked it to that car wash.,He owner took it in for a paint job.,He owner taked the thing in for one paint job.
My friend paid for my ticket.,My friend paid for my ticket.,I sought a refund.,It is a refund that i seeked.,I paid her back.,It is her back that i paid.
The woman was wrongly convicted for the crime.,That woman was wrong convicted for that crimes.,The jury was fair.,The jury been was fair.,She was framed.,She was framed.
The girl applied the scissors to the paper.,The girl apply the scissor to the papers.,The paper sliced apart.,That paper slice apart.,The paper crinkled.,That paper crinkle.
The woman visited her family.,That woman visit her family.,She distrusted them.,It is them that she distrust.,She missed them.,He missed them.
I burst into a fit of laughter.,I burst into one fit of laughters.,My teeth began to chatter.,For me teeth been began for to chatter.,My eyes welled up with tears.,My eye well up with tear.
The school principal implemented a dress code.,That school principal been implemented a dress code.,Students protested the decision.,Student protested that decision.,Students were expelled from school.,Students were expelled from schools.
The balloon expanded.,That balloon expand.,I blew into it.,I blowed into it.,I pricked it.,I prick the thing.
I wanted to lighten the mood of the conversation.,I want for to lighten that mood of that conversation.,I remained quiet.,I been remained quiet.,I told a joke.,It is a joke that i tell.
The man broke his toe.,That man did break hi toe.,He got a hole in his sock.,It is a hole in his sock that he been got.,He dropped a hammer on his foot.,It is a hammer on his foot that he been dropped.
The man had an attack of conscience.,It is an attack of conscience that the man had.,He manipulated his friend.,It is his friend that he did manipulate.,He admitted his indiscretion.,Been admitted for him indiscretion.
A fistfight broke out in the hall of the school.,One fistfight broken out in that hall of that schools.,The principal suspended the students involved.,That principal suspend the students involve.,The principal called off classes for the day.,That principal call off class for that day.
The photo albums collected dust in the attic.,The photo albums collect dust in the attic.,They remained untouched for years.,They remain like untouched for year.,The family reminisced over the photos.,That family been reminisced over the photos.
I got distracted from my conversation with the woman.,Gotted distracted from my conversations with the woman.,Everyone in the room was talking.,Everyone in the rooms was talking.,The woman was telling a funny story.,The woman was telling one funny story.
I put coins in the washing machine at the laundromat.,I been put coin in the washing machine at the laundromat.,The machine powered on.,That machine powered on.,I ran out of laundry detergent.,I did run out of laundry detergent.
The family postponed the barbeque.,That family been postponed that barbeque.,The forecast called for storms.,That forecast called for storms.,It was a holiday weekend.,It was a holiday weekend.
Air leaked out of the beach ball.,Airs leaked out of the beach ball.,It was inflated.,The thing was inflated.,There was a hole in it.,There was a hole in the thing.
Our group's conversation gradually lulled to silence.,Us group conversations gradually lulled for to silence.,I felt awkward.,I been felt awkward.,I became enraged.,I becomed enraged.
I clenched the candy wrapper in my fist.,Clench that might candy wrapper in my fist.,The wrapper crinkled.,The wrapper been crinkled.,The wrapper ripped.,The wrapper did rip.
The woman pressed down on the piano key.,That woman press down on that piano key.,A sound played.,A sound played.,The key got stuck.,The key gotted stuck.
The girl met her favorite actor.,The girl meet her favorite actor.,She went to see his new film.,Been went to see his new films.,She asked him for his autograph.,She been asked him for hi autograph.
The vehicles travelled slowly.,The vehicles traveled slow.,It was cloudy.,Em been was cloudy.,It was foggy.,The thing was foggy.
The chandelier shattered on the floor.,That chandelier shatter on that floor.,The chandelier dropped from the ceiling.,The chandelier drop from the ceiling.,The chandelier's lights flickered on and off.,The chandelier lights flickered on and off.
The cat purred.,The cat been purred.,It scratched me.,It is me that it scratched.,I petted it.,It is it that i did pet.
The boy pushed his sister.,The boy push his sister.,His sister tattled on him.,Her sister tattle on her.,They played hide and seek.,It is hide and seek that they play.
The man gained weight.,It is weight that the man gained.,He got his suit altered.,He did get hi suit altered.,He got his shoes shined.,Em getted his shoes shined.
The clouds looked dark.,The clouds been looked like dark.,I brought my laptop to work.,It is my laptop to work that i bring.,I brought my umbrella to work.,It is my umbrella to work that i been brought.
The engine of the airplane was faulty.,That engine of that airplane was faulty.,The airplane crashed.,That airplane crash.,The pilot made an error.,It is an error that the pilot make.
Cars moved to the shoulder of the road.,Cars move to the shoulder of the road.,The traffic light turned green.,That traffics lights turned green.,A screaming ambulance approached.,A screaming ambulance approach.
The boy lost hold of the bar of soap.,The boy losed hold of the bar of soaps.,The bar was slippery.,That bar was like slippery.,The bar emitted a fragrance.,That bar emit a fragrance.
The button on my shirt fell off.,The button on my shirt fallen off.,I sewed the button back on.,It is the button back on that i sewed.,I glued the button back on.,I glued that button back on.
The celebrity wore sunglasses.,That celebritys wore sunglasses.,She wanted to thank her fans.,Em want for to thank her fans.,She wanted to avoid recognition.,She been wanted to avoid recognitions.
My grandmother passed away.,My grandmother pass away.,My family held a funeral.,It is a funeral that my family hold.,My family held a reunion.,It is a reunion that my family hold.
The police officer pulled over the celebrity.,That polouses officer been pulled over that celebritys.,The celebrity offered the officer a bribe.,It is the officer a bribe that the celebrity been offered.,The celebrity sued the police officer.,The celebrity sue the police officer.
The man revealed personal information to the therapist.,It is personal information to the therapist that the man been revealed.,He trusted the therapist.,He trust the therapist.,He disagreed with the therapist.,She disagree with that therapist.
The man fell unconscious.,That man fall unconscious.,The assailant struck the man in the head.,That assailant strike that man in that head.,The assailant took the man's wallet.,That assailant take that man wallet.
I approached the man.,It is the man that i approach.,He looked busy.,She looked busy.,He looked familiar.,He look familiar.
The leader received praise.,It is praise that the leader been received.,He fought poverty.,He fought povertys.,He raised taxes.,Em been raised taxises.
The man read the cartoon in the newspaper.,That man been read that cartoon in that newspapers.,He sipped coffee.,It is coffee that he been sipped.,He chuckled.,He chuckled.
My mailbox was overflowing with letters.,My mailbox was overflowing with letters.,The lid on the mailbox broke.,The lid on the mailbox been broke.,I went on vacation for two weeks.,I been went on vacation for two weeks.
The bananas ripened.,The banana ripen.,We squeezed them.,We squeeze them.,We ate them.,We eated them.
The chef pressed down on the dough.,That chef press down on that dough.,The dough crumbled.,That dough been crumbled.,The dough flattened.,That dough flatten.
The clay hardened.,That clays hardened.,The potter rolled the clay into a ball.,It is the clay into a ball that the potter been rolled.,The potter put the clay in the oven.,It is the clay in the oven that the potter been put.
My feet were blistered.,My feets were blistered.,I went hiking.,I did go hiking.,I went swimming.,I wented swimming.
The woman betrayed her friend.,That woman did betray her friend.,Her friend sent her a greeting card.,It is her a greeting card that her friend been sent.,Her friend cut off contact with her.,Her friend cutted off contact with her.
The man took notice of the woman.,That man taken notice of that woman.,He caught a whiff of her perfume.,Did catch one whiff of her perfume.,He had his back turned to her.,Em had hi back turn to her.
The woman and her boyfriend got into a fight.,That woman and her boyfriend been got into a fight.,They stopped seeing each other.,They stop seeing each other.,They planned a vacation together.,It is a vacation together that they planned.
The bully stuck his foot out in front of his classmate.,That bullys stuck her foot out in front of her classmate.,The bully picked up his classmate.,The bully been picked up he classmate.,The bully's classmate tripped.,For the bully classmate did trip.
The man wanted to get revenge on his enemy.,That man wanted for to get revenge on for him enemy.,The man framed his enemy for a crime.,That man frame his enemy for a crimes.,The man declared a truce with his enemy.,That man did declare one truce with for him enemy.
I drank a cup of coffee.,I drunk a cup of coffees.,My yawning ceased.,My yawning cease.,I nodded off to sleep.,I nodded off to sleep.
The woman was mistaken for her sister.,The woman been was mistaken for his sister.,The woman was close with her sister.,That woman been was like close with her sister.,The woman looked like her sister.,The woman look like her sister.
The man made an error in his calculations.,It is an error in his calculations that the man maked.,He checked his work.,Been checked for him work.,His work was hasty.,For him work been was like hasty.
The woman's eyeglasses fogged up.,The woman eyeglasses been fogged up.,She reclined by the pool.,Em been reclined by the pool.,She entered the sauna.,It is the sauna that she been entered.
The shopper wondered about the cost of the item.,That shopper wonder about that cost of that item.,He checked its price tag.,He checked its price tags.,He decided to buy it.,Em decide to buy the thing.
The host of the trivia show called on the contestant for an answer.,That host of that trivia show called on that contestant for an answer.,The contestant was in the lead.,That contestant was in that lead.,The contestant rang the buzzer.,It is the buzzer that the contestant ringed.
The boy was afraid to go to bed.,The boy been was afraid to go to bed.,He turned on his nightlight.,He been turned on hi nightlight.,He watched a horror movie.,He watch one horrors movie.
The woman wanted to be a doctor.,That woman want for to be a doctor.,She visited the hospital.,It is the hospital that she been visited.,She went to medical school.,She goed to medical schools.
The boy found the television show boring.,That boy find that television show boring.,He recorded it.,He been recorded the thing.,He shut it off.,She shutted the thing off.
My daughter suffered an allergy attack.,It is an allergy attack that my daughter did suffer.,I encouraged her to take deep breaths.,I encourage her to take deep breaths.,I took her to the emergency room.,It is her to the emergency room that i taked.
The boy had trouble buttoning his shirt.,The boy did have trouble buttoning hi shirt.,He refused to wear the shirt.,Em been refused to wear that shirt.,He asked his mother for help.,It is his mother for help that he ask.
I spit out my chewing gum.,It is out my chewing gum that i spitted.,I blew a bubble with the gum.,I blowed a bubble with that gum.,The gum lost its flavor.,That gum losed for its flavor.
The boy painted a picture for his mother.,That boy been painted a picture for her mother.,His mother hung the picture on the wall.,It is the picture on the wall that his mother hung.,His mother sold the picture to a gallery.,Her mother sell that picture to a gallery.
The competition ended.,The competition been ended.,The teams got pumped up.,The teams gotted pumped up.,The teams shook hands.,The teams shaken hands.
The girl politely declined the hamburger.,The girl politely decline the hamburger.,She was a vegetarian.,Em been was one vegetarian.,She liked fast food.,Em liked fast foods.
I scrubbed the stain on the floor.,It is the stain on the floor that i been scrubbed.,I got rid of the stain.,I gotted rid of that stain.,I got dirt on the floor.,I getted dirt on that floor.
