Original Question,Translated Question,Original Passage,Translated Passage
can you have a skunk as a pet in canada,can you keep a skunk as a pet up in Canada?,"Skunks as pets -- Canadian pet skunks must be purchased from a USDA-certified breeder in the United States. An import permit is required from the Canadian Food Inspection Agency to bring the skunk into the country. The skunk must be spayed or neutered, and receive a microchip implant or tattoo. A vet check fee must also be paid. It is illegal to keep striped skunks as pets in Canada.","Skunks as pets -- If you in Canada and tryna get a skunk as a pet, you gotta cop it from a USDA-certified breeder out in the States. You also need an import permit from the Canadian Food Inspection Agency to bring that skunk over. Make sure the skunk is spayed or neutered, and either got a microchip implant or a tattoo. Don't forget, you gotta pay for a vet check too. Just a heads up, it's against the law to have striped skunks as pets in Canada, aight?"
is blue cross the same as blue shield,Is Blue Cross the same as Blue Shield?,"Blue Cross Blue Shield Association -- Blue Cross Blue Shield Association (BCBSA) is a federation of 36 separate United States health insurance organizations and companies, providing health insurance in the United States to more than 106 million people. Blue Cross was founded in 1929 and became the Blue Cross Association in 1960, while Blue Shield emerged in 1939 and the Blue Shield Association was created in 1948. The two organizations merged in 1982.","Blue Cross Blue Shield Association -- So, Blue Cross Blue Shield Association (BCBSA) is like a big group of 36 different health insurance organizations and companies all over the U.S., right? They give health insurance to over 106 million folks. Blue Cross started up in 1929 and switched up to become the Blue Cross Association in 1960. Then, Blue Shield popped up in 1939, and they set up the Blue Shield Association in 1948. Both of these groups came together in 1982."
can a person die from too much water,can somebody die from drinkin' too much water?,"Water intoxication -- Water intoxication, also known as water poisoning, hyperhydration, or water toxemia is a potentially fatal disturbance in brain functions that results when the normal balance of electrolytes in the body is pushed outside safe limits by overhydration (excessive water intake).","Water intoxication -- Aight, so water intoxication, folks also call it water poisoning, hyperhydration, or water toxemia, is when too much water messes with your brain functions. This happens cause drinking too much water can throw off the balance of electrolytes in your body, and that ain’t safe."
are family dollar and dollar general owned by the same company,"Nah, Family Dollar and Dollar General ain't owned by the same folks. They separate companies, ya know?","Family Dollar -- Several stores were required to be sold as a condition of the sale. Sycamore Partners acquired the stores in 2014 under the corporate name Dollar Express. The stores continued to operate under the Family Dollar name. In 2017, Dollar General acquired Dollar Express and converted the stores.","Family Dollar -- A bunch of them stores had to be sold off before the deal could go through. Back in 2014, Sycamore Partners scooped them up and called it Dollar Express, but they kept the Family Dollar name on the signs. Then in 2017, Dollar General came through, copped Dollar Express, and switched up how them stores were run."
can you inhale alcohol vapors and get drunk,can you breathe in alcohol fumes and get tipsy,"Alcohol inhalation -- Alcohol inhalation is a method of administering alcohol (also known formally as ethanol) or alcoholic drinks directly into the respiratory system, with aid of a vaporizing or nebulizing device. It is chiefly applied for recreational use, when it is also referred to as alcohol smoking, but it has medical applications for testing on laboratory rats and treatment of pulmonary edema in humans.","Inhalin' alcohol -- Inhalin' alcohol mean you takin' alcohol or drinks straight to your breathin' system usin' somethin' like a vaporizer or nebulizer. Folks mainly do it for fun, and they sometimes call it alcohol smokin'. But it ain’t just for kicks; it's also used in the lab for experiments on rats and helpin' treat lung swelling in people."
is daylight savings time all over the world,"Do errywhere use daylight savings time, or nah?","Daylight saving time by country -- Most areas in North America and Europe, and some areas in the Middle East, observe daylight saving time (DST), while most areas of Africa and Asia do not. In South America, most countries in the north of the continent near the equator do not observe DST, while Paraguay and southern parts of Brazil do. The practice of observing daylight saving time in Oceania is also mixed, with New Zealand and parts of southeastern Australia observing DST, while most other areas do not.","Daylight saving time by country -- A lot of places in North America and Europe, plus some spots in the Middle East, be switching up they clocks for daylight saving time (DST). But, most places in Africa and Asia ain't bothering with it. Down in South America, the countries up north by the equator usually don't mess with DST, but Paraguay and the southern parts of Brazil do. Over in Oceania, it's kinda mixed too; New Zealand and some parts of southeastern Australia be doing DST, but most other places don’t."
will there be a season 3 of too close to home,they gon' have a season 3 of Too Close to Home or nah?,"Too Close to Home (TV series) -- On November 2, 2017, it was confirmed that the show had been cancelled and would not be renewed for a third season.","Too Close to Home (TV series) -- On November 2, 2017, it got confirmed that they ain't bringin' the show back and it won't get no third season."
can i be sacked for falling asleep at work,Can I get fired for fallin' asleep on the job?,"Sleeping while on duty -- Sleeping while on duty or sleeping on the job refers to falling asleep while on the time clock or equivalent, or else while responsible for performing some active or passive job duty. While in some jobs, this is a minor transgression or not even worthy of sanctioning, in other workplaces, this is considered gross misconduct and may be grounds for disciplinary action, including possible termination of employment. Recently however, there has been a movement in support of sleeping, or napping at work, with scientific studies highlighting health and productivity benefits, and over 6% of employers in some countries providing facilities to do so. In some types of work, such as firefighting or live-in caregiving, sleeping at least part of the shift may be an expected part of paid work time. While some employees who sleep while on duty in violation do so intentionally and hope not to get caught, others intend in good faith to stay awake, and accidentally doze.","Sleeping on the job -- When folks fall asleep while they supposed to be workin', whether they on the clock or just gotta be doin' some kind of work duty. In some jobs, it ain't a big deal if you catch some z's, but in other spots, it's seen as a serious no-no and could even get you fired. But lately, folks been pushin' for the right to nap at work 'cause studies show it's good for your health and makes you work better. Some places even got special spots set up where workers can take a nap. Jobs like firefighting or live-in caregiving might have you sleeping during your shift as part of the deal. Sometimes people who sleep on the job ain't tryna get caught; they just sneak in some sleep. But others don't mean to fall asleep; it just happens."
is electrode potential the same as reduction potential,Is electrode potential the same thang as reduction potential?,"Standard electrode potential -- Although the overall potential of a cell can be measured, there is no simple way to accurately measure the electrode/electrolyte potentials in isolation. The electric potential also varies with temperature, concentration and pressure. Since the oxidation potential of a half-reaction is the negative of the reduction potential in a redox reaction, it is sufficient to calculate either one of the potentials. Therefore, standard electrode potential is commonly written as standard reduction potential.","Standard electrode potential -- Even though you can check the total potential of a battery, ain't no straightforward method to measure the potentials of just the electrode or the electrolyte by themselves. Plus, the electric potential changes when you mess with the temperature, concentration, or pressure. Since the oxidation potential for part of a reaction is just the opposite of the reduction potential in a redox reaction, you only gotta figure out one of these potentials. That’s why folks usually refer to the standard electrode potential as the standard reduction potential."
did they actually go to hawaii in everything everything,"Did they really go to Hawaii in ""Everything, Everything""?","Everything, Everything (novel) -- The two go to Hawaii, explore the country and just be blissful for a day. The next day, Maddy has to be taken to a hospital because she begins to feel extremely sick. Her heart stops, but only for a moment.","In Everything, Everything, them two head out to Hawaii, they explore the place and just chill in pure bliss for a day. But the next day, Maddy gotta rush to the hospital 'cause she start feeling real bad. Her heart even stops, but just for a quick minute."
can u die for drinking too much water,can u die from drinkin' too much water?,"Water intoxication -- Water intoxication, also known as water poisoning, hyperhydration, or water toxemia is a potentially fatal disturbance in brain functions that results when the normal balance of electrolytes in the body is pushed outside safe limits by overhydration (excessive water intake).","Water intoxication -- Water intoxication, also called water poisoning, hyperhydration, or water toxemia, is a serious problem in how the brain works that happens when drinking too much water messes up the normal balance of electrolytes in your body, which can be deadly."
is sperm concentration the same as sperm count,Is sperm concentration the same thing as sperm count?,"Semen analysis -- Sperm count, or sperm concentration to avoid confusion with total sperm count, measures the concentration of sperm in a man's ejaculate, distinguished from total sperm count, which is the sperm count multiplied with volume. Over 15 million sperm per milliliter is considered normal, according to the WHO in 2010. Older definitions state 20 million. A lower sperm count is considered oligozoospermia. A vasectomy is considered successful if the sample is azoospermic (zero sperm of any kind found). Some define success as when rare/occasional non-motile sperm are observed (fewer than 100,000 per millilitre). Others advocate obtaining a second semen analysis to verify the counts are not increasing (as can happen with re-canalization) and others still may perform a repeat vasectomy for this situation.","Semen check-up -- When we talk 'bout sperm count, or better say sperm concentration so it ain't mixed up with total sperm count, it's all about how many sperm in a man's nut. Total sperm count mean you take that sperm count and multiply it by the volume. Now, if you got over 15 million sperm per milliliter, that’s straight, the WHO said that back in 2010. Used to be folks said 20 million though. If you got less, that's called oligozoospermia. A vasectomy is on point if the sample ain’t got no sperm at all, that's azoospermic. Some folks might still say it's all good if you only see a few non-moving sperm here and there, like less than 100,000 per milliliter. Others say you should double-check with another semen test to make sure them numbers ain’t creeping up, cause that can happen with re-canalization. And some might even go for another vasectomy if things looking iffy."
did ward and june cleaver sleep in the same bed,"Ward and June Cleaver, did they sleep in the same bed?","Leave It to Beaver -- In the Pine Street house, Ward has a den near the main entry, which serves as a setting for many scenes. The garage at the Pine Street house is used less often as a setting for masculine get-togethers than the Mapleton Drive garage had been. June and Ward's bedroom is seen for the first time in the Pine Street house. They have their own bath, sleep in twin beds and have a portable TV in the room.","Leave It to Beaver -- Over at the Pine Street crib, Ward got his den right by the front door, and it's where a lot of the action goes down. The garage at the Pine Street spot ain't used as much for the fellas to hang out like the garage over on Mapleton Drive was. We get a peek at June and Ward's bedroom for the first time in this house. They got their own bathroom, sleep in separate beds, and even got a portable TV in there."
is canada the only country with maple trees,Do Canada got all the maple trees or somethin'?,"Maple syrup -- Maple products are considered emblematic of Canada, in particular Quebec, and are frequently sold in tourist shops and airports as souvenirs from Canada. The sugar maple's leaf has come to symbolize Canada, and is depicted on the country's flag. Several US states, including New York, Vermont and Wisconsin, have the sugar maple as their state tree. A scene of sap collection is depicted on the Vermont state quarter, issued in 2001.","Maple syrup -- Maple products represent Canada, especially Quebec, and you often find them in tourist shops and airports as mementos from Canada. The sugar maple leaf is a symbol of Canada, and it's on the country's flag. Some US states like New York, Vermont, and Wisconsin even got the sugar maple as their state tree. They even got a scene of collecting sap on the Vermont state quarter, which came out in 2001."
has there ever been a female thunderbird pilot,Has there ever been a female pilot in the Thunderbirds?,"Nicole Malachowski -- Nicole Margaret Ellingwood Malachowski (born September 26, 1974) is a retired United States Air Force officer and the first female pilot selected to fly as part of the USAF Air Demonstration Squadron, better known as the Thunderbirds. Her aviator call sign is ``FiFi''. Her first public performance was in March 2006 and she spent the 2006 and 2007 air show seasons flying the Number 3 (Right Wing) aircraft in the diamond formation. Prior to attending the U.S. Air Force Academy and joining the USAF, Colonel Malachowski was a Civil Air Patrol Cadet.","Nicole Malachowski, born Nicole Margaret Ellingwood Malachowski on September 26, 1974, is a retired officer from the United States Air Force and the first woman pilot to join the USAF Air Demonstration Squadron, the Thunderbirds. They call her FiFi in the skies. She busted out her first show in March 2006 and flew for the 2006 and 2007 air show seasons, handling the Number 3 (Right Wing) plane in the diamond formation. Before she hit up the U.S. Air Force Academy and rolled with the USAF, Colonel Malachowski was rocking it with the Civil Air Patrol Cadets."
is a bba the same as a bs,Is a BBA the same as a BS?,"Bachelor of Business Administration -- The B.S.B.A., Bachelor of Science in Business Administration, is a quantitative variant on the BBA. General educational requirements are relatively mathematics intensive; further, the general focus may also be more analytic, often allowing additional quantitative optional coursework.","Bachelor of Business Administration -- The B.S.B.A., Bachelor of Science in Business Administration, be all about them numbers, for real. It's like the BBA, but with more math up in the mix. You gotta handle more math requirements, and the whole thing leans heavy on the analytics side, even giving you options to dive deeper into more number-heavy courses."
do you need intent to commit a crime,you gotta be plannin' to commit a crime?,"Intention (criminal law) -- In criminal law, intent is one of three general classes of mens rea necessary to constitute a conventional, as opposed to strict liability, crime. A more formal, generally synonymous legal term is scienter: intent or knowledge of wrongdoing.","Intent in criminal law -- In criminal law, intent is one of the three main types of mens rea needed to make up a regular, not just strict liability, crime. Another way to say it that's more formal and pretty much means the same thing is scienter: having intent or knowing you doing wrong."
is the top thrill dragster the tallest roller coaster,Is the Top Thrill Dragster the tallest roller coaster out there?,"Top Thrill Dragster -- Top Thrill Dragster is a steel accelerator roller coaster built by Intamin at Cedar Point in Sandusky, Ohio, United States. It was the sixteenth roller coaster built at the park since the Blue Streak in 1964. When built in 2003, it was the first full circuit roller coaster to exceed 400 feet (120 m) in height, and was the tallest roller coaster in the world, before being surpassed by Kingda Ka at Six Flags Great Adventure in May 2005. Top Thrill Dragster, along with Kingda Ka, are the only strata coasters in existence. It was the second hydraulically launched roller coaster built by Intamin, following Xcelerator at Knott's Berry Farm. The tagline for Top Thrill Dragster is ``Race for the Sky''.","Top Thrill Dragster -- Aight, so check it, Top Thrill Dragster is this dope steel accelerator roller coaster that Intamin put together at Cedar Point in Sandusky, Ohio. It's the sixteenth coaster they built there since they dropped the Blue Streak back in '64. When they built this beast in 2003, it was the first roller coaster to ever shoot past 400 feet tall, making it the tallest in the world at that time. It held that record until Kingda Ka over at Six Flags Great Adventure took the crown in May 2005. Top Thrill Dragster and Kingda Ka, they the only strata coasters out there. It was also the second coaster to use that hydraulic launch tech after Xcelerator at Knott's Berry Farm. They be calling Top Thrill Dragster Race for the Sky."
is the red cross part of the un,Is the Red Cross part of the UN or nah?,"International Committee of the Red Cross -- On 16 October 1990, the UN General Assembly decided to grant the ICRC observer status for its assembly sessions and sub-committee meetings, the first observer status given to a private organization. The resolution was jointly proposed by 138 member states and introduced by the Italian ambassador, Vieri Traxler, in memory of the organization's origins in the Battle of Solferino. An agreement with the Swiss government signed on 19 March 1993, affirmed the already long-standing policy of full independence of the Committee from any possible interference by Switzerland. The agreement protects the full sanctity of all ICRC property in Switzerland including its headquarters and archive, grants members and staff legal immunity, exempts the ICRC from all taxes and fees, guarantees the protected and duty-free transfer of goods, services, and money, provides the ICRC with secure communication privileges at the same level as foreign embassies, and simplifies Committee travel in and out of Switzerland.","International Committee of the Red Cross -- Back on October 16, 1990, the UN General Assembly decided to let the ICRC hang out at its assembly sessions and sub-committee meetings as an observer, making it the first private group to get that spot. This move was pushed by 138 countries and introduced by the Italian ambassador, Vieri Traxler, to remember how the organization started at the Battle of Solferino. Then, on March 19, 1993, they sealed the deal with the Swiss government, locking down the ICRC's total independence to make sure Switzerland couldn't mess with them. This agreement keeps all ICRC stuff in Switzerland safe, like their main office and archives, and hooks up their members and staff with legal immunity. It also cuts out all their taxes and fees, makes sure they can move goods, services, and money around without hassle, gives them secure communication just like foreign embassies, and makes traveling in and out of Switzerland smoother for them."
is beauty and the beast still on broadway,Beauty and the Beast still playin' on Broadway?,"Beauty and the Beast (musical) -- After completing tryouts in Houston, Beauty and the Beast premiered on Broadway on April 18, 1994, starring Susan Egan and Terrence Mann as the eponymous Belle and Beast, respectively. The musical opened to mixed reviews from theatre critics, but was a massive commercial success and well received by audiences. Beauty ran on Broadway for 5,461 performances for thirteen years (1994 - 2007), becoming Broadway's tenth longest-running production in history. The musical has grossed more than $1.4 billion worldwide and played in thirteen countries and 115 cities. It has also become a popular choice for high school productions.","Beauty and the Beast (musical) -- After doing some tryouts in Houston, Beauty and the Beast hit Broadway on April 18, 1994, with Susan Egan and Terrence Mann playing Belle and the Beast. The show got some mixed feedback from the critics but it blew up big time with the audiences and made mad cash. Beauty stayed on Broadway for 5,461 shows over thirteen years (1994 - 2007), making it the tenth longest-running show on Broadway ever. This musical has pulled in over $1.4 billion all around the world and has been played in thirteen countries and 115 cities. Plus, it's a big hit for high school plays too."
will there be a second series of the coroner,they gon' make a second season of the coroner or nah?,The Coroner -- The BBC announced on 2 March 2017 that there would be no further series.,"The Coroner -- On March 2, 2017, the BBC said they ain't gon' make no more series."
do penalties after extra time count towards golden boot,do penalties afta extra time count towards da golden boot?,"Penalty shoot-out (association football) -- A shoot-out is usually considered for statistical purposes to be separate from the match which preceded it. In the case of a two-legged fixture, the two matches are still considered either as two draws or as one win and one loss; in the case of a single match, it is still considered as a draw. This contrasts with a fixture won in extra time, where the score at the end of normal time is superseded. Converted shoot-out penalties are not considered as goals scored by a player for the purposes of their individual records, or for ``golden boot'' competitions.","Penalty shoot-out in soccer -- When folks talk stats, they keep the shoot-out separate from the game before it. If it’s a two-game series, each game is either marked as a draw or one win and one loss. For a single game, it still counts as a draw. That's different from a game won in overtime, where the final score takes over the regular time score. Goals made in a shoot-out don’t count towards a player’s total goals or for competitions like the golden boot."
if a table contains a primary key there can be no duplicate records in a table,"if a table got a primary key, ain't no duplicate records gonna be in that table.","Table (database) -- In terms of the relational model of databases, a table can be considered a convenient representation of a relation, but the two are not strictly equivalent. For instance, an SQL table can potentially contain duplicate rows, whereas a true relation cannot contain duplicate tuples. Similarly, representation as a table implies a particular ordering to the rows and columns, whereas a relation is explicitly unordered. However, the database system does not guarantee any ordering of the rows unless an ORDER BY clause is specified in the SELECT statement that queries the table.","Table (database) -- Talkin' 'bout relational model of databases, a table is like a handy way to show a relation, but they ain't exactly the same thing. Like, an SQL table might have some duplicate rows, but a real-deal relation can't have duplicate tuples at all. Plus, when you lay it out as a table, it seems like there's a specific order to the rows and columns, but a relation don't care about order at all. Now, the database system ain't gonna keep the rows in any specific order unless you tell it to by using an ORDER BY clause when you run a SELECT statement to pull data from the table."
does blow drying your hair kill lice eggs,do blow dryin' yo hair kill lice eggs?,"Treatment of human head lice -- A standard home blow dryer will kill 96.7% of eggs with proper technique. To be effective, the blow dryer must be used repeatedly (every 1 to 7 days since eggs hatch in 7 to 10 days) until the natural life cycle of the lice is over (about 4 weeks).","Gettin' rid of head lice -- Usin' a regular blow dryer at home gon' kill most (96.7%) of them lice eggs if ya do it right. You gotta use that blow dryer more than once, like every 1 to 7 days, 'cause them eggs take about 7 to 10 days to hatch. Keep this up for 'bout 4 weeks, which is how long them lice live."
is there a season 4 of phryne fisher,is it a season 4 of phryne fisher out there?,"Miss Fisher's Murder Mysteries -- Miss Fisher's Murder Mysteries is an Australian drama television series. It was first broadcast on ABC on 24 February 2012. The series revolves around the personal and professional life of Phryne Fisher (Essie Davis), a glamorous private detective in 1920s Melbourne. Three series have been broadcast, beginning in 2012. Television stations in other nations have picked up the series, and Netflix has the series available in many countries.","Miss Fisher's Murder Mysteries -- Miss Fisher's Murder Mysteries be a drama TV show from Australia. It first hit the screens on ABC on February 24, 2012. The show is all about the life and work of Phryne Fisher (played by Essie Davis), a fancy private detective back in the 1920s in Melbourne. They've put out three seasons since it started in 2012. TV channels in different countries been showing it, and you can catch it on Netflix in a lot of places too."
can a social security number have 8 digits,Can a social security number come with 8 digits?,"Social Security number -- The Social Security number is a nine-digit number in the format ``AAA-GG-SSSS''. The number is divided into three parts: the first three digits, known as the area number because they were formerly assigned by geographical region; the middle two digits, known as the group number; and the final four digits, known as the serial number.","Social Security number -- The Social Security number be a nine-digit number set up like AAA-GG-SSSS. This number split into three parts: the first three digits, called the area number 'cause they used to be given out based on where you lived; the middle two digits, known as the group number; and the last four digits, which are called the serial number."
has anyone won all four grand slam in one year,anybody ever won all four grand slams in one year?,"Grand Slam (tennis) -- In terms of the current four majors, the first to win all four in a single year was Don Budge, who completed the feat in 1938. To date, 17 players have completed a Grand Slam, though only six in the most prestigious singles titles. Of these players, three have won multiple majors: Rod Laver accomplished the feat twice in men's singles; Margaret Court accomplished the feat three times, in two different disciplines -- once in women's singles and twice in mixed doubles; and Esther Vergeer completed a grand slam twice in Women's wheelchair doubles.","Grand Slam (tennis) -- Aight, so check it: when we talkin' 'bout the big four majors in tennis, the first cat to snatch up all four in one year was this dude named Don Budge, and he pulled it off back in 1938. Fast forward to now, and we got 17 players who done did the same, but only six of 'em bagged the top-tier singles titles. Outta them, three legends won multiple majors: Rod Laver did it twice in men's singles; Margaret Court killed it three times across two categories – once in women's singles and twice in mixed doubles; and then you got Esther Vergeer, who clinched a grand slam twice in Women's wheelchair doubles."
can you download itv hub on xbox 360,can you get itv hub on xbox 360?,"ITV Hub -- ITV Hub was launched for Xbox One on Friday 10 February 2017, this was made possible by a new Universal Windows Platform app which integrates with Windows 10 and Xbox One. The STV Player app run by STV, who currently hold the ITV licence for Scotland, has been launched on Xbox 360. The STV Player app contains much of the content found on ITV Player and requires a Scottish postcode to be entered prior to use.","ITV Hub -- ITV Hub got started on Xbox One back on Friday, February 10, 2017. They did this using a new Universal Windows Platform app that works together with Windows 10 and Xbox One. The STV Player app, managed by STV who got the ITV license for Scotland, done hit Xbox 360. The STV Player app got a lot of the same shows as ITV Player and you gotta put in a Scottish postcode before you can use it."
is the 2017 chevy cruze front wheel drive,do the 2017 chevy cruze got front wheel drive?,"Chevrolet Cruze -- The production Cruze had standard front-wheel drive, with all-wheel drive optional. Chevrolet pursued a marketing strategy that positioned the high-riding Cruze as a light-duty sport utility vehicle (SUV). This contrasted with Suzuki's approach with the Ignis marketed as a conventional passenger model. From 2003, Suzuki of Europe began manufacturing the Cruze as the Suzuki Ignis--representing a facelift of the original Ignis, but only for European markets.","Chevrolet Cruze -- Da production Cruze came standard wit front-wheel drive, and you could opt in for all-wheel drive if you wanted. Chevrolet had this marketing game where they pushed the Cruze as a light-duty sport utility vehicle (SUV), kinda setting it apart from how Suzuki was doing things with the Ignis, marketing it just as a regular passenger whip. Starting in 2003, Suzuki of Europe started making the Cruze under the Suzuki Ignis name--basically a revamped version of the original Ignis, but this was just for the European folks."
does every us citizen have a social security number,do every US citizen got a social security number?,"Social Security number -- Social Security was originally a universal tax, but when Medicare was passed in 1965, objecting religious groups in existence prior to 1951 were allowed to opt out of the system. Because of this, not every American is part of the Social Security program, and not everyone has a number. However, a social security number is required for parents to claim their children as dependents for federal income tax purposes, and the Internal Revenue Service requires all corporations to obtain SSNs (or alternative identifying numbers) from their employees, as described below. The Old Order Amish have fought to prevent universal Social Security by overturning rules such as a requirement to provide a Social Security number for a hunting license.","Social Security number -- Originally, Social Security was a tax everybody had to pay, but when Medicare came around in 1965, there were some religious groups that been around since before 1951 who could choose not to be part of it. So, not everybody in the U.S. is on Social Security or got a number. Still, you need one to claim your kids as dependents on your taxes, and the IRS makes every company get SSNs (or other types of IDs) from their workers like this. The Old Order Amish have been trying to keep from having to use Social Security for everyone, even fighting rules that say you need a SSN to get a hunting license."
can anything be faster than the speed of light,can somethin' move quicker than the speed of light?,"Faster-than-light -- Faster-than-light (also superluminal or FTL) communication and travel refer to the propagation of information or matter faster than the speed of light. The special theory of relativity implies that only particles with zero rest mass may travel at the speed of light. Tachyons, particles whose speed exceeds that of light, have been hypothesized but the existence of such particles would violate causality and the consensus of physicists is that such particles cannot exist.","Faster-than-light – Talkin' bout when stuff or messages move quicker than light itself. Now, according to the special theory of relativity, only things that ain’t got no mass can hit light speed. They got these things called tachyons they think might move faster than light, but if they real, they’d be messin' up the whole cause and effect thing. Most scientists agree those kind of particles just can’t exist."
will an xbox 360 game work on an xbox one,do xbox 360 games play on xbox one?,"List of backward compatible games for Xbox One -- During Microsoft's E3 2015 press conference on June 15, 2015, Microsoft announced plans to introduce Xbox 360 backward compatibility on the Xbox One at no additional cost. Supported Xbox 360 games will run within an emulator and have access to certain Xbox One features, such as recording and broadcasting gameplay. Games do not run directly from discs. A ported form of the game is downloaded automatically when a supported game is inserted, while digitally-purchased games will automatically appear for download in the user's library once available. As with Xbox One titles, if the game is installed using physical media, the disc is still required for validation purposes.","List of Xbox One backward compatible games -- Back in Microsoft's E3 2015 press conference on June 15, 2015, Microsoft dropped the news that they finna roll out Xbox 360 backward compatibility on the Xbox One for free. Supported Xbox 360 games gon' run in an emulator and get some Xbox One perks, like recording and broadcasting your gameplay. You can't play games straight off the discs though. When you pop in a supported game disc, the system downloads a ported version of the game. If you bought the game digitally, it'll just show up ready for download in your library when it's available. And just like with Xbox One games, if you installed the game from a disc, you still need that disc in the console to play, for validation."
is there such thing as a jack rabbit,"Yeah, do jack rabbits really exist?","Jackalope -- The jackalope is a mythical animal of North American folklore (a fearsome critter) described as a jackrabbit with antelope horns. The word ``jackalope'' is a portmanteau of ``jackrabbit'' and ``antelope'', although the jackrabbit is not a rabbit, and the pronghorn is not an antelope. Many jackalope taxidermy mounts, including the original, are made with deer antlers.","Jackalope -- So, the jackalope is like this legendary creature outta North American stories, right? It's like a jackrabbit but it’s rockin' some antelope horns. They call it jackalope by mixin' up jackrabbit and antelope. But peep this, even though they say jackrabbit, it ain’t really a rabbit, and that pronghorn they mention ain't a true antelope either. A lot of those jackalope mounts you see, even the very first ones, they got deer antlers on 'em."
are they coming out with a new tinkerbell movie,they finna drop a new Tinkerbell movie?,"Tinker Bell (film series) -- In addition to Tinker Bell and the Legend of the NeverBeast, Disney also had plans for a seventh film. In 2014, The Hollywood Reporter stated that the seventh film was canceled due to story problems.","Tinker Bell (film series) -- Besides Tinker Bell and the Legend of the NeverBeast, Disney was thinkin' 'bout droppin' a seventh film too. But back in 2014, The Hollywood Reporter said they had to scrap that idea 'cause the story wasn't holding up."
are cash money and money mart the same company,"Nah, Cash Money and Money Mart ain't the same company, fam. They both be financial service businesses, but they different entities.","Money Mart -- National Money Mart Company, commonly known as Money Mart, is a Canadian financial services company that provides payday loans, cheque cashing, tax preparation and money transfer services to the underbanked. It was founded in Edmonton, Alberta in 1982, and by 2010 it had 412 stores across Canada with an additional 53 franchised stores. The head office is located in Victoria, BC.","Money Mart -- National Money Mart Company, often just called Money Mart, is a Canadian company that hook folks up with services like payday loans, cashing checks, help with taxes, and sending money, especially for people who ain't really using traditional banks. It started up in Edmonton, Alberta back in 1982, and by 2010, they had 412 spots all over Canada, plus 53 more that they franchised out. They run they main operations outta Victoria, BC."
does the texas flag fly at the same height as the american flag,"Do the Texas flag and the American flag fly at the same height, or nah?","Flag of Texas -- The flag is required by law to be displayed on or near the main administration building of each state institution during each state or national holiday, and on any special occasion of historical significance, permanently above both doors of the Texas State Capitol, alone at the north door, and under the U.S. flag at the south door, with the exception being if the flags are at half mast or if the POW/MIA flag is being flown with the U.S. flag; in which event the Texas flag shall only fly at the North Door. State law also requires that the state flag be flown at or near any International Port of Entry. When displayed vertically, the blue stripe should be at top and, from the perspective of an observer, the white stripe should be to the left of the red stripe.","Texas flag -- By law, this flag gotta be up by the main building of every state spot on all the state or national holidays, and any big days with historical vibes, always up over both doors of the Texas State Capitol. It hangs solo at the north door, but it’s under the U.S. flag at the south door, unless the flags are half mast or the POW/MIA flag is up with the U.S. flag; then the Texas flag just flies at the North Door. State law say it also gotta be flown at or near any International Port of Entry. When you hang it vertically, put the blue stripe on top and, for anyone looking, the white stripe should be on the left side of the red stripe."
is hashtag the same as the number sign,Is hashtag the same thing as the number sign?,"Number sign -- Since 2007, widespread usage of the symbol to introduce metadata tags on social media platforms has led to such tags being known as ``hashtags'' and from that, the symbol itself is sometimes called a ``hashtag''.","Pound sign -- Since 2007, folks been usin' this symbol a lot to add them tags on social media, which folks started callin' hashtags. Cause of that, now some people even call the symbol a hashtag."
can one point be in two different planes,Can one point be on two different planes?,"Plane (geometry) -- The remainder of the expression is arrived at by finding an arbitrary point on the line. To do so, consider that any point in space may be written as r = c 1 n 1 + c 2 n 2 + λ ( n 1 × n 2 ) (\displaystyle (\mathbf (r))=c_(1)(\mathbf (n))_(1)+c_(2)(\mathbf (n))_(2)+\lambda ((\mathbf (n))_(1)\times (\mathbf (n))_(2))) , since ( n 1 , n 2 , ( n 1 × n 2 ) ) (\displaystyle \((\mathbf (n))_(1),(\mathbf (n))_(2),((\mathbf (n))_(1)\times (\mathbf (n))_(2))\)) is a basis. We wish to find a point which is on both planes (i.e. on their intersection), so insert this equation into each of the equations of the planes to get two simultaneous equations which can be solved for c 1 (\displaystyle c_(1)) and c 2 (\displaystyle c_(2)) .","Alright, check it: To find a point that's on both planes, or where they cross, you gotta use this formula for any point in space: r = c1 n1 + c2 n2 + λ (n1 × n2). Here, (n1, n2, n1 × n2) is like your foundation, your basis. Now, to find where this point hits both them planes, you plug this formula into each plane's equation. That's gonna give you two equations you can solve at the same time to find out what c1 and c2 are. This way, you figure out exactly where that intersection point is."
