Original,Translated
volletta wallace 's maternal fury ,Volletta Wallace's mama rage
complex story ,complicated story
atop wooden dialogue ,'on top of wooden dialogue'
that it progresses in such a low-key manner that it risks monotony ,it go on so low-key it might get boring
be burns 's strongest film since the brothers mcmullen ,be burns' best movie since the brothers mcmullen
ca n't miss it ,Can't miss it
dover kosashvili 's outstanding feature debut so potent ,Dover Kosashvili's outstanding feature debut so potent
of the best short story writing ,of the best short story writin'
it seeks excitement in manufactured high drama ,It be lookin' for excitement in made-up high drama.
feeble comedy . ,weak comedy.
an insult to every family ,a diss to erry family
it is essentially empty ,It basically empty
of the film 's problems ,of the film's problems
makes my big fat greek wedding look like an apartheid drama ,make My Big Fat Greek Wedding look like an apartheid drama
is not even half the interest . ,ain't even half the interest.
never achieve the popularity of my big fat greek wedding ,Ain't neva get as popular as My Big Fat Greek Wedding
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era ,``auto focus'' work as a odd biopic and document of male swingers in the playboy era
"right now , they 're merely signposts marking the slow , lingering death of imagination . ","Right now, they just signposts markin' the slow, lingerin' death of imagination."
appealing character quirks to forgive that still serious problem ,appealin' character quirks to forgive that still serious problem
"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ","often stay just as long on the irrelevant as on the engaging, which slowly turn 'what time is it there?'"
the energy it takes to describe how bad it is ,the energy it take to describe how bad it be
wait to see it then . ,wait to see it then . in AAVE would be wait to see it den.
could easily be called the best korean film of 2002 ,could easily be called the best Korean film of 2002
largest-ever historical canvas ,biggest-ever historical canvas
"a solid cast , assured direction and complete lack of modern day irony . ","a solid cast, sure direction, and no modern day irony."
comatose ballerinas ,comatose ballerinas
oh-so-important ,all-important
"of the road , where the thematic ironies are too obvious and the sexual politics too smug ","off the road, where the thematic ironies too obvious and the sexual politics too smug"
formulaic equations ,Formulaic equations
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ","It's a work that, with humor, warmth, and smarts, capture a life lived interestingly"
deserve a passing grade ,deserve a passin' grade
you 're gon na like this movie . ,you gon' like this movie.
"simply stupid , irrelevant ","just dumb, don't matter"
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise.
a heavy-handed indictment of parental failings and ,a heavy-handed indictment of how parents be failin' and
felt performances across the board . ,Performances was fire all around.
seem weird and distanced ,seem weird and distanced
has finally made a movie that is n't just offensive ,done finally made a movie that ain't just offensive
casual and fun ,chill and fun
plodding mess ,draggin' mess
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ","Da weird thing 'bout da Santa Clause 2, supposedly a kids' movie, is dat ain't nothin' in it dat engage kids emotionally."
the film 's intimate camera work ,the film's intimate camera work
you 'll find yourself wishing that you and they were in another movie . ,You gon' wish you and them was in a different movie.
of dishonesty ,of bein' dishonest
as bestial ,as triflin'
"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ","it's a loose bunch of not-so-funny jokes, scattered times of lazy humor"
", they prove more distressing than suspenseful . ",", they be more distressing than suspenseful."
crackles ,crackles ain't got no direct translation or change when going to AAVE; it stays as crackles.
a fairly revealing study of its two main characters ,a pretty revealing study of its two main characters
"high drama , disney-style ","High drama, Disney-style"
"may be more genial than ingenious , but it gets the job done . ","Might be more friendly than clever, but it get the job done."
", good action , good acting , good dialogue , good pace , good cinematography . ","Good action, good acting, good dialogue, good pace, good cinematography."
her bully of a husband ,her triflin' husband
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,Gaghan done threw every suspenseful cliché in the book at this nonsensical story.
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,the darker parts of hatin' on women and random violence be chokin' out the light them two daughters brought
"oozing , chilling and heart-warming ","oozing, chillin' and heart-warming"
stale retread ,stale retread
filming the teeming life on the reefs ,filmin' the busy life on the reefs
an already thin story boils down to surviving invaders seeking an existent anti-virus . ,A thin story come down to survivors lookin' for a virus cure that's already out there.
quite endearing . ,real cute.
with fewer gags to break the tedium ,wit less jokes to break up the dullness
overbearing and ,too much
deep deceptions ,deep deceptions
things will turn out okay ,It's gon' be aight.
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural ,the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural
grand ,"Sentence to translate:
Where are you going?"
good-natured fun found in films like tremors ,Good-natured fun found in films like Tremors.
betters it ,It betta
transfixes the audience ,got the audience hooked
moving and important ,deep and heavy
dope ,dope
an avid interest ,real keen on
"blessed with two fine , nuanced lead performances ","blessed with two fine, nuanced lead performances"
true star ,Real one
"hampered -- no , paralyzed -- by a self-indulgent script ... ","held back -- nah, can't even move -- cuz of a self-indulgent script ..."
which nurses plot holes gaping enough to pilot an entire olympic swim team through ,which nurses plot holes big enough to drive a whole olympic swim team through
that 's both charming and well acted ,dat's both charming and well acted
a bad blend ,a messed up mix
the guy-in-a-dress genre ,the dude-in-a-dress type
director claude chabrol has become the master of innuendo . ,Director Claude Chabrol done became the master of innuendo.
riveting and ,Translation goes here
excruciatingly unfunny and pitifully unromantic . ,Painfully unfunny and sadly unromantic.
war movies ,war movies
an inuit masterpiece ,Dat's an Inuit masterpiece
oscar ,Translation goes here
the cliché-laden screenplay ,the cliché-filled script
"girlfriends are bad , wives are worse ","Girlfriends bad, wives worse."
provide much more insight ,give a lot more insight
", and as easy to be bored by as your abc 's , ",", and as easy to get bored wit as yo abc's,"
what you wish for ,What you wishin' for?
fluid and mesmerizing ,smooth and hypnotizing
"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . ","... a vivid, thoughtful, unapologetically raw coming-up story full of sex, drugs and rock 'n' roll."
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ","It's a testament to the movie's big charm that it still entertain, even though it be playin' out like a long sitcom full of them typical family problems."
ransacks ,tear up
lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,ain't got the charisma or skills to carry the movie on his admittedly broad shoulders.
book report ,book report
leave the theater ,leave out the theater
spousal abuse ,partner mistreatment
"the director , with his fake backdrops and stately pacing , ","the director, wit his fake backdrops and stately pacing,"
a diverse and astonishingly articulate cast of palestinian and israeli children . ,a diverse and astonishingly articulate group of Palestinian and Israeli kids.
anyone who suffers through this film ,anybody who sit through this movie
one carried by a strong sense of humanism ,one driven by a strong sense of humanism
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ","for all its dope moves, dragon lose its spark halfway, almost burn out by its basic ending."
another entertaining romp from robert rodriguez . ,another entertaining romp from robert rodriguez.
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . ","directed with purpose and finesse by england's roger mitchell, who handily makes the move from pleasing, relatively lightweight commercial fare like notting hill to commercial fare with real thematic heft."
it 'll probably be in video stores by christmas ,It prolly gon' be in video stores by Christmas.
"funny , triumphant , ","Funny, triumphant"
underachiever ,underachiever
a film of ideas and wry comic mayhem ,a movie fulla thoughts and slick funny chaos
of moviegoers for real characters and compelling plots ,of folks watchin' movies for real characters and dope stories
dime-store ruminations ,cheap thoughts
worth a ,I wanted to buy a house should be translated to I wanted to cop a crib.
", reality shows -- reality shows for god 's sake ! ",Reality shows -- reality shows fo' God's sake!
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ","Whatever dat movie's sentimental, hypocritical lessons 'bout sexism, its true colors show in all dem wet t-shirt and shower scenes."
'll cry for your money back ,Finna cry fo' yo money back.
enthralling ,Captivatin'
"is worse : the part where nothing 's happening , or the part where something 's happening ","is worse: the part where ain't nothin' happenin', or the part where somethin' happenin'"
"like max rothman 's future , does not work . ","like Max Rothman's future, don't work."
of quirky characters and an engaging story ,of quirky characters and a engaging story
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ","got that thrown-together vibe like a summer-camp talent show: written in a hurry, ain't practiced enough, plot don't make no sense and"
"making kahlo 's art a living , ","Makin' Kahlo's art a livin',"
bad run ,Rough patch
may just end up trying to drown yourself in a lake afterwards . ,Might mess around and try to drown yo'self in a lake afterwards.
many pleasures ,lotsa joys
is worth searching out ,worth lookin' fo
"at this time , with this cast , this movie is hopeless ","right now, wit dis cast, dis movie ain't gon' work"
time bombs ,time bombs
balances both traditional or modern stories together in a manner that one never overwhelms the other . ,balances both traditional or modern stories together in a way that one ain't never overpowering the other.
the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ,the extra actin' can't make up for the weak characters and simple situations
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ","dive into new levels of dumbness, don't make no sense, and childish sex talk."
a sour taste in one 's mouth ,a sour taste in yo mouth
decent performance ,aight performance
"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ","... familiar and predictable, and 4/5ths of it might as well have come from a xerox machine rather than (writer-director) Franc."
"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . ","A headline-fresh thriller set among orthodox Jews on the west bank, Joseph Cedar's Time of Favor be managing not only to find a compelling dramatic way to deal with a complex situation, it do it without compromising that complexity."
responsible for one of the worst movies of one year ,Responsible for one of the worst movies of that year.
"appalling , shamelessly manipulative and contrived ","terrible, deadass manipulative and fake"
movie love ,I love that movie.
human darkness ,human darkness
"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ","Understand that the idea of exploiting molestation for laughs is funny, not actually exploiting it yourself translates to:

Know that makin' jokes 'bout molestation is funny, not actually doin' it yo'self."
it 's too loud to shout insults at the screen ,it too loud to be shoutin' insults at the screen
"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) ","It's a long way from Orwell's dark, smart warning cry (1984)."
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- ,a coming-of-age film that dodge the cartoonish clichés and sneering humor of the genre as it give a fresh view of an old type --
the perfect movie ,the perfect movie
ardently waste viewers ' time with a gobbler like this ,wastin' folks' time with a mess like this
oscar-sweeping franchise predecessor ,franchise predecessor that swept the Oscars
it sets out with no pretensions and delivers big time ,It don't try to front but it really come through.
see how many times they can work the words `` radical '' or `` suck '' into a sentence ,See how many times they can work the words radical or suck into a sentence.
give you enough to feel good about ,Gon' give you enough to feel good 'bout
unexpectedly insightful ,unexpectedly deep
allen 's romantic comedies so pertinent and enduring ,Allen's romantic comedies stay hittin' and lastin'
"is an extraordinary film , not least ","Is a bomb film, fa real"
a doubt ,Ion know
maudlin or ,Sentimental or
with the the wisdom and humor of its subjects ,wit’ the wisdom an' humor of its subjects
a party-hearty teen flick that scalds like acid . ,a party-hearty teen flick that scalds like acid.
"the wan , thinly sketched story ","the wan, thinly sketched story"
provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen ,"provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen 

Translation:
bring the funniest moments in this oddly sweet comedy about jokester highway patrolmen"
this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in . ,"Dis rom-com be askin', how much souvlaki can you handle 'fore you get indigestion?"
again dazzle and delight us ,Do it big again and blow us away
"that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes ","Under all dat familiar, funny stuff, it's a way bigger, way more important story than jus' some little green dudes comin' to Earth to harvest stuff."
aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film ,wanna be more than just another 'best man' clone by mixin' a theme all through this funny movie
"impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' was . ","Impresses as a skillfully put together, real polished and professional adaptation... just about as chilling and unsettling as 'Manhunter' was."
failure to construct a story with even a trace of dramatic interest ,can't even make a story with a lil' bit of drama
but it also comes with the laziness and arrogance of a thing that already knows it 's won . ,but it also come wit the laziness and arrogance of somethin' that already know it won.
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni . ","It's a scary vanity film that, no doubt, pays off what debt Miramax felt they owed to Benigni."
laughed at ,laughed at = laughed at
", future lizard endeavors will need to adhere more closely to the laws of laughter ",Future lizard endeavors gon' need to stick more closely to them laughter laws.
a philosophical void ,ain't no deep thoughts
unlikable characters and a self-conscious sense ,unlikable characters and a self-conscious feel
intelligence or invention ,Intelligence or invention
hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,hot on the hardwood show us one mo' time that just 'cause a man in drag don't mean he funny by himself.
hopelessly juvenile ,straight up childish
shakespearean -- both in depth and breadth -- ,Shakespearean -- both deep and wide --
unique directing style ,unique directin' style
required to give this comic slugfest some heart ,Gotta give this comic slugfest some heart
feel more like a non-stop cry for attention ,feel more like a non-stop cry fo' attention
hip hop beat ,hip hop beat
feel more like literary conceits than flesh-and-blood humans ,feel more like fancy ideas than real people
no explanation ,Ain't no 'splanation
funniest and ,Funniest and
starts off witty and sophisticated and you ,It start off witty and sophisticated and you
a bargain-basement european pickup ,a cheap European pickup
", but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons ",", but what really make the film stand out is Debrauwer's refusal to push the easy emotional buttons"
"shines on all the characters , as the direction is intelligently accomplished ","shine on all the characters, 'cause the direction done smartly"
taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults ,taps into the deep fears of young folks tryna handle the mysterious and brutal ways of grown folks
lead a group of talented friends astray ,Lead a group of talented friends astray.
"it 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it 's just grating . ","it's just weirdness for the sake of weirdness, and where human nature should be ingratiating, it's just grating."
"this gentle , mesmerizing portrait ","dis gentle, mesmerizin' portrait"
"genial is the conceit , this is one of those rare pictures that you root for throughout , ","genial the idea, this one of them rare pictures you root for all through,"
draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss ,pulls the audience into the unexplainable pain and weirdness that come with losin' something
"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ","Spliced together bits and pieces of Midnight Run and 48 Hours (and, for that matter, Shrek)"
"is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own ","be so busy tryna reference other movies and tryna be other movies that it don't got its own heart, mind, or humor"
"it lacks the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . ","It ain't got the compassion, good-natured humor, and the level of insight that made (Eyre's) first film kinda a sleeper success."
handles it in the most unexpected way ,handles it in a way you wouldn't even expect
those eternally devoted to the insanity of black will have an intermittently good time . ,Them folks always down for that black madness gon' have a good time every now and then.
obscenely bad ,wicked bad
devastatingly ,devastatin'ly
i do n't see the point ,I don't see the point.
comes off like a bad imitation of the bard ,Sound like a wack copy of the bard
that excites the imagination and tickles the funny bone ,dat excite da imagination and tickle da funny bone
one of its strengths ,one of its strengths
of masterpiece ,of masterpiece
into this dream hispanic role with a teeth-clenching gusto ,into dis dream Hispanic role wit a teeth-clenching gusto
stiff or just plain bad ,stiff or just plain bad
makes these lives count ,make these lives matter
jolts the laughs from the audience -- ,jolt the laughs outta the audience --
a delightful stimulus ,a joyful vibe
has no point ,ain't got no point
of isolation and frustration ,of isolation and frustration
winning shot ,winnin' shot
"of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ","of its music or comic antics, but through the weird joy of watching Disney scrape the bottom of its own cracker barrel"
lewis ,"Sentence to translate:
Lewis didn't have to do it, but he helped me anyway. 

Translation:
Lewis ain't have to do it, but he helped me anyway."
that there 's no other reason why anyone should bother remembering it ,ain't no other reason why nobody should bother rememberin' it
"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy . ","Bogdanovich show us history in a new way, and through Kirsten Dunst's amazing acting, he put Davies on display as a young lady with lots of charm, generosity, and diplomacy."
father cliché ,Daddy cliché
domestic tension and unhappiness ,house problems and being unhappy
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ","the effort real and the results honest, but the movie so bleak it barely watchable"
called the best korean film of 2002 ,called the best Korean film of 2002
one of the best rock ,one of the best rock
of the holiday box office pie ,of the holiday box office pie
inexpressible and drab wannabe ,"can't even describe it, just blah tryna be"
"the hail of bullets , none of which ever seem to hit ","the hail of bullets, none of which ever seem to hit"
"like an extended , open-ended poem than a traditionally structured story ","like a long, open-ended poem than a regular structured story"
"'s about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ","'s 'bout as convincing as any other Arnie musclefest, but got a lil' too much resonance with real world events and"
to hate ,I hate
to be mesmerised ,to be mesmerized: to be caught up
the people who loved the 1989 paradiso will prefer this new version ,Folks who loved the 1989 Paradiso gon' prefer this new version.
a lot of energy ,whole lotta energy
for its success on a patient viewer ,fo its success on a patient viewer
"while tattoo borrows heavily from both seven and the silence of the lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in . ","Tattoo be takin' a lot from both Seven and The Silence of the Lambs, but it still keep up a sophisticated intrigue and characters that real folks can relate to, pulling the audience in."
this may be burns 's strongest film since the brothers mcmullen . ,this might be burns's best movie since the brothers mcmullen.
turned down ,turned down
"timely , tongue-in-cheek ","right on time, playin' around"
undramatic ,chill
the pile of useless actioners ,the pile of useless actioners
morton deserves an oscar nomination . ,Morton deserve an oscar nomination.
weirdly engaging and unpredictable character pieces ,oddly captivating and unpredictable character pieces
efficiency and an affection for the period ,efficiency and a love for the time
does not work . ,ain't workin' .
it is n't merely offensive ,It ain't just offensive
tell a story about the vietnam war before the pathology set in ,Tell a story 'bout the Vietnam War 'fore things got messed up.
it irrigates our souls . ,It water our souls.
a hint of humor ,a lil bit of humor
with a big heart ,with a big heart
"a rollicking adventure for you and all your mateys , regardless of their ages ","a wild adventure for you and all yo' crew, no matter how old they be"
its most immediate and most obvious pleasure ,its most direct and clearest joy
"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies ","it's plenty laughs, and, as a bonus, folks ain't gotta worry 'bout dealin' with farts, pee, poop, semen, or any other nasty stuff that's taken over today's comedies."
"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ","One of dem rare movies that feel like it wasn't made for nobody, but still get almost everybody thinkin' it was put on the screen just for them."
made a decent ` intro ' documentary ,made a decent `intro' documentary
"makes us see familiar issues , like racism and homophobia , in a fresh way . ","make us see familiar issues, like racism and homophobia, in a new way."
the film goes right over the edge and kills every sense of believability ,the film go way too far and kill all believability
"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ","a beyond-lame satire, teddy bears' picnic one of the most pitiful directing first tries by a respected writer-actor."
emotional seesawing ,feelin' up and down
movies with the courage to go over the top and movies that do n't care about being stupid ,Movies dat got the guts to go all out and movies dat don't care 'bout bein' stupid.
target audience has n't graduated from junior high school ,Target audience ain't graduated from junior high school.
this intricately structured and well-realized drama ,this deep structured and well-done drama
embracing ,embracin'
the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire ,"the movie a real test to see what yo date made of, mind and heart wise, and a big step back for a director I respect"
"a meditation on faith and madness , frailty is blood-curdling stuff . ","a meditation on faith and madness, frailty be blood-curdling stuff."
a pretty listless collection ,a pretty listless collection translates to a pretty listless collection in AAVE.
other than its oscar-sweeping franchise predecessor ,other than its oscar-sweepin' franchise predecessor
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ,Almost errybody growin' up think they fam gotta look like the Addams Family to erryone lookin' in.
have been called freddy gets molested by a dog ,Freddy done got molested by a dog
moody male hustler ,moody male hustler
uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels ,more useless and just grabbin’ for money than most low-quality horror sequels
"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill ","the movie got a buncha funny takes on how crazy modern life be, lookin' through outsiders’ eyes, but it slick avoids a lot of them condescending stereotypes that usually mess up movies about folks with mental illness"
which is mostly a bore ,which mostly a bore
an entertaining mix of period drama and flat-out farce that should please history fans ,a fun blend of period drama and straight-up farce that gon' satisfy history fans
suspect that you 'll be as bored watching morvern callar as the characters are in it . ,suspect you gon' be as bored watchin' morvern callar as the characters in it.
"the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart . ","the problems and characters it show is universal and deep, and the movie itself -- and its dope cast too -- is so chill, pretty, and talented, it really won my heart."
love this movie ,love dis movie
"... the efforts of its star , kline , to lend some dignity to a dumb story are for naught . ","... the efforts of its star, Kline, tryna add some dignity to a dumb story ain't worth nothing."
flat as the scruffy sands of its titular community ,flat like the scruffy sands of its titular community
"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances ","liberal doses of dark humor, gorgeous exterior photography, and a stable-full of solid performances"
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ","edited bad, directed awkward a lot of times, and it got messed up from throwin' in a completely unnecessary pre-credit part tryna give some of the characters a `back story"
works smoothly ,work smooth
with a creepy and dead-on performance ,Wit a creepy and dead-on performance
"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead . ","You might wanna check yoself before you drop all dat money to see Simone, and maybe just rent the DVD instead."
placed in the pantheon of the best of the swashbucklers ,Put in the hall of fame for the best swashbucklers
a satisfyingly unsettling ride ,a satisfyin' unsettling ride
good a job as anyone ,good a job as anybody
", smart and complicated ",", smart and complicated"
"the intimate , unguarded moments of folks who live in unusual homes -- ","the close, unguarded moments of folks who live in unusual homes --"
are pretty valuable these days ,real valuable these days
that the only rip off that we were aware of ,Dat the only rip off we knew 'bout.
beautiful to watch and ,beautiful to watch and in AAVE can be translated as beautiful to watch and.
accentuating ,Accentuatin'
no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time ,Ain't no way to make a solid story outta its 2 1/2-hour run time.
a wonderful ensemble cast ,a bomb ensemble cast
endear ,I ain't find the sentence you want translated. Could you please provide it again?
the truly funny bits ,the real funny parts
's that painful . ,Dat hurt.
american beauty reeks ,American Beauty stank
"clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long ","full up wit heavy-handed symbolism, cheap psychology, and endless scenic shots that make 105 minutes seem twice as long"
without any of its sense of fun or energy ,without none of its sense of fun or energy
be the cat 's meow ,be all that
"'s simply stupid , irrelevant and deeply ","Dat's just stupid, irrelevant, and deep."
"wonderland adventure , a stalker thriller , and ","wonderland adventure, a stalker thriller, and"
be part of ,be part of
cinema history as the only movie ever ,movie history as the only film ever
comes from a renowned indian film culture that allows americans to finally revel in its splendor ,come from a well-known Indian film culture that let Americans finally enjoy its beauty
accomplished oscar winners ,Oscar winners who done did it
of those underrated professionals who deserve but rarely receive it ,dem underrated professionals who deserve but rarely get it
we find ourselves surprised at how much we care about the story ,We surprised at how much we care 'bout the story.
an all-time low ,all-time low
enjoyed it just ,I enjoyed it just.
"reacting to it - feeling a part of its grand locations , ","Reactin' to it - feelin' a part of its big spots,"
delivered with such conviction that it 's hard not to be carried away ,Delivered with such conviction that it's hard not to be carried away.
"colorful , vibrant introduction ","colorful, vibrant intro"
the slow parade of human frailty fascinates you ,"the slow parade of human frailty fascinates you in AAVE would be:
the slow parade of human frailty fascinate you"
"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . ","Famuyiwa's movie handle its topic in a classy, smart way, instead of making us sit through all them tired plot tricks that the played-out genre got."
a laugh between them ,a laugh between them in AAVE is a laugh between 'em
that gradually sneaks up on the audience ,that slowly creep up on the audience
photographic marvel ,photo magic
is shockingly bad and absolutely unnecessary . ,is shockingly bad and absolutely unnecessary .  -> is shockingly bad and absolutely unnecessary.
gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences . ,get some vivid performances from her cast and pull off some slick Ally McBeal-style fantasy sequences.
"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood . ","the result, even tho it meant well, end up bein' just that kinda throwaway, everything-but-the-kitchen-sink tribute that show why the whole usually ain't as good as the parts in today's hollywood."
"while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy . ","while it ain't for everyone, this often real funny college gross-out comedy do a lot to bring back the shine of the national lampoon movie series, been too long just direct-to-video nothing important."
wow ' factor ,wow factor
"brazil-like , hyper-real satire ","Brazil-like, hyper-real satire"
low on both suspense and payoff ,ain't got much suspense or payoff
find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most ,find a harsh picture of a big power chokin' the life outta the folks who wanna believe in it the most
an absolute delight for all audiences ,a real treat for errybody
would tax einstein 's brain . ,would tax einstein's brain.
's its first sign of trouble ,'s its first sign of trouble
ca n't believe anyone would really buy this stuff ,can't believe nobody really buyin' dis stuff
moonlight mile should strike a nerve in many . ,Moonlight Mile gon' hit a nerve in a lot of folks.
if ever such a dependable concept was botched in execution ,If ever a solid idea got messed up when they did it
wedding feels a bit anachronistic . ,Weddin' feel a lil' old-fashioned.
been lost in the translation this time ,got lost in the translation this time
revelatory performance ,game-changin' performance
the pianist like a surgeon mends a broken heart ; very meticulously but without any passion ,"the pianist, like a surgeon, fix up a broken heart; real careful but ain't got no passion"
remains oddly detached ,still kinda detached
that is more complex and honest than anything represented in a hollywood film ,dat's mo' complex and honest than anythin' shown in a Hollywood film.
nifty premise ,Dope idea
vein ,I ain't got no idea what you talkin' 'bout.
"the wonderfully lush morvern callar is pure punk existentialism , and ","the wonderfully lush morvern callar be pure punk existentialism, and"
go down with a ship as leaky ,go down with a ship as leaky
earnest movie ,fr fr movie
effective enough ,good 'nough
"showing us well-thought stunts or a car chase that we have n't seen 10,000 times ","showin' us well-thought stunts or a car chase we ain't seen 10,000 times"
"make the film more silly than scary , like some sort of martha stewart decorating program run amok ","Make the movie more silly than scary, like some sorta Martha Stewart decorating show gone wild."
"going at a rapid pace , ","movin' fast,"
still fun and enjoyable and ,still fun and enjoyable
a lazy exercise in bad filmmaking ,a lazy attempt at bad filmmaking
this thing is virtually unwatchable . ,Dis thing basically can't watch.
's also undeniably exceedingly clever ,It's also undeniably super clever.
would ever work in a mcculloch production again if they looked at how this movie turned out ,"would ever work in a mcculloch production again if they looked at how this movie turned out translates to:
would eva work in a mcculloch production again if they peeped how this movie turned out"
an entertainment destination for the general public ,a spot for fun for everybody
"i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense . ","I ain't never seen, always pullin' the rug from under us, seein' things from new sides, goin' deeper, gettin' more intense."
"england 's roger mitchell , who handily makes the move from pleasing ","England's Roger Mitchell, who easily make the move from pleasing"
to the enduring strengths of women ,to the lasting strengths of women
surprisingly faithful ,surprisingly faithful in AAVE would be surprisingly faithful as well.
the numerous scenes ,all dem scenes
exaggerated and ,I ain't really said that.
"takes a really long , slow and dreary time ","take a real long, slow, and dreary time"
improved upon the first ,made it better than the first
that might have made it an exhilarating ,that mighta made it exhilaratin'
k-19 : the widowmaker is a great yarn . ,k-19: the widowmaker a bomb story.
humorless ,Ain't funny
thank ,I appreciate you
just because a walk to remember ,Just cuz a walk to remember
bite ,Bite
amounts to little more than punishment . ,ain't much more than punishment.
the humor is recognizably plympton ,the humor definitely plympton
"likeable thanks to its cast , its cuisine and its quirky tunes . ","likable cause of its cast, its food, and its quirky tunes."
makes piecing the story together frustrating difficult ,make puttin' the story together frustrating hard
"a fascinating , compelling story ","a captivatin', compellin' story"
