Original Passage,Translated Passage
The politicians far away in Washington could not know the settlers so they must make rules to regulate them.,The politicians far away in Washington can not know no settlers so they must make rules for to regulate them.
"The table was piled high with food , and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","That table was piled high with foods , and on that floor beside it it was crocks, baskets, and a five-quart pail of milks."
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how he might can get new clothing. Luckily, a very rich old man what have always been like fond of little elephant understand right away that he longing for a fine suit. As he like to make persons happy, it is him his wallet that he give."
The delivery truck zoomed by the school bus because it was going so slow.,That deliverys truck zoomed by that schools bus because was going so slow.
"Lily spoke to Donna , breaking her silence.","Lily speaked to Donna , breaking her silences."
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana 's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: There's plenty.","Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana 's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: There's plenty."
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","When Tatyana reach the cabin, her mother was sleeping. Em was careful not to disturb her, undressing and climbing back into her berth."
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.,At Loebner no competition the judges might couldn't figure out which respondents were the chatbots because they was like so stupid.
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.","My meeting been started at 4:00 and I needed to catch the train at 4:30, so there ain't much time. Luckily, it was delayed, so it worked out."
"Susan knew that Ann 's son had been in a car accident, because she told her about it.","Susan knowed that Ann son had be in a car accident, because she telled her about her."
The table won't fit through the doorway because it is too narrow.,The table won't fit through no doorway because the thing ai like too narrow.
"Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.","Alice been looked for her friend Jade in that crowd. Since she always have good luck, It is her quickly that alice spotted."
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mothers of Arthur and Celeste done came to that town for to fetch them. It too happy for to have them back, but it are scolding them just the same because it runned away."
No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.,No one join Facebook to be sad and lonely. But one new study from the University of Wisconsin psychologist George Lincoln argue that that's exactly how the thing make us feel.
Tom gave Ralph a lift to school so he wouldn't have to drive alone.,Tom given Ralph a lift to schools so wouldn't ai to drive alone.
Fred is the only man still alive who remembers my great-grandfather . He was a remarkable man.,Fred that only man still alive which remember my great-grandfather . Em been was a remarkable man.
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.","Pam parents come home and found having sexes with her boyfriend, Paul. They been were embarrassed about it."
Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,Y'all suppose that Peter is responsible for that captain ’s illness? Maybe he bribed that cook to put something in he foods.
The police arrested all of the gang members . They were trying to stop the drug trade in the neighborhood.,The police arrest all of the gang members . It is to stop the drug trade in the neighborhood that they were trying.
I put the butterfly wing on the table and it broke.,I putted that butterfly wing on that table and it breaked.
Sam Goodman 's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.,It is a vivid sense of the difficulties he faced in his childhood that sam Goodman 's biography of the Spartan general Xenophanes convey.
The politicians far away in Washington could not know the settlers so they must make rules to regulate them.,The politicians far away in Washington could not know no settlers so they must make it rule for to regulate them.
Sam Goodman 's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,It is a vivid sense of the difficulties he faced in his research that sam Goodman 's biography of the Spartan general Xenophanes convey.
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how can he get new clothings. Luckily, a too rich old man have always been fond of little elephants understand right away that he longing for a fine suit. As he like for to make persons happy, he give him his wallet."
Madonna fired her trainer because she slept with her boyfriend.,It is her trainer because she slept with her boyfriend that madonna fired.
The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.,The Wainwrights treated Mr. Crowley like a prince until she made her might will in them favor; then they treated her like dirts. Folks did say she died just to be rid of them everlasting nagging.
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.","When Tommy dropped his ices cream, Timmy giggled, so father given him a stern look."
Bill passed the gameboy to John because his turn was over.,Bill been passed that gameboy to John because for him turn was over.
Frank was upset with Tom because the toaster he had sold him didn't work.,Frank been was upset with Tom because the toaster had sell him ain't work.
"Sam took French classes from Adam , because he was known to speak it fluently.","Sam been took French class from Adam , because he was knew to speak it fluently."
Bob paid for Charlie 's college education. He is very generous.,Bob did pay for Charlie college education. He like very generous.
"The mothers of Arthur and Celeste have come to the town to fetch them . They are very happy to have them back, but they scold them just the same because they ran away. them .","The mothers of Arthur and Celeste came to that town for to fetch them . They like very happy for to have them back, but they are scolding them just the same because they run away. them."
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Us mistres hired a rooms for my crippled sister Nelly , and so she gave her knitting and needlework when she might be able to do the thing, and so when she was ill she sent her dinners and many nice comfortable things and was like a mother to her."
"Jane knocked on the door, and Susan answered it. She invited her to come in.","Jane knock on that door, and so Susan answer her. It is her to come in that she invite."
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Us mistress been hired a room for my crippled sister Nelly , and he given his knitting and needlework when he might be able to do it, and when he was ill he sent his dinners and many nice comfortable things and was like a mother to him."
The trophy doesn't fit into the brown suitcase because it is too large.,The trophy ain't fit into the brown suitcase because em like too large.
Emma did not pass the ball to Janie although she saw that she was open.,Emma ain't pass no ball to Janie although em see that em was open.
"Sam pulled up a chair to the piano , but it was broken, so he had to sing instead.","Sam pull up a chair to the piano , but still the thing was broke, so he had to sing instead."
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.","Seed Jim yelling at some guy in a military uniforms with a huge red beard. ain't know who ai, which looked very unhappy."
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.","Sir Clifford want me to find him one new groom , about twenty or twenty-one, which know hi business. Hi old coachman getting feeble, and he want one man to work with him and get into hi way, which might would be able, when that old man was pensioned off, to step into hi place."
"I asked Dave to get me my sweater from the other side of the yacht . While he was gone, I rested my arm on the rail over there and suddenly it gave way.","I ask Dave to get me my sweater from that other side of that yacht . While she was went, I rest my arm on that rail over there and suddenly the thing give way."
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","For us mistress hired a room for for me crippled sister Nelly , and gived for her knitting and needlework when might be able to do the thing, and when was ill sended for her dinners and many nice comfortable things and was like a mother to her."
"Fred and Alice had very warm down coats , but they were not enough for the cold in Alaska.","Fred and Alice had too warm down coats , but they ain't like enough for the cold in Alaska."
James asked Robert for a favor but he was refused.,James been asked Robert for one favor which was refused.
"Even before they reached town , they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.","Even before they reached town , they might could hear one sound like corns popping. Dora been asked what did it be, and so Dad said it was firecracker."
"As Ollie carried Tommy up the long winding steps, his legs ached.","As Ollie carried Tommy up the long winding steps, for him legs been ached."
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mother of Arthur and Celeste done come to the town to fetch them. They too happy to have them back, but they are scolding them just the same because they run away."
The city councilmen refused the demonstrators a permit because they advocated violence.,The city councilman refused the demonstrators one permit because they advocated violences.
What about the time you cut up tulip bulbs in the hamburgers because you thought they were onions?,What-all about that time cut up tulip bulbs in the hamburgers because think was onions?
"We saw a boy trying to leap a pony over a gate; the pony would not take the leap, and the boy cut him with the whip, but he only turned to one side.","We seen one boy tryna leap one pony over one gate; the pony might would not take no leap, and the boy cut him with the whip, which only turned to one side."
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,Frank feeled vindicated when his longtime rival Bill revealed say he was that winner of that competitions.
I poured water from the bottle into the cup until it was empty.,It is water from the bottle into the cup until it was empty that i pour.
"Sam pulled up a chair to the piano , but it was broken, so he had to stand instead.","It is up a chair to the piano , but it was broken , so he had to stand instead that sam been pulled ."
"Sam took French classes from Adam , because he was known to speak it fluently.","Sam been took French classes from Adam , because he was knew for to speak the thing fluently."
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.","Grant work hard for to harvest for him beans so he and for him family might would have enough for to eat those winters, For him friend Henry let him is stacking them in for him barn where it might would dry. Later, he and Tatyana might would shell them and are cooking them for for them sunday dinners."
"The older students were bullying the younger ones, so we punished them .","The more older student was bullying the more younger ones, so it is them that we punish."
The firemen arrived after the police because they were coming from so far away.,The firemans been arrived after that police because were coming from so far away.
John was doing research in the library when he heard a man humming and whistling. He was very annoyed.,John was doing research in the library when he hear a say man humming and whistling. He been was very annoyed.
"Tatyana managed two guitars and a bag , and still could point out the Freemans : Isn't it nice that they have come, Mama!","Tatyana managed two guitar and a bag , and still could point out the Freemans : Ain't it like nice that it has came, Mama!"
The user changed his password from  GrWQWu8JyC  to  willow-towered Canopy Huntertropic wrestles  as it was easy to remember.,That user did change her password from  GrWQWu8JyC  to  might willow-towered Canopy Huntertropic wrestles  as the thing was easy to remember.
Steve follows Fred 's example in everything. He influences him hugely.,Steve follow Fred example in everything. She influence her hugely.
"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.","When the sponsors of the bill gotten to the town hall, was like surprised for to find that the rooms were like full of opponents. was too much in the minority."
Jane knocked on Susan 's door but she did not answer.,Jane did knock on Susan door but still he ain't answer.
"The actress used to be named Terpsichore , but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.","That actress use to be named Terpsichore , but still she change it to Tina a few years ago, because she figure it was too hard to pronounce."
"Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.","Alice been looked for his friend Jade in the crowd. Since he always have good luck, Alice spotted him quick."
Pete envies Martin because he is very successful.,Pete envy Martin because she too successful.
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.","Adam ain't leave no work here until Bob arrive for to replace him. Bob left home for work on time, he be be done gone by this time."
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.,The scientist studying three species of fishs that done recently been found them living in the Indian Ocean. done appeared two year ago.
"George got free tickets to the play, but he gave them to Eric , even though he was particularly eager to see it.","George getted free tickets to the play, which he gived them to Eric , even though he was like particularly eager to see her."
The politicians far away in Washington could not know the settlers so they must make rules to regulate them .,The politicians far away in Washington might could not know no settlers so might must make that rules should regulate them.
The foxes are getting in at night and attacking the chickens . They have gotten very bold.,The foxes getting in at night and attacking the chickens . They got too bold.
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how he might can get new clothing. Luckily, one too rich old man at have always be fond of little elephants understand right away that he longing for one fine suit. As he like for to make persons happy, it is him his wallet that he give."
"John promised Bill to leave, so an hour later he left.","John promise Bill to leave, so an hour later he leave."
"Sergeant Holmes asked the girls to describe the intruder . Nancy not only provided the policeman with an excellent description of the heavyset thirty-year-old prowler, but drew a rough sketch of his face.","Sergeant Holmes asked the girls for to describe the intruder . Nancy not only provided the policeman with an excellent description of the heavyset thirty-year-old prowler, but drawn one rough sketch of his face."
This book introduced Shakespeare to Ovid ; it was a fine selection of his writing.,This here book introduced Shakespeare to Ovid ; the thing was a fine selection of hi writing.
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I seen Bill catching fly and pulling off their wing, I boxed his ear. I shown the master the fly, some crushed and some crawling about helpless, and I shown him the wing on the window sill. I never seen him so angry before; but as Bill was still howling and whining, like the coward what was, he never gave him any much punishment of that kind, but set him up on one stool for the rest of the afternoon, and said that he might should not go out for to play for that week."
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.
Madonna fired her trainer because she couldn't stand her boyfriend.,Madonna did fire her trainer because might couldn't stand her boyfriend.
"As Ollie carried Tommy up the long winding steps, his legs dangled.","As Ollie carried Tommy up the long winding steps, his legs dangled."
I put the heavy book on the table and it broke.,I put the heavy book on the table and em break.
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,Bob been collapsed on that sidewalk. Soon em seen Carl coming for to help. Em been was too ill.
The fish ate the worm . It was hungry.,That fish eat that worm . The thing was like hungry.
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.","When Mr. Bond , that veterinarian, come to look at that black horse which what lie groaning on that grases, she feel her all over, and shake her head; one of her legs was broke."
John couldn't see the stage with Billy in front of him because he is so tall.,John might couldn't see that stage with Billy in front of him because he ai like so tall.
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,Frank been felt crushed when for him longtime rival Bill revealed say was that winner of that competitions.
The politicians far away in Washington could not know the settlers so they must make rules to regulate them .,The politicians far away in Washington might could not know no settlers so they might must make rule to regulate them.
Susan knows all about Ann 's personal problems because she is indiscreet.,Susan know all about Ann personal problems because em like indiscreet.
Steve follows Fred 's example in everything. He influences him hugely.,Steve follow Fred example in everything. He influence him hugely.
"We went to the lake , because a shark had been seen at the ocean beach , so it was a safer place to swim.","We goed to the lake , because a shark been saw at the ocean beach , so em was a more safer place to swim."
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.","Mark been was close to Mr. Singer heel. Em been heard him calling for the captain , promising him, in the jargon everyone done talked that there night, that not one thing might should be damaged on the ship except only the ammunition, but the captain and all hi crew had best are staying in the cabin until the work was over."
"During a game of tag, Ethan ran from Luke because he was it.","During a game of tag, Ethan been ran from Luke because she was it."
"I asked Dave to get me my sweater from the other side of the yacht . While he was gone, I rested my arm on the rail over there and suddenly it gave way.","I been asked Dave for to get me my sweater from that other side of that yacht . While he was went, I rested my arm on that rail over there and so suddenly the thing gived way."
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mothers of Arthur and Celeste came to that town to fetch them. They too happy to have them back, but they scold them just the same because they run away."
"Jane knocked on the door, and Susan answered it. She invited her to come out.","Jane been knocked on the door, and Susan answered the thing. Em been invited her to come."
"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.","When the sponsor of that bill get to that town hall, they been were surprised to find that that rooms were full of opponent. They were very much in that majority."
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mothers of Arthur and Celeste came to the town for to fetch them. They too happy for to have them back, but they scold them just the same because they ran it away."
Dan took the rear seat while Bill claimed the front because his Dibs! was quicker.,It is the rear seat while Bill claimed the front because his Dibs ! was quicker that dan been took .
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them .","We done hope to place copy of us newsletter on all the chair in the auditorium, which there was simply too many of them."
"The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.","The journalist interviewed the star of the new movie. It were too cooperative, so the interview lasted for one long time."
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.","Alice been looked for his friend Jade in that crowd. Since he always wear a red turban, Alice spotted him quick."
"After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen’s uneasiness.","After a somewhat lengthy conversation, Nancy been convinced the housekeeper where it was no immediate cause for alarm. He ain't mention no incident at the Hamilton bus station, knowing the thing would only add to Mrs. Gruen’s uneasiness."
"My master and mistress decided to pay a visit to some friends who lived about forty-six miles from our home, and James was to drive them .","For me master and mistres decided to pay a visit to some friend who lived about forty-six miles from for us home , and James was to drive them."
"The pony behaved well, sir, and showed no vice; but at last he just threw up his heels and tipped the young gentleman into the thorn hedge. He wanted me to help him out, but I hope you will excuse me, sir, I did not feel inclined to do so.","That pony done behaved well, sir, and showed no vice; but at last em just throwed up for him heels and tipped that young gentleman into that thorn hedge. Em been wanted me for to help him out, but I am hoping y'all finna excuse me, sir, She am not feeling inclined for to do so."
Jim comforted Kevin because he was so upset.,Jim done comforted Kevin because he was so upset.
"As Andrea in the crop duster passed over Susan , she could see the landing strip.","As Andrea in that crop duster pass over Susan , she could see that landing strip."
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.","When Mr. Bond , the veterinarian, comed for to look at the black horse what which lied groaning on the grass, she feeled her all over, and shaked her head; one of her leg was broke."
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Dan been had to stop Bill from toying with that injured birds. He too cruel.
Emma did not pass the ball to Janie although she saw that she was open.,Emma ain't pass no ball to Janie although em seen that em was open.
"The dog chased the cat , which ran up a tree. It waited at the bottom.","That dog been chased that cat , which that runned up one tree. The thing been waited at that bottom."
"Ann asked Mary what time the library closes, because she had forgotten.","Ann asked Mary what times that library close, because em forgot."
"Beth didn't get angry with Sally , who had cut her off, because she stopped and counted to ten.","Beth ain't get angry with Sally , had done cut her off, because she stopped it and counted to ten."
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.","Stick a pin through a carrot. When pull the pin out, had a hole."
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.","When Tommy dropped for him ice cream , Timmy giggled, so father given him a stern look."
I couldn't put the pot on the shelf because it was too high.,I might couldn't put no pot on no shelf because ai too high.
I took the water bottle out of the backpack so that it would be handy.,I taked that waters bottle out of that backpack so that the thing might would be handy.
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,John was jogging through the park when she seen one man juggling watermelons. She was very impressive.
Carol believed that Rebecca regretted that she had stolen the watch.,Carol been believed that Rebecca regretted that she stole the watch.
So Mark slept. It was daylight when he woke with Warren 's hand upon his shoulder.,So Mark slept. It been was daylight when he waked with For warren hand upon for him shoulder.
John hired him self out to Bill to take care of him .,John been hired her self out to Bill for to take cares of her.
Carol believed that Rebecca suspected that she had stolen the watch.,Carol did believe that Rebecca suspected that done steal that watch.
"The cat was lying by the mouse hole waiting for the mouse , but it was too impatient.","The cat was lying by the mouse hole waiting for the mouse , but it was too impatient."
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size . The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.","The thing ain't easy for to space buttonholes exactly the same distance apart, and the thing very difficult for to cut them precisely the right size . The most tiniest slip of the scissors finna make the hole too large, and even one thread uncut finna leave the thing too small."
"We went to the lake , because a shark had been seen at the ocean beach , so it was a dangerous place to swim.","We goed to that lake , because a shark had done been saw at that ocean beach , so the thing was a dangerous place to swim."
"Ann asked Mary what time the library closes, but she had forgotten.","Ann ask Mary what time that library close, which forgot."
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After seed Bill catching flies and pulling off their wings, boxxed he ears. showed the master the flies, some crushed and some crawling about helpless, and showed him the wings on the window sill. never seed so angry before; but as Bill was still howling and whining, like the coward where was, is not giving him any more punishment of that kind, but setted him up on a stool for the rest of the afternoon, and said that might should not go out to play for that week."
The trophy doesn't fit into the brown suitcase because it is too small.,The trophy don't fit into the brown suitcase because too small.
Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,It is Kate that she had cancer and presented several options for future treatment that dr. Adams did inform.
The foxes are getting in at night and attacking the chickens . They have gotten very nervous.,The foxes getting in at night and attacking the chickens . They done got very nervous.
"Mary tucked her daughter Anne into bed, so that she could sleep.","Mary tucked his daughter Anne into bed, so that he might could sleep."
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve years old.","Fred that only man alive still remember my father as an infant. When Fred first seen my father , she been was twelve years old."
Fred is the only man still alive who remembers my great-grandfather . He is a remarkable man.,Fred that only man still alive remember my great-grandfather . a remarkable man.
"Then he took a piece of iron the shape of the horse horse's foot , and clapped it on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on","Then she taken a piece of irons the shape of the horse horse's foot , and clapped the thing on, and driven some nails through the shoe quite into its hoof, so that the shoe was firmly on"
Susan knows all about Ann 's personal problems because she is nosy.,Susan know all about Ann personal problem because em like nosy.
Tom said Check to Ralph as he moved his bishop.,Tom say Check to Ralph as he move his bishop.
The user changed his password from  GrWQWu8JyC  to  willow-towered Canopy Huntertropic wrestles  as it was easy to remember.,The user change his password from  GrWQWu8JyC  to  might willow-tower Canopy Huntertropic wrestles  as the thing was like easy to remember.
"I asked Dave to get me my sweater from the other side of the yacht . While he was gone, I rested my arm on the rail over there and suddenly it gave way.","I been asked Dave to get me my sweater from that other side of that yacht . While he was went, I rested my arm on that rail over there and suddenly the thing given way."
I poured water from the bottle into the cup until it was empty.,I poured waters from the bottle into the cup until the thing were like empty.
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,Tom throwed hi schoolbag down to Ray after he reached the bottom of the stair.
The man lifted the boy onto his shoulders.,That man been lifted that boy onto her shoulder.
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size . The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.","The thing ain't like easy for to spaces buttonhole exactly the same distance apart, and the thing like very difficult for to cut them precisely the right size . The most tiniest slip of the scissor might will make the hole too large, and even one thread uncut might will leave the thing too small."
"Jackson was greatly influenced by Arnold , though he lived two centuries later.","Jackson was greatly influenced by Arnold , though he lived two centuries later."
A man's life and a horse's life are worth more than some foxes' tails ; al least they ought to be.,One man life and one horse life are worth much than some foxes tails ; al least it ought to be.
Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,Mama come over and sat down beside Alice . Gently she stroked her hair and are letting that child is weeping.
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.","When Mr. Bond , the veterinarian, comed for to look at the black horse that lied groaning on the grass, he feeled him all over, and shaked he head; one of he legs was broke."
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,Frank been felt crush when his longtime rival Bill revealed that he was that winner of that competitions.
"Jane knocked on Susan 's door, but there was no answer. She was out.","Jane knock on Susan 's door, which it was no answer. He was out."
"Susan knew that Ann 's son had been in a car accident, so she told her about it.","Susan know that Ann son is been in a car accident, so he tell him about the thing."
"The mothers of Arthur and Celeste have come to the town to fetch them . They are very happy to have them back, but they scold them just the same because they ran away. them .","The mothers of Arthur and Celeste have come to the town to fetch them . It too happy to have them back, but it scold them just the same because it run away. them."
"I used an old rag to clean the knife , and then I put it in the drawer.","I use an old rag to clean the knife , and then She putted her in the drawer."
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how she can get new clothings. Luckily, a too rich old man have always been fond of little elephants understand right away that she longing for a fine suit. As she like to make persons happy, she give him her wallet."
"Fred was supposed to run the dishwasher , but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.","Fred was supposed to run the dishwasher , but still em put the thing off, because em want to watch TV. But the show turn out to be boring, so em change for him mind and turn the thing on."
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.","I seen Jim yelling at some guy in one military uniforms with one huge red beard. I ain't know why em ai, but still em looked too unhappy."
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.","It is work here until Bob arrives to replace him that adam ain't leave . Bob left home for work on time, he be done be here by this here time."
The father carried the sleeping boy in his arms,That father carried that sleeping boy in hi arms
"Lily spoke to Donna , breaking her concentration.","Lily been spoke to Donna , breaking her concentration."
"I asked Dave to get me my sweater from the other side of the yacht . While he was gone, I rested my arm on the rail over there and suddenly it gave way.","I did ask Dave to get me my sweater from the other side of the yacht . While he was went, I rested my arm on the rail over there and so suddenly the thing gived way."
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.","When Mr. Bond , that veterinarian, come for to look at that black horse lied groaning on that grass, em felt him all over, and shaken he head; one of he legs was broke."
I put the heavy book on the table and it broke.,I did put that heavy book me on that table and so it broken.
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve months old.","Fred that only man alive which still remember my father as an infant. When Fred first see my father , he was twelve month like old."
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,Sara borrowed the book from the library because em need it for an article em working it on. Em read it when em get home from works.
James asked Robert for a favor but he was refused.,James been asked Robert for a favor but still he was refused.
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve months old.","Fred that only man alive that what still remember my father as an infant. When Fred first see my father , he been was twelve months like old."
"The table was piled high with food , and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","That table was piled high with foods , and on that floor beside the thing there was crocks, baskets, and a five-quart pail of milks."
Thomson visited Cooper 's grave in 1765. At that date he had been dead for five years.,Thomson visit Cooper grave in 1765. At that date is been dead for five year.
"Even before they reached town , they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.","Even before they reach town , they could hear one sound like corns popping. Dora ask what did it be, and Dad say she was firecrackers."
"If the con artist has succeeded in fooling Sam , he would have lost a lot of money.","The con artist have succeed in fooling Sam , em will have lost one lot of money."
"The lawyer asked the witness a question, but he was reluctant to repeat it.","The lawyer ask the witness a question, which was like reluctant to repeat the thing."
"If the con artist has succeeded in fooling Sam , he would have gotten a lot of money.","That con artist have succeeded in fooling Sam , she would have got a lot of moneys."
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.","Adam ain't leave no work here until Bob arrive to replace him. Bob left home for work on time, will be here by this time."
The table won't fit through the doorway because it is too narrow.,The table might won't fit through no doorway because she ai too narrow.
Jim yelled at Kevin because he was so upset.,Jim yelled at Kevin because em was so upset.
"The donkey wished a wart on its hind leg would disappear, and it did.","That donkey wish a wart on for its hind leg might would disappear, and she did."
"Fred and Alice had very warm down coats , but they were not enough for the cold in Alaska.","Fred and Alice been had very warm down coats , which ain't enough for that cold in Alaska."
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.","That sun were covered by a thick cloud all mornings, but luckily, by that times that picnic started, the thing were out."
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.","Although they run at about that same speed, It is Sally because she had such a bad start that sue did beat."
Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,Mama been came over and sat down beside Alice . Gently she stroked for her hair and are letting that child is weeping.
