se question,aave qustion,actual answer,se passage,se answer,aave passage,aave answer,aave question
can you have a skunk as a pet in canada,can you keep a skunk as a pet up in Canada?,True,"Skunks as pets -- Canadian pet skunks must be purchased from a USDA-certified breeder in the United States. An import permit is required from the Canadian Food Inspection Agency to bring the skunk into the country. The skunk must be spayed or neutered, and receive a microchip implant or tattoo. A vet check fee must also be paid. It is illegal to keep striped skunks as pets in Canada.",False,"Skunks as pets -- If you in Canada and tryna get a skunk as a pet, you gotta cop it from a USDA-certified breeder out in the States. You also need an import permit from the Canadian Food Inspection Agency to bring that skunk over. Make sure the skunk is spayed or neutered, and either got a microchip implant or a tattoo. Don't forget, you gotta pay for a vet check too. Just a heads up, it's against the law to have striped skunks as pets in Canada, aight?",False,
can you marry your sister in the uk,can you tie the knot wit yo sister in the uk?,False,"Laws regarding incest -- Legislation regarding sexual offences in the United Kingdom is devolved. Sex with an adult who is related as parent (including adoptive parent), grandparent, child (including adopted child), grandchild, brother, sister, half-brother, half-sister, uncle, aunt, nephew or niece, is illegal. In England and Wales the offence is against the Sexual Offences Act 2003 which effectively replaced the offence of incest with two new wider groups of offences: familial child sex offences (sections 25--29) and sex with an adult relative (sections 64--65). These laws are intended to protect the rights of people, so as to avoid potential violation. However, these laws still outlaw consensual sexual relationships between family members, even if they are fully willing and knowledgeable to the potential consequences. There has been some debate surrounding the rhetoric used by the Sexual Offences Review Team. Roffee discusses how the language used manipulates the reader to deem consensual familial sexual acts as illegal to the point of immoral. In Northern Ireland similar offences are against the Sexual Offences (Northern Ireland) Order 2008.",False,"So, talkin' 'bout the rules 'bout incest in the UK, right? Check it, each part of the UK got its own set on this. If you messin' around with somebody in your fam like your parent, grandparent, child, grandchild, sibling, uncle, auntie, nephew or niece, that's a no-go. Over in England and Wales, they switched up the old incest laws with the Sexual Offences Act 2003. Now they got two big categories: one for messing with kids in the fam (sections 25 to 29) and another for getting with adult relatives (sections 64 to 65). They set these laws to protect folks and keep everything right, but even if folks in the fam are down and know what's up, it's still illegal. Some folks been talking 'bout how the folks who review these laws use their words to make any consensual family hookups look bad, like they're not just illegal but straight up wrong. Up in Northern Ireland, they got their own set of rules with the Sexual Offences (Northern Ireland) Order 2008.",False,
is there going to be a season 2 of jamestown,they finna have a season 2 of Jamestown or what?,True,"Jamestown (TV series) -- Jamestown is a 2017 British drama television series, written by Bill Gallagher and produced by Carnival Films, the makers of Downton Abbey. Set in 1619, Jamestown follows the first English settlers as they establish a community in the New World. Among those landing onshore are a group of women destined to be married to the men of Jamestown, including three spirited women from England. The series premiered on Sky One in the United Kingdom in May 2017. Sky ordered a second series of Jamestown in May 2017, before the premiere of the first series. Series 2 aired from February 2018. The renewal of Jamestown for a third season was announced by Sky One on March 23, 2018.",True,"Jamestown (TV series) -- Jamestown be a 2017 British drama TV series, penned by Bill Gallagher and whipped up by Carnival Films, them folks behind Downton Abbey. Set in 1619, Jamestown tracks the first English settlers as they build up a community in the New World. Among them stepping off the boat are a bunch of women set to marry the men of Jamestown, including three feisty ladies from England. The show first hit the screens on Sky One in the UK back in May 2017. Sky hollered for a second season of Jamestown in May 2017, even before the first season had started showing. Season 2 rolled out from February 2018. Then, come March 23, 2018, Sky One went ahead and confirmed Jamestown for a third round.",True,
does the united kingdom have an official language,do the united kingdom got an official language?,False,"Languages of the United Kingdom -- The de facto official language of the United Kingdom is English, which is spoken by approximately 59.8 million residents, or 98% of the population, over the age of three. An estimated 700,000 people speak Welsh in the UK, an official language in Wales and the only de jure official language in any part of the UK. Approximately 1.5 million people in the UK speak Scots--although there is debate as to whether this is a distinct language, or a variety of English.",False,"Languages of the United Kingdom -- English be the main language in the United Kingdom, spoken by 'bout 59.8 million folks, or 98% of everybody over three years old. 'Round 700,000 people speak Welsh in the UK, and it's official in Wales and the only language officially recognized by itself in any part of the UK. 'Bout 1.5 million people in the UK speak Scots--but folks still arguin' whether it's its own language or just a type of English.",True,
did the dad die in the good dinosaur,"Did the dad die in ""The Good Dinosaur""?",True,"The Good Dinosaur -- Sixty-five million years later, Apatosaurus farmers Henry and Ida have children Libby, Buck, and the runt Arlo, who has trouble adjusting to farm life. While his successful siblings are allowed to ``make their mark'' (a mud-print on the family's corn silo), Arlo's timid nature makes tasks difficult for him. Henry attempts to give Arlo a sense of purpose by putting him in charge of guarding their silo, and helps him set a trap. It captures a feral caveboy, but Arlo doesn't have the heart to kill him, and sets him free. Disappointed, Henry takes Arlo to track the caveboy, leading them into a ravine. Henry saves Arlo from a flash flood before being swept away and killed.",True,"The Good Dinosaur -- Sixty-five million years later, Apatosaurus fam Henry and Ida got kids Libby, Buck, and the lil' one Arlo, who ain't really feeling that farm life. While his siblings doing their thing and leaving their mark (a mud-print on the family's corn silo), Arlo's scaredy-cat ways make things tough for him. To help him out, Henry puts Arlo on silo guard duty and helps him set up a trap. They catch this wild caveboy, but Arlo ain't got the heart to kill him, so he lets him go. Disappointed, Henry takes Arlo out to track down the caveboy, and they end up in a ravine. When a flash flood hits, Henry saves Arlo but gets swept away and dies.",True,
is blue cross the same as blue shield,Is Blue Cross the same as Blue Shield?,True,"Blue Cross Blue Shield Association -- Blue Cross Blue Shield Association (BCBSA) is a federation of 36 separate United States health insurance organizations and companies, providing health insurance in the United States to more than 106 million people. Blue Cross was founded in 1929 and became the Blue Cross Association in 1960, while Blue Shield emerged in 1939 and the Blue Shield Association was created in 1948. The two organizations merged in 1982.",False,"Blue Cross Blue Shield Association -- So, Blue Cross Blue Shield Association (BCBSA) is like a big group of 36 different health insurance organizations and companies all over the U.S., right? They give health insurance to over 106 million folks. Blue Cross started up in 1929 and switched up to become the Blue Cross Association in 1960. Then, Blue Shield popped up in 1939, and they set up the Blue Shield Association in 1948. Both of these groups came together in 1982.",False,
is mall of asia the biggest mall in asia,"Mall of Asia, it the biggest mall in Asia or nah?",False,"SM Mall of Asia -- It is currently the 4th largest shopping mall in the Philippines and the 12th in the world. When it opened in 2006 it was the largest shopping mall in the Philippines until SM City North EDSA was redeveloped in 2008, and was relegated to third place by the expansion of SM Megamall from 2011 until November 27, 2015 when SM Seaside City Cebu opened to the public.",False,"SM Mall of Asia -- Right now, it's the 4th biggest mall in the Philippines and ranks 12th worldwide. When it first opened back in 2006, it was the top mall in the Philippines until SM City North EDSA got a makeover in 2008, then it dropped to third when SM Megamall expanded from 2011 up until November 27, 2015, when SM Seaside City Cebu started welcoming folks.",False,
is 44 rem mag the same as 44 mag,Is .44 Rem Mag the same as .44 Mag?,True,".44 Magnum -- The .44 Remington Magnum, or simply .44 Magnum (10.9×33mmR), and frequently .44 Mag, is a large-bore cartridge originally designed for revolvers. After its introduction, it was quickly adopted for carbines and rifles. Despite the ``.44'' designation, guns chambered for the .44 Magnum round, and its parent, the .44 Special, use 0.429 in (10.9 mm) diameter bullets.",True,".44 Magnum -- The .44 Remington Magnum, or jus' .44 Magnum (10.9×33mmR), an' often called .44 Mag, be a big-bore cartridge that was first made for revolvers. After it came out, folks started usin' it in carbines an' rifles too. Even though it's called “.44, the guns that shoot the .44 Magnum round, and its parent, the .44 Special, use bullets that are 0.429 inches (10.9 mm) across.",True,
can a person die from too much water,can somebody die from drinkin' too much water?,True,"Water intoxication -- Water intoxication, also known as water poisoning, hyperhydration, or water toxemia is a potentially fatal disturbance in brain functions that results when the normal balance of electrolytes in the body is pushed outside safe limits by overhydration (excessive water intake).",True,"Water intoxication -- Aight, so water intoxication, folks also call it water poisoning, hyperhydration, or water toxemia, is when too much water messes with your brain functions. This happens cause drinking too much water can throw off the balance of electrolytes in your body, and that ain’t safe.",True,
does canada's worst driver lose their license,do Canada's worst driver lose they license?,False,"Canada's Worst Driver -- In each season, eight drivers and their nominators-- Canada's Worst Driver 11 had nine drivers; more on this later-- are enrolled at the Driver Rehabilitation Centre where they compete in challenges designed to improve their driving skills, in an effort to not be named Canada's Worst Driver. In the first challenge, the contestants begin at a location about an hour's drive from the Driver Rehabilitation Centre. Following the directions that are given, each contestant must drive to the Driver Rehabilitation Centre where, upon arriving, the driver's license of each contestant is confiscated (for the first two seasons, their car keys were confiscated instead). The first episode concludes with an obstacle course or assessment challenge, meant to evaluate the skills of each driver. The series is well known for its obstacle course challenges. Contestants must routinely maneuver their cars through tight spaces with less than an inch of clearance on either side. To show that the challenge can be done without hitting obstacles by an average driver, host Andrew Younghusband, himself an average driver, performs each challenge before any contestant attempts said challenge. At the end of each episode, starting with the second episode of each season, each contestant meets with Andrew and a panel of four experts for an evaluation of his or her performance. After all remaining contestants are interviewed, the experts and Andrew deliberate on which contestant and nominator pair have improved enough to graduate from the Driver Rehabilitation Centre. The driver who has graduated is eliminated from the competition and is sent home with his or her license returned to him or her. Typically, the contestants drive off with their nominators in the car that they used to arrive at the Driver Rehabilitation Centre. During the series, the experts also reserve the right to not graduate anyone during an episode or to graduate multiple contestants at the same time. The experts may also choose to expel any contestant prematurely who does not show any incentive to learn, who they believe should not continue driving or who can not continue the rehabilitation program often for medical or legal reasons. In this particular instance, certain contestants are eliminated from the competition and their licenses are returned and they are given a ride home by their nominators. However, a prematurely expelled contestant or contestant who refuses to continue may still be considered for the title, as was the case in Canada's Worst Driver Ever, in which Dale Pitton was expelled in the second-to-last episode, only to be brought back for the trophy presentation. In extreme cases, the experts may contact the relevant Ministry of Transport and request that a driver's license be put up for review, if they believe that a contestant is medically unfit to continue driving. To date, this has happened only twice, in Canada's Worst Driver 4 with Donna Hicks and Canada's Worst Driver Ever with Dale. The elimination process continues until only three contestants remain (the original intent was for two contestants to remain, but due to the first season containing an episode in which no one graduated, there were three; every subsequent season has had three finalists). Those three finalists are then given the final challenge, which is typically a three-in-a-car forward-backward slalom within a certain time limit, followed by the Mega Challenge, an obstacle course with elements of almost every previous challenge (the standard transmission balancing challenge, among others, is not part of the Mega Challenge, but every challenge that is practical to include does get included), as well as a driving examination through the busy streets of a major urban centre in Canada near the Driver Rehabilitation Centre (since season seven, the road test has been in Hamilton, Ontario). Based on these three challenges, the experts determine which among the three is Canada's Worst Driver. With the exception of the eighth season, in which both Kevin Simmons and Flora Wang were named Canada's Worst Driver, the contestant who fared the second-worst is deemed to not have graduated from the Driver Rehabilitation Centre, while the contestant who fared the third-worst is considered a graduate (with the exception of the eleventh season, in which, despite faring the third-worst, Sholom Hoffman failed to graduate). Unlike other versions of the Worst Driver series around the world, where being eliminated early is rewarded with a new car while the Worst Driver has their car destroyed, Canada's Worst Driver awards no prizes aside from a trophy for being named the worst, as the point of the show is to educate rather than entertain.",False,"Canada's Worst Driver -- So check it, every season, they pick like eight (sometimes nine) folks who really can't drive and their homies who nominated them, and they all head to the Driver Rehabilitation Centre. They tryna get better at driving so they ain’t called Canada's Worst Driver. The first thing they gotta do is drive there from about an hour away, following the directions given. When they pull up, they gotta hand over their driver's licenses (used to be car keys in the first couple seasons). They wrap up the first episode with some tough driving test or obstacle course to see where their skills at.

This show's big on those wild obstacle challenges, man. They be driving through tight spots with barely any room to breathe. The host, Andrew Younghusband, who's just an average driver, he does each challenge first to show it's doable. After the second episode, contestants gotta meet up with Andrew and four experts to talk about how they did. Depending on how they've improved, they might graduate from the program, which means they out of the competition and get their license back. They dip out in the same whip they came in.

Throughout the show, these experts might decide to not let anyone graduate in an episode,",True,
will there be a 13th season of criminal minds,they gon' drop a 13th season of Criminal Minds or nah?,True,"Criminal Minds (season 13) -- The thirteenth season of Criminal Minds was ordered on April 7, 2017, by CBS with an order of 22 episodes. The season premiered on September 27, 2017 in a new time slot at 10:00PM on Wednesday when it had previously been at 9:00PM on Wednesday since its inception. The season concluded on April 18, 2018 with a two-part season finale.",True,"Criminal Minds (season 13) -- They went ahead and copped the thirteenth season of Criminal Minds on April 7, 2017, right? CBS said they needed 22 episodes. This season kicked off on September 27, 2017, but peep this, they switched up the time on us! It used to drop at 9:00PM on Wednesdays, but now it’s at 10:00PM. They wrapped this whole thing up on April 18, 2018, closing out with a two-part finale.",True,
are family dollar and dollar general owned by the same company,"Nah, Family Dollar and Dollar General ain't owned by the same folks. They separate companies, ya know?",True,"Family Dollar -- Several stores were required to be sold as a condition of the sale. Sycamore Partners acquired the stores in 2014 under the corporate name Dollar Express. The stores continued to operate under the Family Dollar name. In 2017, Dollar General acquired Dollar Express and converted the stores.",False,"Family Dollar -- A bunch of them stores had to be sold off before the deal could go through. Back in 2014, Sycamore Partners scooped them up and called it Dollar Express, but they kept the Family Dollar name on the signs. Then in 2017, Dollar General came through, copped Dollar Express, and switched up how them stores were run.",True,
can you drink in the street in glasgow,can you sip on somethin' out in the streets of Glasgow?,False,"Drinking in public -- The City of Edinburgh allows the consumption of alcohol in public places but under the Edinburgh by-law, anyone drinking in public would have to stop if asked by police. In the Strathclyde region that includes Glasgow, the consumption of alcohol or possession of an open container of alcohol, in public places has been illegal since 1996. Breaking this law can mean a fine. This ban was enforced due to the increase in drink-related violent crime. In the Perth & Kinross local authority the consumption of alcohol in public places is illegal in the following places: Alyth, Crieff, Kinross, Scone, Aberfeldy, Blairgowrie, Dunkeld & Birnam, Milnathort, Coupar Angus, Errol, Perth City. Drinking publicly in these areas is chargeable offence. In St Andrews in Fife it is illegal to drink or even have an open drinks container on the street. On the spot fines can be handed out by the police. It is however legal to consume alcohol on any of the beaches in St Andrews.",False,"Drinking outside — In Edinburgh, you can drink in public spots, but if the cops tell you to stop, you gotta stop. Over in the Strathclyde area, which includes Glasgow, you can't drink or even hold an open bottle of alcohol in public since 1996. If you break this rule, you might have to pay a fine. They put this ban in place 'cause there was too much violence related to drinking. Now, in Perth & Kinross, you can't drink in public in places like Alyth, Crieff, and a bunch of others including Perth City. If you’re caught drinking there, you could get in trouble. In St Andrews, Fife, it's straight-up illegal to drink or carry an open drink on the street, and police can fine you right there. But, you can drink on any beach in St Andrews, that's still cool.",False,
is cheaper by the dozen a true story,"Is ""Cheaper by the Dozen"" based on a true story?",True,"Cheaper by the Dozen -- Cheaper by the Dozen is a semi-autobiographical novel written by Frank Bunker Gilbreth, Jr. and Ernestine Gilbreth Carey, published in 1948. The novel recounts the authors' childhood lives growing up in a household of 12 kids. The bestselling book was later adapted into a feature film by Twentieth Century Fox in 1950 and followed up by the sequel, Belles on Their Toes (1950), which was adapted as a 1952 film.",False,"Cheaper by the Dozen -- Cheaper by the Dozen is a book that's kinda based on true stories, written by Frank Bunker Gilbreth, Jr. and Ernestine Gilbreth Carey, and it came out back in 1948. This book tells all about what it was like for the authors growing up in a big ol' house with 12 kids running around. It got so popular that it was turned into a movie by Twentieth Century Fox in 1950. They even made a sequel called Belles on Their Toes in the same year, and that got its own movie in 1952.",True,
is there such thing as a 100 pound note,Do they even make a 100 pound note?,True,"Banknotes of the pound sterling -- Not since 1945 has there been bigger notes than £50 issued for general circulation by the Bank of England, although banks in Scotland and Northern Ireland still use £100 notes. However, the Bank of England does produce higher-value notes that are used to maintain parity with Scottish and Northern Irish notes. Banknotes issued by Scottish and Northern Irish banks have to be backed pound for pound by Bank of England notes (other than a small amount representing the currency in circulation in 1845), and special £1 million and £100 million notes are used for this purpose. Their design is based on the old Series A notes.",True,"Ain't nobody seen bigger notes than £50 in general use in England since '45, but up in Scotland and Northern Ireland, they still rockin' with them £100 notes, ya feel me? The Bank of England, though, they do got some bigger bills, like £1 million and £100 million notes, but those just for keeping things even with the Scottish and Northern Irish money. Them big bills, they gotta be backed up pound for pound by the Bank of England money, except for a lil' bit that dates back to 1845. They got this old school Series A design on 'em too.",True,
can you inhale alcohol vapors and get drunk,can you breathe in alcohol fumes and get tipsy,True,"Alcohol inhalation -- Alcohol inhalation is a method of administering alcohol (also known formally as ethanol) or alcoholic drinks directly into the respiratory system, with aid of a vaporizing or nebulizing device. It is chiefly applied for recreational use, when it is also referred to as alcohol smoking, but it has medical applications for testing on laboratory rats and treatment of pulmonary edema in humans.",True,"Inhalin' alcohol -- Inhalin' alcohol mean you takin' alcohol or drinks straight to your breathin' system usin' somethin' like a vaporizer or nebulizer. Folks mainly do it for fun, and they sometimes call it alcohol smokin'. But it ain’t just for kicks; it's also used in the lab for experiments on rats and helpin' treat lung swelling in people.",True,
is daylight savings time all over the world,"Do errywhere use daylight savings time, or nah?",False,"Daylight saving time by country -- Most areas in North America and Europe, and some areas in the Middle East, observe daylight saving time (DST), while most areas of Africa and Asia do not. In South America, most countries in the north of the continent near the equator do not observe DST, while Paraguay and southern parts of Brazil do. The practice of observing daylight saving time in Oceania is also mixed, with New Zealand and parts of southeastern Australia observing DST, while most other areas do not.",False,"Daylight saving time by country -- A lot of places in North America and Europe, plus some spots in the Middle East, be switching up they clocks for daylight saving time (DST). But, most places in Africa and Asia ain't bothering with it. Down in South America, the countries up north by the equator usually don't mess with DST, but Paraguay and the southern parts of Brazil do. Over in Oceania, it's kinda mixed too; New Zealand and some parts of southeastern Australia be doing DST, but most other places don’t.",False,
is polygamy legal in any state in the united states,Is polygamy legal in any state in the U.S.?,False,"Polygamy in North America -- Polygamy is the act or condition of a person marrying another person while still being lawfully married to another spouse. As this is the very definition of bigamy, it is illegal in the United States. The crime is punishable by a fine, imprisonment, or both, according to the law of the individual state and the circumstances of the offense. Polygamy was outlawed federally by the Edmunds Act, and there are laws against the practice in all 50 states, as well as the District of Columbia, Guam, and Puerto Rico. Because state laws exist, polygamy is not actively prosecuted at the federal level, but the practice is considered ``against public policy'' and, accordingly, the U.S. government won't recognize bigamous marriages for immigration purposes (that is, would not allow one of the spouses to petition for immigration benefits for the other), even if they are legal in the country where bigamous marriage was celebrated. Any immigrant who is coming to the United States to practice polygamy is inadmissible.",False,"Polygamy in North America -- So, polygamy is when somebody gets married to another person while they still legally tied to somebody else. Now, that's the same thing as bigamy, and that's straight-up illegal in the U.S. Each state got its own penalties which could be a fine, some time in lockup, or both, depending on the situation. The whole country said no to polygamy with the Edmunds Act, and every single state, plus D.C., Guam, and Puerto Rico, got laws against it. Even though the states handle most cases, on a federal level, the U.S. ain't recognizing marriages like that, especially not for immigration. If a marriage is bigamous and it's legal back in the home country, the U.S. still ain't gonna honor it for bringing spouses over. And if you're coming to the U.S. trying to live that polygamy life, you ain't getting in.",False,
can u really hear the ocean in a shell,can u fo' real hear da ocean in a shell?,False,"Seashell resonance -- The rushing sound that one hears is in fact the noise of the surrounding environment, resonating within the cavity of the shell. The same effect can be produced with any resonant cavity, such as an empty cup or even by simply cupping one's hand over one's ear. The similarity of the noise produced by the resonator to that of the oceans is due to the resemblance between ocean movements and airflow.",False,"Seashell sound — When you hear that rushing noise from a seashell, it's actually just the noise from around you bouncing around inside the shell. You can get the same kind of sound with any hollow space, like an empty cup or even if you just cup your hand over your ear. The reason it sounds like the ocean is because the way the air moves is kinda like how the ocean moves.",False,
is sweet italian sausage the same as mild,Is sweet Italian sausage the same as mild Italian sausage?,False,"Italian sausage -- The most common varieties marketed as ``Italian Sausage'' in North American supermarkets are hot(1), sweet(2)(3)(4)(5), and mild(6). The main difference between hot and mild is the addition of hot red pepper flakes in the spice mix of the former. The difference between mild and sweet is the addition of sweet basil in the latter.",False,"Italian sausage -- The types you usually see in North American grocery stores labeled as Italian Sausage are hot, sweet, and mild. The hot sausage got them hot red pepper flakes mixed in. Now, for the sweet and mild, the sweet one got sweet basil added to it, that’s what sets it apart.",False,
will there be a season 3 of too close to home,they gon' have a season 3 of Too Close to Home or nah?,False,"Too Close to Home (TV series) -- On November 2, 2017, it was confirmed that the show had been cancelled and would not be renewed for a third season.",False,"Too Close to Home (TV series) -- On November 2, 2017, it got confirmed that they ain't bringin' the show back and it won't get no third season.",False,
is the medal of honor the highest honor,Is the Medal of Honor the top honor?,True,"Medal of Honor -- The Medal of Honor is the United States of America's highest and most prestigious personal military decoration that may be awarded to recognize U.S. military service members who distinguished themselves by acts of valor. The medal is normally awarded by the President of the United States in the name of the U.S. Congress. Because the medal is presented ``in the name of Congress'', it is often referred to informally as the ``Congressional Medal of Honor''. However, the official name of the current award is ``Medal of Honor'', as it began with the U.S. Army's version. Within United States Code the medal is referred to as the ``Medal of Honor'', and less frequently as ``Congressional Medal of Honor''. U.S. awards, including the Medal of Honor, do not have post-nominal titles, and while there is no official abbreviation, the most common abbreviations are ``MOH'' and ``MH''.",True,"Medal of Honor -- The Medal of Honor be the highest and most fly decoration for military folks in the USA, given for real brave acts. It's mostly handed out by the President in the name of U.S. Congress. Folks often call it the Congressional Medal of Honor cause it's given out like that, but for real, it's just Medal of Honor. That name started with the U.S. Army's version. In the laws, it's also called Medal of Honor, and sometimes folks say Congressional Medal of Honor too. When we talk 'bout U.S. awards, including the Medal of Honor, they ain't followed by any special letters after your name, and though there ain't no official short version, people mostly use MOH or MH to keep it short.",True,
can i be sacked for falling asleep at work,Can I get fired for fallin' asleep on the job?,True,"Sleeping while on duty -- Sleeping while on duty or sleeping on the job refers to falling asleep while on the time clock or equivalent, or else while responsible for performing some active or passive job duty. While in some jobs, this is a minor transgression or not even worthy of sanctioning, in other workplaces, this is considered gross misconduct and may be grounds for disciplinary action, including possible termination of employment. Recently however, there has been a movement in support of sleeping, or napping at work, with scientific studies highlighting health and productivity benefits, and over 6% of employers in some countries providing facilities to do so. In some types of work, such as firefighting or live-in caregiving, sleeping at least part of the shift may be an expected part of paid work time. While some employees who sleep while on duty in violation do so intentionally and hope not to get caught, others intend in good faith to stay awake, and accidentally doze.",True,"Sleeping on the job -- When folks fall asleep while they supposed to be workin', whether they on the clock or just gotta be doin' some kind of work duty. In some jobs, it ain't a big deal if you catch some z's, but in other spots, it's seen as a serious no-no and could even get you fired. But lately, folks been pushin' for the right to nap at work 'cause studies show it's good for your health and makes you work better. Some places even got special spots set up where workers can take a nap. Jobs like firefighting or live-in caregiving might have you sleeping during your shift as part of the deal. Sometimes people who sleep on the job ain't tryna get caught; they just sneak in some sleep. But others don't mean to fall asleep; it just happens.",True,
can you buy a car in wisconsin on sunday,can you cop a whip in Wisconsin on Sunday?,False,"Blue law -- In Texas, for example, blue laws prohibited selling housewares such as pots, pans, and washing machines on Sunday until 1985. In Colorado, Illinois, Indiana, Iowa, Louisiana, Maine, Minnesota, Missouri, Oklahoma, New Jersey, North Dakota, Pennsylvania, and Wisconsin, car dealerships continue to operate under blue-law prohibitions in which an automobile may not be purchased or traded on a Sunday. Maryland permits Sunday automobile sales only in the counties of Charles, Prince George's, Montgomery, and Howard; similarly, Michigan restricts Sunday sales to only those counties with a population of less than 130,000. Texas and Utah prohibit car dealerships from operating over consecutive weekend days. In some cases these laws were created or retained with the support of those whom they affected, to allow them a day off each week without fear of their competitors still being open.",False,"Blue law -- Like in Texas, back in the day, blue laws stopped folks from selling home goods like pots, pans, and washing machines on Sundays till 1985. In states like Colorado, Illinois, Indiana, Iowa, Louisiana, Maine, Minnesota, Missouri, Oklahoma, New Jersey, North Dakota, Pennsylvania, and Wisconsin, car dealerships gotta chill on Sundays 'cause they can't sell or trade cars. Over in Maryland, you only gonna find Sunday car sales in Charles, Prince George's, Montgomery, and Howard counties. Michigan let folks in counties with less than 130,000 people sell cars on Sundays, too. Texas and Utah ain't letting car dealerships open on back-to-back weekend days. Some of these laws came to be 'cause the folks they impact wanted a guaranteed day off each week without worrying about their rivals staying open.",False,
is electrode potential the same as reduction potential,Is electrode potential the same thang as reduction potential?,True,"Standard electrode potential -- Although the overall potential of a cell can be measured, there is no simple way to accurately measure the electrode/electrolyte potentials in isolation. The electric potential also varies with temperature, concentration and pressure. Since the oxidation potential of a half-reaction is the negative of the reduction potential in a redox reaction, it is sufficient to calculate either one of the potentials. Therefore, standard electrode potential is commonly written as standard reduction potential.",False,"Standard electrode potential -- Even though you can check the total potential of a battery, ain't no straightforward method to measure the potentials of just the electrode or the electrolyte by themselves. Plus, the electric potential changes when you mess with the temperature, concentration, or pressure. Since the oxidation potential for part of a reaction is just the opposite of the reduction potential in a redox reaction, you only gotta figure out one of these potentials. That’s why folks usually refer to the standard electrode potential as the standard reduction potential.",False,
did north korea compete in the 2018 olympics,Did North Korea compete in the 2018 Olympics?,True,"North Korea at the 2018 Winter Olympics -- North Korea competed in the 2018 Winter Olympics in Pyeongchang, South Korea. Two figure skaters, Ryom Tae-ok and Kim Ju-sik, qualified for the Games, but the Olympic Committee of the Democratic People's Republic of Korea (North Korea) failed to enter them by the 30 October deadline. On 9 January 2018, North Korea agreed in negotiations with South Korea to send both athletes and a delegation to the Winter Olympics.",True,"North Korea at the 2018 Winter Olympics -- North Korea was up in the mix at the 2018 Winter Olympics in Pyeongchang, South Korea. They had two figure skaters, Ryom Tae-ok and Kim Ju-sik, who had made the cut for the Games, but North Korea's Olympic Committee ain't register them by the deadline on October 30th. Then, on January 9, 2018, North Korea chopped it up with South Korea and agreed to send them athletes along with a whole delegation to the Winter Olympics.",True,
was mercury used as a cure for syphilis,Did they use mercury to treat syphilis back in the day?,True,"History of syphilis -- Mercury was a common, long-standing treatment for syphilis, and its use as such has been suggested to date back to The Canon of Medicine (1025) by the Persian physician Ibn Sina (Avicenna); although this is only possible if syphilis existed in the Old World prior to Columbus (see § Origin). One of the first supporters of mercury treatment was Paracelsus because it had positive effects on the Arabic treatment of leprosy, which was thought to be a disease related to syphilis. Giorgio Sommariva of Verona is recorded to have used mercury to treat syphilis in 1496, and is often recognized as the first physician to have done so, although he may not have been a physician. During the sixteenth century, mercury was administered to syphilitic patients in various ways, including by rubbing it on the skin, by applying a plaster, and by mouth. A ``Fumigation'' method of administering mercury was also used, in which mercury was vaporized over a fire and the patients were exposed to the resulting steam, either by being placed in a bottomless seat over the hot coals, or by having their entire bodies except for the head enclosed in a box (called a ``tabernacle'') that received the steam. The goal of mercury treatment was to cause the patient to salivate, which was thought to expel the disease. Unpleasant side effects of mercury treatment included gum ulcers and loose teeth. Mercury continued to be used in syphilis treatment for centuries; an 1869 article by TJ Walker discussed administering mercury by injection for this purpose.",True,"So check it, back in the day, folks used mercury to treat syphilis, right? This idea been around since way back, like 1025, in Ibn Sina’s The Canon of Medicine. Now, there's some debate whether syphilis was even around before Columbus hit up the Americas, but that's a whole nother story.

One of the first to big up mercury for syphilis was this guy Paracelsus. He peeped that mercury helped with leprosy, which folks thought was kinda like syphilis. Then, in 1496, this dude named Giorgio Sommariva from Verona started using mercury to cure syphilis, making him one of the first to do it, even though folks ain't sure if he was a real doctor.

During the 1500s, they had all sorts of ways to use mercury on folks with syphilis. They'd rub it on the skin, slap on a plaster, or even have folks swallow it. They even had this wild method called Fumigation, where they'd vaporize mercury over a fire, and patients would sit over it or get boxed up, except for their heads, to breathe in the steam. They thought making",True,
can a member of congress be removed from office,can a congress member get kicked out they spot?,True,"Expulsion from the United States Congress -- Expulsion is the most serious form of disciplinary action that can be taken against a Member of Congress. Article I, Section 5 of the United States Constitution provides that ``Each House (of Congress) may determine the Rules of its proceedings, punish its members for disorderly behavior, and, with the concurrence of two-thirds, expel a member.'' The processes for expulsion differ somewhat between the House of Representatives and the Senate.",True,"Gettin' kicked outta the United States Congress -- Aight, so gettin' expelled is the deepest kinda discipline they can slap on a Member of Congress. Now, Article I, Section 5 of the United States Constitution lays it down like this: “Each House (we talkin’ ‘bout Congress) can set up its own rules, check its members when they outta line, and if two-thirds of ‘em agree, they can boot someone out.” Now, how they go about this expulsion thing kinda varies between the House of Representatives and the Senate.",True,
