Passage Reference,Passage Hypothesis,Question Reference,Question Hypothesis,Passage BLEU_score,Question BLEU_score,Passage BLEU_score_under_10,Passage BLEU_score_under_20,Passage BLEU_score_under_30,Passage BLEU_score_under_50,Passage BLEU_score_under_70,Question BLEU_score_under_10,Question BLEU_score_under_20,Question BLEU_score_under_30,Question BLEU_score_under_50,Question BLEU_score_under_70
"list of backward compatible games for xbox one -- during microsoft's e3 2015 press conference on june 15, 2015, microsoft announced plans to introduce xbox 360 backward compatibility on the xbox one at no additional cost. supported xbox 360 games will run within an emulator and have access to certain xbox one features, such as recording and broadcasting gameplay. games do not run directly from discs. a ported form of the game is downloaded automatically when a supported game is inserted, while digitally-purchased games will automatically appear for download in the user's library once available. as with xbox one titles, if the game is installed using physical media, the disc is still required for validation purposes.","list of xbox one backward compatible games -- back in microsoft's e3 2015 press conference on june 15, 2015, microsoft dropped the news that they finna roll out xbox 360 backward compatibility on the xbox one for free. supported xbox 360 games gon' run in an emulator and get some xbox one perks, like recording and broadcasting your gameplay. you can't play games straight off the discs though. when you pop in a supported game disc, the system downloads a ported version of the game. if you bought the game digitally, it'll just show up ready for download in your library when it's available. and just like with xbox one games, if you installed the game from a disc, you still need that disc in the console to play, for validation.",will an xbox 360 game work on an xbox one,do xbox 360 games play on xbox one?,24.947607323153026,12.759307794697138,0,0,1,1,1,0,1,1,1,1
"jackalope -- the jackalope is a mythical animal of north american folklore (a fearsome critter) described as a jackrabbit with antelope horns. the word ``jackalope'' is a portmanteau of ``jackrabbit'' and ``antelope'', although the jackrabbit is not a rabbit, and the pronghorn is not an antelope. many jackalope taxidermy mounts, including the original, are made with deer antlers.","jackalope -- so, the jackalope is like this legendary creature outta north american stories, right? it's like a jackrabbit but it’s rockin' some antelope horns. they call it jackalope by mixin' up jackrabbit and antelope. but peep this, even though they say jackrabbit, it ain’t really a rabbit, and that pronghorn they mention ain't a true antelope either. a lot of those jackalope mounts you see, even the very first ones, they got deer antlers on 'em.",is there such thing as a jack rabbit,"yeah, do jack rabbits really exist?",7.210513572207758,5.522397783539471,1,1,1,1,1,1,1,1,1,1
"tinker bell (film series) -- in addition to tinker bell and the legend of the neverbeast, disney also had plans for a seventh film. in 2014, the hollywood reporter stated that the seventh film was canceled due to story problems.","tinker bell (film series) -- besides tinker bell and the legend of the neverbeast, disney was thinkin' 'bout droppin' a seventh film too. but back in 2014, the hollywood reporter said they had to scrap that idea 'cause the story wasn't holding up.",are they coming out with a new tinkerbell movie,they finna drop a new tinkerbell movie?,43.87855155160615,32.260135189272866,0,0,0,1,1,0,0,0,1,1
"money mart -- national money mart company, commonly known as money mart, is a canadian financial services company that provides payday loans, cheque cashing, tax preparation and money transfer services to the underbanked. it was founded in edmonton, alberta in 1982, and by 2010 it had 412 stores across canada with an additional 53 franchised stores. the head office is located in victoria, bc.","money mart -- national money mart company, often just called money mart, is a canadian company that hook folks up with services like payday loans, cashing checks, help with taxes, and sending money, especially for people who ain't really using traditional banks. it started up in edmonton, alberta back in 1982, and by 2010, they had 412 spots all over canada, plus 53 more that they franchised out. they run they main operations outta victoria, bc.",are cash money and money mart the same company,"nah, cash money and money mart ain't the same company, fam. they both be financial service businesses, but they different entities.",26.98233937636027,18.087131559310688,0,0,1,1,1,0,1,1,1,1
cooking apple -- it is often believed that eating cooking apples raw will make a person sick. in reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. this myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.,"cooking apples -- folks often think that if you eat cooking apples raw, they'll make you sick. but for real, it's cool to eat them raw; they just apples that work good when you cook 'em. this whole idea that they bad to eat raw just come from them being tart and maybe not sittin' right in your stomach sometimes.",is it ok to eat cooking apples raw,is it cool to eat dem cooking apples raw?,4.269947224322035,22.957488466614326,1,1,1,1,1,0,0,1,1,1
"flag of texas -- the flag is required by law to be displayed on or near the main administration building of each state institution during each state or national holiday, and on any special occasion of historical significance, permanently above both doors of the texas state capitol, alone at the north door, and under the u.s. flag at the south door, with the exception being if the flags are at half mast or if the pow/mia flag is being flown with the u.s. flag; in which event the texas flag shall only fly at the north door. state law also requires that the state flag be flown at or near any international port of entry. when displayed vertically, the blue stripe should be at top and, from the perspective of an observer, the white stripe should be to the left of the red stripe.","texas flag -- by law, this flag gotta be up by the main building of every state spot on all the state or national holidays, and any big days with historical vibes, always up over both doors of the texas state capitol. it hangs solo at the north door, but it’s under the u.s. flag at the south door, unless the flags are half mast or the pow/mia flag is up with the u.s. flag; then the texas flag just flies at the north door. state law say it also gotta be flown at or near any international port of entry. when you hang it vertically, put the blue stripe on top and, for anyone looking, the white stripe should be on the left side of the red stripe.",does the texas flag fly at the same height as the american flag,"do the texas flag and the american flag fly at the same height, or nah?",41.14224029831548,42.0271437267157,0,0,0,1,1,0,0,0,1,1
"ordinary time -- ordinary time resumes on the monday following solemnity of pentecost, which is the sunday between 10 may and 13 june that marks the 50th day of easter. ordinary time concludes with the saturday afternoon before the first sunday of advent (27 november to 3 december). ordinary time thus always includes the entire months of july, august, september and october and most or all of june and november. in some years, ordinary time includes a portion of may, or a day or two in early december, or both. the catholic church substitutes the solemnity of our lord jesus christ the king of the universe in the place of the 34th sunday in ordinary time, the last sunday of the season.","ordinary time -- it pick back up on the monday right after pentecost sunday, which fall between may 10 and june 13, marking the 50th day after easter. ordinary time keep going until the saturday afternoon before the first sunday of advent, which happen between november 27 and december 3. so, ordinary time always got july, august, september, and october fully covered, and most or all of june and november too. depending on the year, it might also include a bit of may, a day or two in early december, or both. the catholic church switch out the 34th sunday in ordinary time for the solemnity of our lord jesus christ the king of the universe, and that's the last sunday of the season.",is it ordinary time in the catholic church,is it regular time in the catholic church right now?,45.039800794165956,40.35278637463991,0,0,0,1,1,0,0,0,1,1
"borderlands: the handsome collection -- borderlands: the handsome collection is a compilation of first-person shooter video games developed by gearbox software and published by 2k games. the collection consists of ports of borderlands 2 and borderlands: the pre-sequel for playstation 4 and xbox one, along with all of their accompanying downloadable content, enhanced local multiplayer, and the ability to transfer save data from their respective playstation 3/vita and xbox 360 versions.","borderlands: the handsome collection -- aight, so borderlands: the handsome collection, it's like this big ol’ bundle of first-person shooter games that gearbox software made and 2k games put out. this collection got both borderlands 2 and borderlands: the pre-sequel, all fixed up nice for playstation 4 and xbox one. they threw in all the extra downloadable content, boosted the local multiplayer, and you can even move your old save files from the playstation 3/vita and xbox 360 over to the new systems.",does borderlands 2 handsome collection have all dlc,do borderlands 2 handsome collection come wit all da dlcs?,32.11304940112578,24.808415001701817,0,0,0,1,1,0,0,1,1,1
"project runway: junior -- in may 2016, lifetime renewed project runway: junior for a second and third season in a deal with the weinstein company.","project runway: junior -- back in may 2016, lifetime decided to bring back project runway: junior for both a second and third season, teaming up with the weinstein company for the deal.",is there going to be a season 3 of project runway junior,they gon' have a season 3 of project runway junior or nah?,44.51553292322984,47.037095938668955,0,0,0,1,1,0,0,0,1,1
"routing transit number -- an aba routing transit number (aba rtn) is a nine digit code, used in the united states, which appears on the bottom of negotiable instruments such as cheques to identify the financial institution on which it was drawn. the aba rtn was originally designed to facilitate the sorting, bundling, and shipment of paper cheques back to the drawer's (check writer's) account. as new payment methods were developed (ach and wire), the system was expanded to accommodate these payment methods.","routing transit number -- a routing transit number, or aba rtn, is a nine-digit code in the u.s. that you see at the bottom of checks. it tell you which bank the check come from. at first, folks used the aba rtn to help sort, bundle, and send paper checks back to the person who wrote the check's bank account. when new ways to pay like ach and wire transfers came out, they updated the system to handle these too.",is transit aba number the same as routing number,is the transit aba number the same as the routing number?,9.454474816184987,48.326978309062184,1,1,1,1,1,0,0,0,1,1
"number sign -- since 2007, widespread usage of the symbol to introduce metadata tags on social media platforms has led to such tags being known as ``hashtags'' and from that, the symbol itself is sometimes called a ``hashtag''.","pound sign -- since 2007, folks been usin' this symbol a lot to add them tags on social media, which folks started callin' hashtags. cause of that, now some people even call the symbol a hashtag.",is hashtag the same as the number sign,is hashtag the same thing as the number sign?,16.129034175102845,52.53819788848316,0,1,1,1,1,0,0,0,0,1
"queens plaza (ind queens boulevard line) -- queens plaza is an express station on the ind queens boulevard line of the new york city subway. located under the eastern edge of queens plaza at the large queens plaza interchange, it is served by the e train at all times, by the r train at all times except late nights, and by the m train on weekdays except late nights.","queens plaza (ind queens boulevard line) -- queens plaza, it's an express station on that ind queens boulevard line in the new york city subway. situated right under the eastern edge of queens plaza at the big queens plaza interchange, this spot is served by the e train anytime, the r train all times 'cept late nights, and the m train on weekdays, also excluding late nights.",does the f train stop at queens plaza,do the f train stop at queens plaza?,55.50515905619049,72.59795291154772,0,0,0,0,1,0,0,0,0,0
"snail -- snail is a common name loosely applied to shelled gastropods. the name is most often applied to land snails, terrestrial pulmonate gastropod molluscs. however, the common name snail is also used for most of the members of the molluscan class gastropoda that have a coiled shell that is large enough for the animal to retract completely into. when the word ``snail'' is used in this most general sense, it includes not just land snails but also numerous species of sea snails and freshwater snails. gastropods that naturally lack a shell, or have only an internal shell, are mostly called slugs, and land snails that have only a very small shell (that they cannot retract into) are often called semi-slugs.","snail -- a snail basically be like a general name folks give to them shelled gastropods. folks mostly call them land snails, them earth-loving gastropod molluscs with lungs. but, they also slap the name snail on most creatures in the molluscan class gastropoda that got a coiled-up shell big enough to tuck themselves all the way into. when folks use the term snail like this, they ain't just talking 'bout land snails; they including all sorts of sea snails and freshwater snails too. now, them gastropods that don’t got no shell, or just got something like a shell inside them, they usually called slugs. and them land snails with a tiny shell they can’t even hide in, folks often call them semi-slugs.",is there a difference between slugs and snails,do slugs and snails got any differences?,13.397967548539283,20.556680845025987,0,1,1,1,1,0,0,1,1,1
"effects of hurricane katrina in new orleans -- in the city of new orleans, the storm surge caused approximately 23 breaches in the drainage canal and navigational canal levees and floodwalls. as mandated in the flood control act of 1965, responsibility for the design and construction of the city's levees belongs to the united states army corps of engineers and responsibility for their maintenance belongs to the orleans levee board. the failures of levees and floodwalls during katrina are considered by experts to be the worst engineering disaster in the history of the united states. by august 31, 2005, 80% of new orleans was flooded, with some parts under 15 feet (4.6 m) of water. the famous french quarter and garden district escaped flooding because those areas are above sea level. the major breaches included the 17th street canal levee, the industrial canal levee, and the london avenue canal floodwall. these breaches caused the majority of the flooding, according to a june 2007 report by the american society of civil engineers. the flood disaster halted oil production and refining which increased oil prices worldwide.","how hurricane katrina hit new orleans -- when hurricane katrina came through, it brought a storm surge that tore up about 23 spots in the drainage and navigational canal levees and floodwalls around new orleans. the united states army corps of engineers was supposed to design and build these levees 'cause of the flood control act of 1965, and the orleans levee board was supposed to keep 'em up. but when katrina hit, those levees and floodwalls broke down big time, and it's seen as the biggest engineering fail in u.s. history. by august 31, 2005, 80% of new orleans ended up underwater, some places even 15 feet deep. the famous french quarter and garden district didn't get flooded though, 'cause they sit above sea level. the main spots that broke were the 17th street canal levee, the industrial canal levee, and the london avenue canal floodwall. these breaks caused most of the flooding, per a report from the american society of civil engineers in june 2007. this mess also stopped oil production and refining, which made oil prices go up all over the world.",was the french quarter affected by hurricane katrina,did hurricane katrina hit the french quarter?,37.15009115277871,25.848657697858535,0,0,0,1,1,0,0,1,1,1
"plane (geometry) -- the remainder of the expression is arrived at by finding an arbitrary point on the line. to do so, consider that any point in space may be written as r = c 1 n 1 + c 2 n 2 + λ ( n 1 × n 2 ) (\displaystyle (\mathbf (r))=c_(1)(\mathbf (n))_(1)+c_(2)(\mathbf (n))_(2)+\lambda ((\mathbf (n))_(1)\times (\mathbf (n))_(2))) , since ( n 1 , n 2 , ( n 1 × n 2 ) ) (\displaystyle \((\mathbf (n))_(1),(\mathbf (n))_(2),((\mathbf (n))_(1)\times (\mathbf (n))_(2))\)) is a basis. we wish to find a point which is on both planes (i.e. on their intersection), so insert this equation into each of the equations of the planes to get two simultaneous equations which can be solved for c 1 (\displaystyle c_(1)) and c 2 (\displaystyle c_(2)) .","alright, check it: to find a point that's on both planes, or where they cross, you gotta use this formula for any point in space: r = c1 n1 + c2 n2 + λ (n1 × n2). here, (n1, n2, n1 × n2) is like your foundation, your basis. now, to find where this point hits both them planes, you plug this formula into each plane's equation. that's gonna give you two equations you can solve at the same time to find out what c1 and c2 are. this way, you figure out exactly where that intersection point is.",can one point be in two different planes,can one point be on two different planes?,2.3208223680287836,43.167001068522545,1,1,1,1,1,0,0,0,1,1
"football at the summer olympics -- because of the unusual format, several of the historically strongest men's national teams have unimpressive olympic records. uruguay won the tournament in their first two attempts, in 1924 and 1928, their only appearances before they qualified for the 2012 edition, after an 84-year absence. argentina won silver twice (1928 and 1996) before the 2004 tournament, but its appearance in athens, in which it won the first gold medal (the second was won in beijing in 2008), was only their seventh overall (the eighth has been in 2016). brazil's silver medals in the 1984, 1988 and 2012 editions were the best they had achieved until 2016's gold, and since professional athletes were allowed to compete, they failed to qualify in 1992 and 2004. italy has only won the olympic title once, in 1936, although it has also won two bronzes, and has the highest number of appearances in the tournament, at 15, with their last qualify in 2008. france has won the olympic title only once (in 1984) and has failed to qualify since 1996. germany's best result (before 2016 edition) was a single bronze medal, in 1988 (as west germany), and the reunified team did not make an olympic appearance until 2016, where they won silver. spain has won the gold medal only once, in 1992. it has also won 2 silver medals (in 1920 and 2000) but has failed to qualify several times.","football at the summer olympics -- check it, the way the game set up at the olympics, a bunch of the top men's national teams ain't really got the best records. uruguay snapped up the gold the first two times they stepped in, back in 1924 and 1928, and that was it till they got back on the field in 2012 after missing out for 84 years. argentina grabbed silver in 1928 and 1996, but they ain't hit gold till 2004 in athens, then again in beijing in 2008, and that was only their seventh time showing up (they made it eight in 2016). brazil was holding down silver in the 1984, 1988, and 2012 games, but they didn't score gold till 2016. they even missed the cut in 1992 and 2004 when the pros could play. italy only won the olympic title once, way back in 1936, but they did scoop up two bronzes and been in the mix 15 times, last showing up in 2008. france got their one gold in 1984 but ain’t been back since 1996. germany, before the 2016 games, only",do professional soccer players play in the olympics,do pro soccer players ball out at the olympics?,15.420577805798878,12.549310621989482,0,1,1,1,1,0,1,1,1,1
"the avengers (2012 film) -- marvel's the avengers (classified under the name marvel avengers assemble in the united kingdom and ireland), or simply the avengers, is a 2012 american superhero film based on the marvel comics superhero team of the same name, produced by marvel studios and distributed by walt disney studios motion pictures. it is the sixth film in the marvel cinematic universe (mcu). the film was written and directed by joss whedon and features an ensemble cast that includes robert downey jr., chris evans, mark ruffalo, chris hemsworth, scarlett johansson, and jeremy renner as the titular avengers team, alongside tom hiddleston, clark gregg, cobie smulders, stellan skarsgård, and samuel l. jackson. in the film, nick fury, director of the peacekeeping organization s.h.i.e.l.d., recruits tony stark, captain america, the hulk, and thor to form a team that must stop thor's brother loki from subjugating earth.","marvel's the avengers (2012 movie) -- over in the uk and ireland, they call it marvel avengers assemble, but most folks just know it as the avengers. this 2012 flick from the states is all about that superhero squad from the marvel comics, brought to life by marvel studios and put out there by walt disney studios motion pictures. it's the sixth one in the marvel cinematic universe (mcu). joss whedon wrote and directed it, and it's got a star-studded lineup with robert downey jr., chris evans, mark ruffalo, chris hemsworth, scarlett johansson, and jeremy renner as the main avengers crew. they're joined by tom hiddleston, clark gregg, cobie smulders, stellan skarsgård, and samuel l. jackson. in the movie, nick fury, who runs the peacekeeping crew s.h.i.e.l.d., gets tony stark, captain america, the hulk, and thor together to stop thor's brother loki from taking over earth.",is the avengers and avengers assemble the same film,"nah, ""the avengers"" and ""avengers assemble"" ain't the same film. ""the avengers"" is the original title in the u.s., but in some countries, it got released as ""avengers assemble"" to avoid confusion with another show. they the same movie, just different names depending on where you at.",51.05284481125454,3.4303563472831113,0,0,0,0,1,1,1,1,1,1
"rules of engagement (tv series) -- on may 10, 2013, rules of engagement was cancelled by cbs after seven seasons and 100 episodes. the series finale episode aired on may 20, 2013.","rules of engagement (tv series) -- on may 10, 2013, cbs cancelled rules of engagement after it ran for seven seasons and 100 episodes. the last episode aired on may 20, 2013.",is there going to be a season 8 of rules of engagement,they finna have a season 8 of rules of engagement or nah?,69.86806589075965,47.037095938668955,0,0,0,0,1,0,0,0,1,1
"alcohol laws of west virginia -- retail sale of beer and wine is prohibited on sundays between 2:00 a.m. and 1:00 p.m. and between 2:00 a.m. and 7:00 a.m. on weekdays and saturdays. retail sale of liquor is prohibited on sundays, christmas day, and between 12:00 midnight and 8:00 a.m on all other days.","in west virginia, you can't buy beer and wine in stores on sundays from 2 in the morning to 1 in the afternoon, and from 2 in the morning to 7 in the morning on weekdays and saturdays. you also can't buy liquor in stores on sundays, on christmas day, and from midnight to 8 in the morning on all other days.",are liquor stores open on sunday in wv,liquor stores open on sunday in west virginia?,15.264937735763212,58.73949094699213,0,1,1,1,1,0,0,0,0,1
"spanish royal family -- the house of bourbon-anjou (or simply house of bourbon-spain) is the current spanish royal family. it consists of the present king, the queen consort, their children and the king's parents. the spanish royal family belongs to the house of bourbon.","spanish royal family -- the house of bourbon-anjou (or just house of bourbon-spain) be the current spanish royal family. it got the current king, the queen consort, their kids, and the king's folks. the spanish royal family is part of the house of bourbon.",is there still a royal family in spain,do they still got a royal family in spain?,59.81274294722205,41.11336169005198,0,0,0,0,1,0,0,0,1,1
"limbic system -- paul d. maclean, as part of his triune brain theory, hypothesized that the limbic system is older than other parts of the forebrain, and that it developed to manage circuitry attributed to the fight or flight first identified by hans selye in his report of the general adaptation syndrome in 1936. it may be considered a part of survival adaptation in reptiles as well as mammals (including humans). maclean postulated that the human brain has evolved three components, that evolved successively, with more recent components developing at the top/front. these components are, respectively:","limbic system -- paul d. maclean, when he came up with his triune brain theory, thought that the limbic system been around longer than other parts of the forebrain. he believed it got its start to handle all that fight or flight response that hans selye talked about when he introduced the general adaptation syndrome back in 1936. it's kinda like a survival tool that both reptiles and mammals (us included) got. maclean figured that our brains evolved in three main parts, one after the other, with the newer parts forming up top and in the front. these parts are, in order:",is the limbic system the oldest part of the brain,is the limbic system the oldest part of the brain?,23.69149625635669,89.31539818068698,0,0,1,1,1,0,0,0,0,0
"target corporation -- target corporation is the second-largest department store retailer in the united states, behind walmart, and is a component of the s&p 500 index. founded by george dayton and headquartered in minneapolis, minnesota, the company was originally named goodfellow dry goods in june 1902 before being renamed the dayton's dry goods company in 1903 and later the dayton company in 1910. the first target store opened in roseville, minnesota in 1962 while the parent company was renamed the dayton corporation in 1967. it became the dayton-hudson corporation after merging with the j.l. hudson company in 1969 and held ownership of several department store chains including dayton's, hudson's, marshall field's, and mervyn's.","target corporation -- target corporation the second-biggest department store retailer in the u.s., right behind walmart, and it's part of the s&p 500 index. it was started by george dayton and got its main office in minneapolis, minnesota. originally, it was called goodfellow dry goods when it started in june 1902, then got renamed to dayton's dry goods company in 1903, and just the dayton company in 1910. the first target store popped up in roseville, minnesota in 1962, and by 1967, the parent company switched its name to the dayton corporation. after it merged with the j.l. hudson company in 1969, it turned into the dayton-hudson corporation. this corporation owned several department store chains like dayton's, hudson's, marshall field's, and mervyn's.",are target and macy's owned by the same company,do target and macy's got the same owner?,44.173916006386136,22.31618068926665,0,0,0,1,1,0,0,1,1,1
"bonnie blair -- blair began dating fellow olympic speed skater dave cruikshank in 1990. the pair married in milwaukee, wisconsin in 1996. blair and cruikshank have two children: a son, grant, and daughter, blair. as of 2018, grant cruikshank plays hockey in canada. blair cruikshank competed at the 2018 united states olympic speed skating trials at the 500 meter distance, held in pettit national ice center.","bonnie blair -- blair started goin' out with another olympic speed skater, dave cruikshank, back in 1990. they got hitched in milwaukee, wisconsin in 1996. blair and cruikshank got two kids: a son named grant and a daughter named blair. as of 2018, grant cruikshank be playing hockey up in canada. blair cruikshank was competing at the 2018 united states olympic speed skating trials for the 500 meter race, and that was all going down at the pettit national ice center.",did bonnie blairs daughter make the olympic team,bonnie blair daughter make it to the olympic team?,42.890667695157155,20.556680845025987,0,0,0,1,1,0,0,1,1,1
"list of full house and fuller house characters -- tommy fuller, jr. (portrayed by twins, dashiell and fox messitt) is d.j.'s youngest son. like his aunt michelle he also loses a parent as a baby.","list of full house and fuller house characters -- tommy fuller, jr. (played by twins, dashiell and fox messitt) be d.j.'s youngest boy. like his aunt michelle, he also lost a parent when he was just a baby.",is the baby in fuller house a twin,"the baby in fuller house, they twins or nah?",62.21369700707888,35.08439695638686,0,0,0,0,1,0,0,0,1,1
"the amazing spider-man 2 -- the amazing spider-man 2 was originally envisioned as the beginning of a shared fictional universe, which would have continued with two sequels and several spin-off films centered on venom and the sinister six, among others. due to its performing below expectations, all subsequent installments were cancelled and a new iteration of the character, portrayed by tom holland in the marvel cinematic universe, began with the 2016 film captain america: civil war.","the amazing spider-man 2 -- aight, so the amazing spider-man 2 was supposed to kick off a whole big universe with more movies and spin-offs focusing on folks like venom and the sinister six. but 'cause it ain't do as good as folks hoped, they scrapped all them planned films and started fresh with tom holland playing spider-man in the marvel cinematic universe, starting with captain america: civil war in 2016.",was tom holland in amazing spider man 2,"tom holland was in ""amazing spider-man 2""?",24.57346306377388,11.044795567078939,0,0,1,1,1,0,1,1,1,1
"list of how i met your mother characters -- ted has dated many people and been in several long-term relationships. ted has an on-again, off-again relationship with robin. ted also dated victoria, stella, zoey and jeanette. ted finally gets to meet his wife-to-be, tracy, on the day of barney and robin's wedding, after accidentally teaching one of her college classes, owning her yellow umbrella for a short time, and dating her roommate. when he ran into tracy's roommate (cindy), it led to tracy's band performing at barney and robin's wedding.","list of how i met your mother characters -- ted been with a whole lot of folks and been in a bunch of serious relationships. ted keeps breaking up and making up with robin. he also went out with victoria, stella, zoey, and jeanette. ted finally meets his future wife, tracy, at barney and robin’s wedding day, after he accidentally taught one of her college classes, had her yellow umbrella for a bit, and dated her roommate. when he bumped into tracy’s roommate (cindy), it set up tracy’s band to play at barney and robin’s wedding.",is stella the mother on how i met your mother,"stella, she the mama on how i met your mother or nah?",36.27401937149384,37.59663529467017,0,0,0,1,1,0,0,0,1,1
"aftershock -- an aftershock is a smaller earthquake that follows larger earthquake, in the same area of the main shock, caused as the displaced crust adjusts to the effects of the main shock. large earthquakes can have hundreds to thousands of instrumentally detectable aftershocks, which steadily decrease in magnitude and frequency according to known laws. in some earthquakes the main rupture happens in two or more steps, resulting in multiple main shocks. these are known as doublet earthquakes, and in general can be distinguished from aftershocks in having similar magnitudes and nearly identical seismic waveforms.","aftershock -- an aftershock be like a smaller earthquake that come after a big one in the same spot where the first one hit, 'cause the ground tryna settle down after all that shaking. when you got a real big earthquake, it can set off hundreds or even thousands of these smaller shakes that we can pick up with tools, and they usually get weaker and happen less often over time, following some rules we know about. sometimes, an earthquake might break the ground in more than one go, leading to a few big shakes instead of just one. these called doublet earthquakes, and you can tell 'em apart from regular aftershocks 'cause they about the same strength and the shakes look almost the same.",can an aftershock be stronger than an earthquake,can a aftershock be mo' powerful than da earthquake?,8.018054639953128,10.552670315936318,1,1,1,1,1,0,1,1,1,1
"common raven -- common ravens can thrive in varied climates; indeed this species has the largest range of any member of the genus, and one of the largest of any passerine. they range throughout the holarctic from arctic and temperate habitats in north america and eurasia to the deserts of north africa, and to islands in the pacific ocean. in the british isles, they are more common in scotland, wales, northern england and the west of ireland. in tibet, they have been recorded at altitudes up to 5,000 m (16,400 ft), and as high as 6,350 m (20,600 ft) on mount everest. the population sometimes known as the punjab raven--described as corvus corax laurencei (also spelt lawrencii or laurencii) by allan octavian hume but more often considered synonymous with subcorax--is restricted to the sindh district of pakistan and adjoining regions of northwestern india. they are generally resident within their range for the whole year. in his 1950 work, grønlands fugle (birds of greenland), noted ornithologist finn salomonsen indicated that common ravens did not overwinter in the arctic. however, in arctic canada and alaska, they are found year-round. young birds may disperse locally.","common raven -- these birds can live in all sorts of weather, and they got the biggest area compared to others in their family, and one of the biggest among the songbirds. they everywhere, from the cold arctic and milder places in north america and eurasia to the deserts in north africa, and even islands in the pacific ocean. in the british isles, you'll find them more in scotland, wales, the north of england, and the west of ireland. over in tibet, they been spotted way up high, like 5,000 meters (16,400 ft), and even up to 6,350 meters (20,600 ft) on mount everest. there's this type called the punjab raven, people used to call it corvus corax laurencei, that's mostly hanging around the sindh area in pakistan and some parts of northwest india. they usually stay put all year round. finn salomonsen, a big name in bird study, wrote in his 1950 book called birds of greenland, that common ravens don't stay in the arctic during winter. but check this, in arctic canada and alaska, they there all year. the young ones might move around a bit locally.",are there any wild ravens in the uk,they got any wild ravens out there in the uk?,30.127820033735674,24.384183193426086,0,0,0,1,1,0,0,1,1,1
"hyundai genesis coupe -- the hyundai genesis coupé is a rear-wheel drive sports coupe from hyundai motor company, released on october 13, 2008 for the korean market. it is hyundai's first rear-wheel drive sports coupe, and shares its basic platform with the hyundai genesis luxury sedan.","hyundai genesis coupe -- aight, so check it: the hyundai genesis coupe is this rear-wheel drive sports coupe from hyundai motor company that dropped on october 13, 2008, just for the korean folks. it's hyundai's very first rear-wheel drive sports coupe, and it's built on the same kinda foundation as the hyundai genesis luxury sedan.",is a hyundai genesis coupe a sports car,is a hyundai genesis coupe considered a sports car?,41.37545207573808,52.53819788848316,0,0,0,1,1,0,0,0,0,1
"death certificate -- in the united states, certificates issued to the general public for deaths after 1990 may in some states be redacted to erase the specific cause of death (in cases where death was from natural causes) to comply with hiv confidentiality rules. in new york state, for instance, the cause of death on a general death certificate is only specified if death was accidental, homicide, suicide, or declared in absentia; all other deaths are only referred to as natural. all states have provisions, however, whereby immediate family members, law enforcement agencies, and governmental authorities (such as occupational health and safety groups) are able to obtain death certificates containing the full cause of death, even in cases of natural death.","death certificate -- in the u.s., the death certificates that folks get for deaths after 1990 might be partly hidden in some states to keep the cause of death private, especially if it was from natural causes, to stick to rules about keeping hiv info private. like in new york state, they only list the cause of death on the regular death certificate if it was from an accident, murder, suicide, or if the person was declared dead without their body being found; all other deaths are just marked as natural. but, all states allow close family, the police, and certain government groups (like those looking after workplace safety) to get the full details on the death certificate, even if it was a natural death.",does a death certificate have to show cause of death,do a death certificate gotta show what caused the death?,20.993295055872647,15.851165692617148,0,0,1,1,1,0,1,1,1,1
"gun laws in new hampshire -- since 22 february 2017, new hampshire is a constitutional carry state, requiring no license to open carry or concealed carry a firearm in public. concealed carry permits are still issued for purposes of reciprocity with other states.","gun laws in new hampshire -- since february 22, 2017, new hampshire been a constitutional carry state, meaning you don't need no license to open carry or concealed carry a firearm in public. they still issue concealed carry permits for when you need to be recognized in other states.",is it legal to carry a gun in new hampshire,can you carry a gun in new hampshire legally?,49.130258963800635,51.697315395717055,0,0,0,1,1,0,0,0,0,1
"twin -- monozygotic twins are genetically nearly identical and they are always the same sex unless there has been a mutation during development. the children of monozygotic twins test genetically as half-siblings (or full siblings, if a pair of monozygotic twins reproduces with another pair or with the same person), rather than first cousins. identical twins do not have the same fingerprints however, because even within the confines of the womb, the fetuses touch different parts of their environment, giving rise to small variations in their corresponding prints and thus making them unique.","twin -- so, monozygotic twins, right? they basically got almost the same genes and they always be the same gender unless something changes while they developing. now, check this: the kids of monozygotic twins be like half-siblings (or even full siblings, if two sets of monozygotic twins hook up with each other or with the same person), instead of just first cousins. but peep this, though: identical twins don't got the same fingerprints. that's 'cause even when they in the womb, they be touching different stuff around them, and that causes slight changes in their fingerprints, making each of them unique.",can you have identical twins that are different genders,can identical twins be different genders?,15.765683471175825,14.759564526951554,0,1,1,1,1,0,1,1,1,1
