Reference,Hypothesis,BLEU_score,BLEU_under_10,BLEU_under_20,BLEU_under_30,BLEU_under_50,BLEU_under_70
elevated by it -- the kind of movie ,lifted up by it -- the kinda movie,36.55552228545123,0,0,0,1,1
usual worst ,usual worst,100.00000000000004,0,0,0,0,0
"hugh grant , who has a good line in charm ","hugh grant, he got a good way of charmin'",19.64073254502565,0,1,1,1,1
arrive early and stay late ,get there early and stay late.,41.11336169005198,0,0,0,1,1
"is a pan-american movie , with moments of genuine insight into the urban heart . ","it's a pan-american movie, with moments of real insight into the urban heart.",72.41577342575832,0,0,0,0,0
i could have used my two hours better watching being john malkovich again . ,i coulda used my two hours better watchin' being john malkovich again.,54.844980922047604,0,0,0,0,1
"shot in artful , watery tones of blue , green and brown ","shot in artful, watery tones of blue, green, and brown.",72.72454093000138,0,0,0,0,0
an unorthodox little film noir organized crime story that includes one of the strangest ,a unorthodox lil film noir organized crime story that include one of the strangest,54.45178846139407,0,0,0,0,1
considerable aplomb ,mad skills,0.0,1,1,1,1,1
acted by diane lane and richard gere . ,played by diane lane and richard gere.,84.08964152537145,0,0,0,0,0
scant ,they ain't much,0.0,1,1,1,1,1
an admittedly middling film ,a film that's kinda average,10.682175159905848,0,1,1,1,1
too ludicrous ,too crazy,49.99999999999999,0,0,0,1,1
the rock 's fighting skills are more in line with steven seagal ,the rock's fighting skills more like steven seagal's,8.423555525647696,1,1,1,1,1
rich and full ,rich and full,100.00000000000004,0,0,0,0,0
"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ","warm water under a red bridge is a celebration of feminine energy, a tribute to the power of women to heal.",100.00000000000004,0,0,0,0,0
"that uses a sensational , real-life 19th-century crime as a metaphor for ","dat use a sensational, real-life 19th-century crime as a metaphor fo'",71.02992180127417,0,0,0,0,0
", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",", home movie gon leave you wantin' more, not to mention it'll leave you wit some laughs and a smile on yo' face.",42.47308378316168,0,0,0,1,1
", the film retains ambiguities that make it well worth watching . ",", the film keep ambiguities that make it well worth watching.",73.48889200874659,0,0,0,0,0
ultra-cheesy dialogue ,super cheesy talk,0.0,1,1,1,1,1
added depth and resonance ,added depth and resonance,100.00000000000004,0,0,0,0,0
the sensational ,translation goes here,0.0,1,1,1,1,1
handsome but unfulfilling suspense drama ,fine but it ain't hittin' suspense drama,14.535768424205482,0,1,1,1,1
's not very good either . ,ain't that good neither.,10.400597689005304,0,1,1,1,1
in her most charmless ,in her least charming,31.947155212313625,0,0,0,1,1
makes an unusual but pleasantly haunting debut behind the camera . ,make a unusual but pleasantly haunting debut behind the camera.,78.60753021519781,0,0,0,0,0
the cast is spot on and ,the cast on point and,20.80119537801062,0,0,1,1,1
ugly digital video ,ugly digital video,100.00000000000004,0,0,0,0,0
rather choppy ,kinda bumpy,0.0,1,1,1,1,1
becomes one more dumb high school comedy about sex gags and prom dates ,turn into anotha basic high school comedy 'bout sex jokes an' prom dates,15.133218633429316,0,1,1,1,1
demands and receives excellent performances ,demand and get excellent performances,23.643540225079384,0,0,1,1,1
"xxx is a blast of adrenalin , ","xxx be a blast of adrenalin,",64.34588841607616,0,0,0,0,1
pure escapism ,just gettin' away from it all,0.0,1,1,1,1,1
create a film that 's not merely about kicking undead *** ,make a movie that ain't just 'bout kickin' undead ***.,21.401603033752977,0,0,1,1,1
about love and culture ,bout love and culture,59.460355750136046,0,0,0,0,1
is worse : ,it's worse in aave would be it's worse.,4.767707020457095,1,1,1,1,1
horrifying ,terrifyin',0.0,1,1,1,1,1
mourns her tragedies in private ,grieve her tragedies in private,66.87403049764218,0,0,0,0,1
the action scenes are poorly delivered ,de action scenes ain't delivered right,17.965205598154213,0,1,1,1,1
it 's so bad ,it so bad,45.13864405503391,0,0,0,1,1
so bad ,i ain't even playin',0.0,1,1,1,1,1
", 84 minutes is short ",84 minutes be short,27.534765745159184,0,0,1,1,1
"dabbles all around , never gaining much momentum ","be dabblin' all around, never really catchin' no speed",26.269098944241588,0,0,1,1,1
a masterpiece ,a masterpiece in aave remains a masterpiece.,11.044795567078939,0,1,1,1,1
"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ","a lot to do with casting juliette binoche as sand, who bring to the role her pale, dark beauty and characteristic warmth",71.08856094487672,0,0,0,0,0
does n't leave you with much . ,ain't leave you with much.,64.31870218238025,0,0,0,0,1
good acting ,good actin',49.99999999999999,0,0,0,1,1
"like most of jaglom 's films , some of it is honestly affecting ","like most of jaglom's movies, some parts really hit you.",14.583776460856356,0,1,1,1,1
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ","marivaux's rhythms, and mira sorvino's limitations as a classical actress",49.00202456162331,0,0,0,1,1
is less successful on other levels ,ain't doin' as good in other ways,6.567274736060395,1,1,1,1,1
's still quite worth seeing ,it still worth seein',14.794015674776452,0,1,1,1,1
intelligent and moving . ,smart and touching.,18.99589214128981,0,1,1,1,1
he appears miserable throughout as he swaggers through his scenes ,he look miserable the whole time as he strut through his scenes.,15.727800941615351,0,1,1,1,1
men ,"i'm sorry, but it seems like there might have been a mistake in your request. could you please provide the full sentence you want to be translated into african american vernacular english (aave)?",0.0,1,1,1,1,1
accomplish what few sequels can ,do what few sequels can,66.87403049764218,0,0,0,0,1
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ","a clunky tv-movie way of showin' a chapter in the life of the celebrated irish playwright, poet and drinker",74.83293841345241,0,0,0,0,0
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","ion know which half of dragonfly worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",37.614350791262964,0,0,0,1,1
"exhilarating , funny and fun . ","'exhilarating, funny, and fun.'",25.848657697858535,0,0,1,1,1
bound to appeal to women looking for a howlingly trashy time ,"gon' catch the eye of women lookin' for a wild, trashy time",9.238430210261097,1,1,1,1,1
", it never quite makes the grade as tawdry trash . ",it ain't really hit the mark as no tawdry trash.,16.59038701421971,0,1,1,1,1
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,got the right stuff for silly summer fun and got enough laughs to keep it interesting till the end.,36.68498416409449,0,0,0,1,1
"endearing , caring ","charmin', carin'",27.516060407455225,0,0,1,1,1
"seagal , who looks more like danny aiello these days ","seagal, who lookin' more like danny aiello these days.",58.77283725105324,0,0,0,0,1
"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ","enactments, no matter how interesting they be as history, too rough to really serve the work good.",21.180085482357107,0,0,1,1,1
"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ","not errything in this big comic escapade work, but coppola, along wit his sister, sofia, they some real filmmakers.",35.02979072560522,0,0,0,1,1
the dehumanizing and ego-destroying process ,the dehumanizing and ego-destroying process,100.00000000000004,0,0,0,0,0
taboo subject matter ,stuff we don't talk 'bout,0.0,1,1,1,1,1
see this ,look at this,27.516060407455225,0,0,1,1,1
utterly incompetent conclusion ,completely wack conclusion,27.516060407455225,0,0,1,1,1
run for cover ,run for cover in aave can be translated as head for cover,12.605968092174914,0,1,1,1,1
low budget ,low budget,100.00000000000004,0,0,0,0,0
a deceptively casual ode ,a slick chill tribute,15.97357760615681,0,1,1,1,1
"walked out muttering words like `` horrible '' and `` terrible , '' ",walked out mutterin' words like horrible and terrible,7.489011889586211,1,1,1,1,1
help chicago make the transition from stage to screen with considerable appeal intact ,help chicago switch from stage to screen and still keep its charm.,22.997519112894437,0,0,1,1,1
you have ellen pompeo sitting next to you for the ride ,you got ellen pompeo sittin' next to you for the ride,53.48259312838876,0,0,0,0,1
a giant step backward ,a big step back,18.99589214128981,0,1,1,1,1
true fans ,real fans,49.99999999999999,0,0,0,1,1
just copies ,jus' copies,49.99999999999999,0,0,0,1,1
quite rich and exciting ,real rich and hype,31.947155212313625,0,0,0,1,1
luminous interviews and amazingly evocative film from three decades ago ,luminous interviews and amazingly evocative film from three decades ago,100.00000000000004,0,0,0,0,0
"from lynch , jeunet , and von trier while failing to find a spark of its own ","from lynch, jeunet, and von trier but ain't find no spark of its own",57.754002174538684,0,0,0,0,1
", you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",you can't help but get caught up in the thrill of the company's astonishing growth.,56.91338869128832,0,0,0,0,1
this frozen tundra soap opera ,dis frozen tundra soap opera,66.87403049764218,0,0,0,0,1
a showdown ,a throwdown,49.99999999999999,0,0,0,1,1
is simply too overdone ,just too much,19.716118825581447,0,1,1,1,1
greatly ,i ain't understand what you want translated. could you give me a full sentence?,0.0,1,1,1,1,1
free ,free,100.00000000000004,0,0,0,0,0
intriguing species ,intriguing species,100.00000000000004,0,0,0,0,0
try and evade ,try and dodge,55.03212081491043,0,0,0,0,1
"scherfig , who has had a successful career in tv ","scherfig, who been successful in tv",20.95871245288356,0,0,1,1,1
watching it leaves you giddy ,watchin' it leave you feelin' giddy,10.682175159905853,0,1,1,1,1
"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ","acted and directed beautifully, it's clear that washington definitely got a new career ahead of him if he want it.",42.081730024361235,0,0,0,1,1
far tamer ,way mo' tame,0.0,1,1,1,1,1
outrageously creative action ,wild creative moves,27.516060407455225,0,0,1,1,1
the most purely enjoyable and satisfying evenings ,the most purely enjoyable and satisfying evenings,100.00000000000004,0,0,0,0,0
is never any question of how things will turn out ,ain't never no question 'bout how things gon' turn out,13.134549472120794,0,1,1,1,1
only open new wounds ,only open new wounds,100.00000000000004,0,0,0,0,0
despite suffering a sense-of-humour failure ,even though they lost they sense of humor,0.0,1,1,1,1,1
for a story ,fo' a story,55.03212081491043,0,0,0,0,1
in addition to hoffman 's powerful acting clinic ,on top of hoffman's strong actin' clinic,5.693025330278465,1,1,1,1,1
right stuff ,right stuff,100.00000000000004,0,0,0,0,0
the wonderful cinematography and naturalistic acting ,the bomb cinematography and naturalistic acting,53.7284965911771,0,0,0,0,1
high-concept films ,high-concept films,100.00000000000004,0,0,0,0,0
sleepwalk through vulgarities in a sequel you can refuse ,sleepwalk through vulgarities in a sequel you can refuse,100.00000000000004,0,0,0,0,0
with no reason for being ,fo no reason,28.254432923044853,0,0,1,1,1
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ","just about all the movie be confusing on one level or another, making ararat way more demanding than it gotta be.",49.87469235227204,0,0,0,1,1
"invigorating , surreal , and resonant ","invigorating, surreal, and resonant",100.00000000000004,0,0,0,0,0
"the chateau , a sense of light-heartedness , that makes it attractive throughout ","the chateau, a vibe of light-heartedness, that make it attractive all around",39.07380249452502,0,0,0,1,1
have a passion for the material ,really dig the material,19.37692912686648,0,1,1,1,1
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ","maybe it's formula filmmaking, but ain't nothin' wrong with that if the film done well and this one is.",47.12414881448741,0,0,0,1,1
a movie that ca n't get sufficient distance from leroy 's ,a movie that can't get enough distance from leroy's,18.70274255449444,0,1,1,1,1
romanticized rendering ,romanticized rendering: romanticized version,21.3643503198117,0,0,1,1,1
is terrific as rachel ,be bomb as rachel,31.947155212313625,0,0,0,1,1
of special effects that run the gamut from cheesy to cheesier to cheesiest ,of special effects that go from cheesy to cheesier to cheesiest,58.50343668259105,0,0,0,0,1
the worst film a man has made about women since valley of the dolls ,the worst movie a dude done made 'bout women since valley of the dolls,41.60751652217844,0,0,0,1,1
"come , already having been recycled more times than i 'd care to count ","come, already been recycled more times than i care to count",53.83782932322528,0,0,0,0,1
with awe ,wit amazement,0.0,1,1,1,1,1
joyous romp of a film . ,joyful film.,20.24518585186855,0,0,1,1,1
a nonstop hoot ,a nonstop hoot,100.00000000000004,0,0,0,0,0
", partisans and sabotage ",", partisans and sabotage",100.00000000000004,0,0,0,0,0
gory as the scenes of torture and self-mutilation ,gory as dem torture scenes an self-mutilation,14.31720073264775,0,1,1,1,1
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,just like that new argentine movie son of the bride reminded us that a feel-good movie can still show real heart,71.30279264133222,0,0,0,0,0
"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . ","ub equally spoofs and celebrates the more outre aspects of `black culture' and the dorkier aspects of `white culture,' even as it points out how inseparable the two are.",89.4354815176127,0,0,0,0,0
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,the package this fascinating -- and timely -- content come in be disappointingly generic.,47.35407652832257,0,0,0,1,1
"this obscenely bad dark comedy , so crass ","dis mad bad dark comedy, so crass",68.037493331712,0,0,0,0,1
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation ,naomi watts killin' it as rachel; her small self and vulnerable vibe really showin' her struggles and loneliness.,17.12473044894657,0,1,1,1,1
exciting and ,excitin' and,49.99999999999999,0,0,0,1,1
schticky ,translation goes here,0.0,1,1,1,1,1
and in the best way ,an in the best way,66.87403049764218,0,0,0,0,1
of our most flamboyant female comics ,of our most flamboyant female comics,100.00000000000004,0,0,0,0,0
squareness that would make it the darling of many a kids-and-family-oriented cable channel ,squareness that would make it the favorite of a lot of kids-and-family-oriented cable channels,41.60751652217844,0,0,0,1,1
this film special ,dis movie special,27.516060407455225,0,0,1,1,1
of the amazing spider-man ,of the amazing spider-man,100.00000000000004,0,0,0,0,0
the stomach-turning violence ,the gut-wrenchin' violence,34.66806371753173,0,0,0,1,1
could use a little more humanity ,could use a lil more humanity,37.99178428257963,0,0,0,1,1
not everything ,not errythang,49.99999999999999,0,0,0,1,1
a slow-moving police-procedural thriller ,a slow-rollin' police-procedural thriller,35.35533905932737,0,0,0,1,1
a bad idea from frame one ,a bad idea from the jump,50.81327481546149,0,0,0,0,1
"terrific , sweaty-palmed fun ","terrific, sweaty-palmed fun",100.00000000000004,0,0,0,0,0
very funny joke ,real funny joke,55.03212081491043,0,0,0,0,1
volletta wallace 's maternal fury ,volletta wallace's mama rage,12.44023474812678,0,1,1,1,1
complex story ,complicated story,49.99999999999999,0,0,0,1,1
atop wooden dialogue ,'on top of wooden dialogue',10.682175159905848,0,1,1,1,1
that it progresses in such a low-key manner that it risks monotony ,it go on so low-key it might get boring,4.4959869933858485,1,1,1,1,1
be burns 's strongest film since the brothers mcmullen ,be burns' best movie since the brothers mcmullen,32.260135189272866,0,0,0,1,1
ca n't miss it ,can't miss it,39.43223765116288,0,0,0,1,1
dover kosashvili 's outstanding feature debut so potent ,dover kosashvili's outstanding feature debut so potent,55.780028607687655,0,0,0,0,1
of the best short story writing ,of the best short story writin',75.98356856515926,0,0,0,0,0
it seeks excitement in manufactured high drama ,it be lookin' for excitement in made-up high drama.,12.549310621989482,0,1,1,1,1
feeble comedy . ,weak comedy.,55.03212081491043,0,0,0,0,1
an insult to every family ,a diss to erry family,12.703318703865365,0,1,1,1,1
it is essentially empty ,it basically empty,24.840753130578644,0,0,1,1,1
of the film 's problems ,of the film's problems,27.534765745159184,0,0,1,1,1
makes my big fat greek wedding look like an apartheid drama ,make my big fat greek wedding look like an apartheid drama,89.31539818068698,0,0,0,0,0
is not even half the interest . ,ain't even half the interest.,64.31870218238025,0,0,0,0,1
never achieve the popularity of my big fat greek wedding ,ain't neva get as popular as my big fat greek wedding,35.08439695638686,0,0,0,1,1
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era ,``auto focus'' work as a odd biopic and document of male swingers in the playboy era,57.030171725674585,0,0,0,0,1
"right now , they 're merely signposts marking the slow , lingering death of imagination . ","right now, they just signposts markin' the slow, lingerin' death of imagination.",38.70605144677149,0,0,0,1,1
appealing character quirks to forgive that still serious problem ,appealin' character quirks to forgive that still serious problem,86.33400213704509,0,0,0,0,0
"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ","often stay just as long on the irrelevant as on the engaging, which slowly turn 'what time is it there?'",65.28674230372313,0,0,0,0,1
the energy it takes to describe how bad it is ,the energy it take to describe how bad it be,52.53819788848316,0,0,0,0,1
wait to see it then . ,wait to see it then . in aave would be wait to see it den.,30.130404892785695,0,0,0,1,1
could easily be called the best korean film of 2002 ,could easily be called the best korean film of 2002,100.00000000000004,0,0,0,0,0
largest-ever historical canvas ,biggest-ever historical canvas,55.03212081491043,0,0,0,0,1
"a solid cast , assured direction and complete lack of modern day irony . ","a solid cast, sure direction, and no modern day irony.",37.868117902707674,0,0,0,1,1
comatose ballerinas ,comatose ballerinas,100.00000000000004,0,0,0,0,0
oh-so-important ,all-important,0.0,1,1,1,1,1
"of the road , where the thematic ironies are too obvious and the sexual politics too smug ","off the road, where the thematic ironies too obvious and the sexual politics too smug",76.59552353576204,0,0,0,0,0
formulaic equations ,formulaic equations,100.00000000000004,0,0,0,0,0
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ","it's a work that, with humor, warmth, and smarts, capture a life lived interestingly",58.154945687986114,0,0,0,0,1
deserve a passing grade ,deserve a passin' grade,35.35533905932737,0,0,0,1,1
you 're gon na like this movie . ,you gon' like this movie.,38.49815007763549,0,0,0,1,1
"simply stupid , irrelevant ","just dumb, don't matter",10.682175159905848,0,1,1,1,1
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise.,100.00000000000004,0,0,0,0,0
a heavy-handed indictment of parental failings and ,a heavy-handed indictment of how parents be failin' and,31.55984539112946,0,0,0,1,1
felt performances across the board . ,performances was fire all around.,9.652434877402245,1,1,1,1,1
seem weird and distanced ,seem weird and distanced,100.00000000000004,0,0,0,0,0
has finally made a movie that is n't just offensive ,done finally made a movie that ain't just offensive,45.93613320783059,0,0,0,1,1
casual and fun ,chill and fun,55.03212081491043,0,0,0,0,1
plodding mess ,draggin' mess,49.99999999999999,0,0,0,1,1
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ","da weird thing 'bout da santa clause 2, supposedly a kids' movie, is dat ain't nothin' in it dat engage kids emotionally.",17.129970885683154,0,1,1,1,1
the film 's intimate camera work ,the film's intimate camera work,34.98330125272253,0,0,0,1,1
you 'll find yourself wishing that you and they were in another movie . ,you gon' wish you and them was in a different movie.,8.972971553870872,1,1,1,1,1
of dishonesty ,of bein' dishonest,27.516060407455225,0,0,1,1,1
as bestial ,as triflin',49.99999999999999,0,0,0,1,1
"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ","it's a loose bunch of not-so-funny jokes, scattered times of lazy humor",16.315552045943345,0,1,1,1,1
", they prove more distressing than suspenseful . ",", they be more distressing than suspenseful.",59.4603557501361,0,0,0,0,1
crackles ,crackles ain't got no direct translation or change when going to aave; it stays as crackles.,2.1476912089159055,1,1,1,1,1
a fairly revealing study of its two main characters ,a pretty revealing study of its two main characters,75.06238537503395,0,0,0,0,0
"high drama , disney-style ","high drama, disney-style",100.00000000000004,0,0,0,0,0
"may be more genial than ingenious , but it gets the job done . ","might be more friendly than clever, but it get the job done.",29.420957081163703,0,0,1,1,1
", good action , good acting , good dialogue , good pace , good cinematography . ","good action, good acting, good dialogue, good pace, good cinematography.",93.55069850316181,0,0,0,0,0
her bully of a husband ,her triflin' husband,17.799177396293473,0,1,1,1,1
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,gaghan done threw every suspenseful cliché in the book at this nonsensical story.,62.50345184492804,0,0,0,0,1
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,the darker parts of hatin' on women and random violence be chokin' out the light them two daughters brought,6.809398432036521,1,1,1,1,1
"oozing , chilling and heart-warming ","oozing, chillin' and heart-warming",30.213753973567677,0,0,0,1,1
stale retread ,stale retread,100.00000000000004,0,0,0,0,0
filming the teeming life on the reefs ,filmin' the busy life on the reefs,43.47208719449914,0,0,0,1,1
an already thin story boils down to surviving invaders seeking an existent anti-virus . ,a thin story come down to survivors lookin' for a virus cure that's already out there.,7.158561577277536,1,1,1,1,1
quite endearing . ,real cute.,27.516060407455225,0,0,1,1,1
with fewer gags to break the tedium ,wit less jokes to break up the dullness,12.22307556087252,0,1,1,1,1
overbearing and ,too much,0.0,1,1,1,1,1
deep deceptions ,deep deceptions,100.00000000000004,0,0,0,0,0
things will turn out okay ,it's gon' be aight.,0.0,1,1,1,1,1
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural ,the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural,100.00000000000004,0,0,0,0,0
grand ,"sentence to translate:
where are you going?",0.0,1,1,1,1,1
good-natured fun found in films like tremors ,good-natured fun found in films like tremors.,84.08964152537145,0,0,0,0,0
betters it ,it betta,49.99999999999999,0,0,0,1,1
transfixes the audience ,got the audience hooked,31.947155212313625,0,0,0,1,1
moving and important ,deep and heavy,27.516060407455225,0,0,1,1,1
dope ,dope,100.00000000000004,0,0,0,0,0
an avid interest ,real keen on,0.0,1,1,1,1,1
"blessed with two fine , nuanced lead performances ","blessed with two fine, nuanced lead performances",100.00000000000004,0,0,0,0,0
true star ,real one,0.0,1,1,1,1,1
"hampered -- no , paralyzed -- by a self-indulgent script ... ","held back -- nah, can't even move -- cuz of a self-indulgent script ...",31.18181497809656,0,0,0,1,1
which nurses plot holes gaping enough to pilot an entire olympic swim team through ,which nurses plot holes big enough to drive a whole olympic swim team through,39.07380249452502,0,0,0,1,1
that 's both charming and well acted ,dat's both charming and well acted,64.31870218238025,0,0,0,0,1
a bad blend ,a messed up mix,15.97357760615681,0,1,1,1,1
the guy-in-a-dress genre ,the dude-in-a-dress type,27.516060407455225,0,0,1,1,1
director claude chabrol has become the master of innuendo . ,director claude chabrol done became the master of innuendo.,52.53819788848316,0,0,0,0,1
riveting and ,translation goes here,0.0,1,1,1,1,1
excruciatingly unfunny and pitifully unromantic . ,painfully unfunny and sadly unromantic.,22.957488466614336,0,0,1,1,1
war movies ,war movies,100.00000000000004,0,0,0,0,0
an inuit masterpiece ,dat's an inuit masterpiece,59.460355750136046,0,0,0,0,1
oscar ,translation goes here,0.0,1,1,1,1,1
the cliché-laden screenplay ,the cliché-filled script,27.516060407455225,0,0,1,1,1
"girlfriends are bad , wives are worse ","girlfriends bad, wives worse.",29.05925408079185,0,0,1,1,1
provide much more insight ,give a lot more insight,21.3643503198117,0,0,1,1,1
", and as easy to be bored by as your abc 's , ",", and as easy to get bored wit as yo abc's,",32.80424072511114,0,0,0,1,1
what you wish for ,what you wishin' for?,23.643540225079384,0,0,1,1,1
fluid and mesmerizing ,smooth and hypnotizing,27.516060407455225,0,0,1,1,1
"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . ","... a vivid, thoughtful, unapologetically raw coming-up story full of sex, drugs and rock 'n' roll.",82.32490471721698,0,0,0,0,0
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ","it's a testament to the movie's big charm that it still entertain, even though it be playin' out like a long sitcom full of them typical family problems.",15.62468443062738,0,1,1,1,1
ransacks ,tear up,0.0,1,1,1,1,1
lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,ain't got the charisma or skills to carry the movie on his admittedly broad shoulders.,41.69392927528885,0,0,0,1,1
book report ,book report,100.00000000000004,0,0,0,0,0
leave the theater ,leave out the theater,35.35533905932737,0,0,0,1,1
spousal abuse ,partner mistreatment,0.0,1,1,1,1,1
"the director , with his fake backdrops and stately pacing , ","the director, wit his fake backdrops and stately pacing,",70.16879391277372,0,0,0,0,0
a diverse and astonishingly articulate cast of palestinian and israeli children . ,a diverse and astonishingly articulate group of palestinian and israeli kids.,54.52469119630866,0,0,0,0,1
anyone who suffers through this film ,anybody who sit through this movie,17.965205598154213,0,1,1,1,1
one carried by a strong sense of humanism ,one driven by a strong sense of humanism,70.71067811865478,0,0,0,0,0
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ","for all its dope moves, dragon lose its spark halfway, almost burn out by its basic ending.",14.747364570390475,0,1,1,1,1
another entertaining romp from robert rodriguez . ,another entertaining romp from robert rodriguez.,100.00000000000004,0,0,0,0,0
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . ","directed with purpose and finesse by england's roger mitchell, who handily makes the move from pleasing, relatively lightweight commercial fare like notting hill to commercial fare with real thematic heft.",78.58922558756598,0,0,0,0,0
it 'll probably be in video stores by christmas ,it prolly gon' be in video stores by christmas.,53.7284965911771,0,0,0,0,1
"funny , triumphant , ","funny, triumphant",71.65313105737896,0,0,0,0,0
underachiever ,underachiever,100.00000000000004,0,0,0,0,0
a film of ideas and wry comic mayhem ,a movie fulla thoughts and slick funny chaos,6.567274736060395,1,1,1,1,1
of moviegoers for real characters and compelling plots ,of folks watchin' movies for real characters and dope stories,27.77619034011791,0,0,1,1,1
dime-store ruminations ,cheap thoughts,0.0,1,1,1,1,1
worth a ,i wanted to buy a house should be translated to i wanted to cop a crib.,2.2869567780619007,1,1,1,1,1
", reality shows -- reality shows for god 's sake ! ",reality shows -- reality shows fo' god's sake!,41.10545805678901,0,0,0,1,1
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ","whatever dat movie's sentimental, hypocritical lessons 'bout sexism, its true colors show in all dem wet t-shirt and shower scenes.",45.685003363733905,0,0,0,1,1
'll cry for your money back ,finna cry fo' yo money back.,14.535768424205482,0,1,1,1,1
enthralling ,captivatin',0.0,1,1,1,1,1
"is worse : the part where nothing 's happening , or the part where something 's happening ","is worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",49.85534744113639,0,0,0,1,1
"like max rothman 's future , does not work . ","like max rothman's future, don't work.",14.898573527259417,0,1,1,1,1
of quirky characters and an engaging story ,of quirky characters and a engaging story,48.892302243490086,0,0,0,1,1
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ","got that thrown-together vibe like a summer-camp talent show: written in a hurry, ain't practiced enough, plot don't make no sense and",16.76784955078518,0,1,1,1,1
"making kahlo 's art a living , ","makin' kahlo's art a livin',",15.207218222740094,0,1,1,1,1
bad run ,rough patch,0.0,1,1,1,1,1
may just end up trying to drown yourself in a lake afterwards . ,might mess around and try to drown yo'self in a lake afterwards.,33.260249505555045,0,0,0,1,1
many pleasures ,lotsa joys,0.0,1,1,1,1,1
is worth searching out ,worth lookin' fo,19.716118825581447,0,1,1,1,1
"at this time , with this cast , this movie is hopeless ","right now, wit dis cast, dis movie ain't gon' work",8.054496384843702,1,1,1,1,1
time bombs ,time bombs,100.00000000000004,0,0,0,0,0
balances both traditional or modern stories together in a manner that one never overwhelms the other . ,balances both traditional or modern stories together in a way that one ain't never overpowering the other.,57.30574043798692,0,0,0,0,1
the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ,the extra actin' can't make up for the weak characters and simple situations,7.768562846380176,1,1,1,1,1
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ","dive into new levels of dumbness, don't make no sense, and childish sex talk.",3.2342452920962157,1,1,1,1,1
a sour taste in one 's mouth ,a sour taste in yo mouth,45.48019047027906,0,0,0,1,1
decent performance ,aight performance,49.99999999999999,0,0,0,1,1
"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ","... familiar and predictable, and 4/5ths of it might as well have come from a xerox machine rather than (writer-director) franc.",100.00000000000004,0,0,0,0,0
"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . ","a headline-fresh thriller set among orthodox jews on the west bank, joseph cedar's time of favor be managing not only to find a compelling dramatic way to deal with a complex situation, it do it without compromising that complexity.",61.429734983638866,0,0,0,0,1
