Premise Reference,Premise Hypothesis,Choice1 Reference,Choice1 Hypothesis,Choice2 Reference,Choice2 Hypothesis,Premise BLEU_score,Choice1 BLEU_score,Choice2 BLEU_score,Premise BLEU_score_under_10,Premise BLEU_score_under_20,Premise BLEU_score_under_30,Premise BLEU_score_under_50,Premise BLEU_score_under_70,Choice1 BLEU_score_under_10,Choice1 BLEU_score_under_20,Choice1 BLEU_score_under_30,Choice1 BLEU_score_under_50,Choice1 BLEU_score_under_70,Choice2 BLEU_score_under_10,Choice2 BLEU_score_under_20,Choice2 BLEU_score_under_30,Choice2 BLEU_score_under_50,Choice2 BLEU_score_under_70
the physician misdiagnosed the patient.,the doctor got it wrong with the patient.,the patient filed a malpractice lawsuit against the physician.,the patient filed a malpractice lawsuit against the doctor.,the patient disclosed confidential information to the physician.,the patient told the doctor some private stuff.,19.070828081828378,78.25422900366438,11.339582221952005,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
the customer filed a complaint with the store manager.,the customer filed a complaint with the store manager.,the sales associate undercharged the customer.,the sales associate undercharged the customer.,the sales associate acted rude to the customer.,the sales associate was actin' rude to the customer.,100.00000000000004,100.00000000000004,52.53819788848316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the woman repaired her faucet.,the woman fixed her faucet.,the faucet was leaky.,da faucet was leakin'.,the faucet was turned off.,dey turned off da faucet.,37.99178428257963,23.643540225079384,19.304869754804482,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1
the elderly woman suffered a stroke.,da old lady had a stroke.,the woman's daughter came over to clean her house.,the woman's daughter came over to clean her house.,the woman's daughter moved in to take care of her.,da woman's daughter moved in to look after her.,24.446151121745054,100.00000000000004,40.88064519392259,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
the pond froze over for the winter.,da pond froze over fo' da winter.,people skated on the pond.,folks was skatin' on the pond.,people brought boats to the pond.,folks brought boats to the pond.,25.848657697858535,41.11336169005198,80.91067115702207,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
the offender violated parole.,the offender broke parole.,she was sent back to jail.,she got sent back to jail.,she stole money from a church.,she stole money from a church.,30.213753973567677,64.34588841607616,100.00000000000004,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
i poured water on my sleeping friend.,i poured water on my sleepin' friend.,my friend awoke.,my friend woke up.,my friend snored.,my friend was snorin'.,59.4603557501361,23.643540225079384,23.643540225079384,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1
the girl gasped.,the girl caught her breath.,her friend stuck an ice cube down her back.,her friend slipped an ice cube down her back.,her friend gave her a pat on the back.,her friend gave her a pat on the back.,17.965205598154213,70.71067811865478,100.00000000000004,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
the shirt shrunk.,da shirt shrunk.,i poured bleach on it.,i poured some bleach on it.,i put it in the dryer.,i put it in the dryer.,59.460355750136046,48.892302243490086,100.00000000000004,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
it got dark outside.,it got dark outside.,snowflakes began to fall from the sky.,snowflakes started fallin' from the sky.,the moon became visible in the sky.,the moon showed up in the sky.,100.00000000000004,37.68499164492418,41.11336169005198,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
i hung up the phone.,i hung up da phone.,the caller said goodbye to me.,da caller said bye to me.,the caller identified himself to me.,the caller told me who he was.,37.99178428257963,30.739407647563215,13.134549472120788,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1
the woman's ring slipped off in the shower.,dat woman's ring slipped off in the shower.,the woman polished the ring.,the woman polished the ring.,the ring went down the drain.,the ring went down the drain.,86.33400213704509,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the girl received a trophy.,the girl got a trophy.,she won a spelling bee.,she won a spelling bee.,she made a new friend.,she made a new homie.,37.99178428257963,100.00000000000004,53.7284965911771,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
the woman's date wanted to look like a gentleman.,her date was tryna look like a gentleman.,he opened the door for her.,he opened the door for her.,he asked her if she liked sushi.,he axed her if she liked sushi.,41.80134288483487,100.00000000000004,70.71067811865478,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the farmland needed irrigation.,da farmland needed irrigation.,a canal was constructed.,they built a canal.,a flood occurred.,it flooded.,66.87403049764218,23.643540225079384,19.716118825581447,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1
the host cancelled the party.,the host called off the party.,she was certain she had the flu.,she sho she had the flu.,she worried she would catch the flu.,she worried she gon' catch the flu.,30.739407647563215,55.780028607687655,50.000000000000014,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
the woman gave the man her phone number.,the woman gave the man her digits.,she was attracted to him.,she was feelin' him.,she was repulsed by him.,she was grossed out by him.,62.401954419369176,24.736929544091932,30.739407647563215,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
the skydiver glided safely to the ground.,the skydiver floated on down to the ground safe.,she opened her parachute.,she opened her parachute.,she jumped out of the plane.,she jumped out the plane.,20.556680845025987,100.00000000000004,43.01250851313264,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
the toddler became cranky.,dat toddler got cranky.,her mother put her down for a nap.,her mama laid her down for a nap.,her mother fixed her hair into pigtails.,her mama did her hair up in pigtails.,23.643540225079384,61.04735835807847,14.25876976452075,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1
the child became immune to the disease.,the child got immune to the disease.,he avoided exposure to the disease.,he stayed away from catchin' that disease.,he received the vaccine for the disease.,he got the vaccine for the disease.,59.4603557501361,12.22307556087252,70.71067811865478,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
the grape juice fermented.,da grape juice done fermented.,the juice turned to wine.,da juice turned to wine.,the juice evaporated.,da juice done evaporated.,22.957488466614336,75.98356856515926,23.643540225079384,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
the friends' debate dragged on interminably.,dem friends' debate just kept goin' on and on.,the friends saw eye to eye.,the friends was on the same page.,the friends were splitting hairs.,dem friends was nitpickin'.,9.980099403873663,12.22307556087252,10.400597689005304,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
the woman hummed to herself.,the woman was humming to herself.,she was nervous.,she was nervous.,she was in a good mood.,she was feelin' good.,30.739407647563215,100.00000000000004,17.030578356760866,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
the man hated his new haircut.,dat man hated his new haircut.,he wore a hat.,he had a hat on.,he grew a beard.,he grew out his beard.,80.91067115702207,19.304869754804482,22.957488466614336,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
the police aimed their weapons at the fugitive.,the police pointed they guns at the fugitive.,the fugitive fell to the ground.,the fugitive hit the ground.,the fugitive dropped his gun.,the fugitive dropped his gun.,35.49481056010054,32.159351091190125,100.00000000000004,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
the patient was dehydrated.,the patient was dehydrated.,the nurse tested his reflexes.,the nurse checked his reflexes.,the nurse gave him an iv.,the nurse gave him an iv.,100.00000000000004,37.99178428257963,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the girl found the missing puzzle piece.,the girl found the missin' puzzle piece.,she completed the puzzle.,she finished the puzzle.,she took apart the puzzle.,she took apart the puzzle.,50.000000000000014,42.72870063962342,100.00000000000004,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
the man urgently leaped out of bed.,the man hurried up and jumped outta bed.,he wanted to shut off the alarm clock.,he wanted to turn off the alarm clock.,he wanted to iron his pants before work.,he wanted to press his pants 'fore work.,13.485111859503691,59.694917920196445,26.084743001221455,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
the papers were disorganized.,dem papers was all over the place.,i made photocopies of them.,i made copies of 'em.,i put them into alphabetical order.,i put 'em in alphabetical order.,7.267884212102741,19.304869754804482,30.739407647563215,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1
the woman won the lottery.,the woman hit the jackpot.,she bought a yacht.,she bought a yacht.,she joined a church.,she joined a church.,19.304869754804482,100.00000000000004,100.00000000000004,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
the seamstress pushed the threaded needle into the fabric.,the seamstress pushed the threaded needle into the fabric.,the thread wrapped around the needle.,the thread wrapped 'round the needle.,the thread went through the fabric.,the thread went through the fabric.,100.00000000000004,41.11336169005196,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the woman hired a lawyer.,the woman got herself a lawyer.,she decided to sue her employer.,she decided to sue her boss.,she decided to run for office.,she decided to run for office.,30.739407647563215,64.34588841607616,100.00000000000004,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
the tenant misplaced his keys to his apartment.,the tenant lost his keys to his apartment.,his landlord unlocked the door.,his landlord unlocked the door.,his landlord repaired the door.,his landlord fixed the door.,66.06328636027612,100.00000000000004,37.99178428257963,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
my favorite song came on the radio.,my favorite song done came on the radio.,i covered my ears.,i covered my ears.,i sang along to it.,i sang along to it.,59.694917920196445,100.00000000000004,100.00000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the executive decided not to hire the applicant.,the executive decided not to hire the applicant.,the applicant failed a background check.,the applicant ain't pass the background check.,the applicant had experience for the job.,the applicant had 'sperience for the job.,100.00000000000004,25.848657697858535,50.000000000000014,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
the man's eye became infected.,da man's eye got infected.,he went blind.,he went blind.,he put on glasses.,he put on some glasses.,22.957488466614336,100.00000000000004,37.99178428257963,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
the bird couldn't fly.,dat bird couldn't fly.,it migrated for the winter.,it migrated for the winter.,it injured its wing.,it hurt its wing.,66.87403049764218,100.00000000000004,42.72870063962342,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
the girl made a wish.,the girl made a wish.,she saw a black cat.,she seen a black cat.,she saw a shooting star.,she seen a shootin' star.,100.00000000000004,53.7284965911771,19.304869754804482,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
the woman shivered as she got out the pool.,the woman shivered as she got out the pool.,she wrapped herself in a towel.,she wrapped herself up in a towel.,she poured herself some lemonade.,she poured herself some lemonade.,100.00000000000004,50.000000000000014,100.00000000000004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the nurse prepared the needle for the patient's injection.,the nurse got the needle ready for the patient's shot.,the patient bled.,the patient was bleedin'.,the patient tensed up.,the patient got tense.,21.200626759025184,23.643540225079384,23.643540225079384,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
the man threw out the bread.,the man threw out the bread.,it was fresh.,it was fresh.,it was stale.,it was stale.,100.00000000000004,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the children knocked over a lamp.,them kids knocked over a lamp.,they had a pillow fight.,they had a pillow fight.,they jumped on the bed.,they jumped on the bed.,61.47881529512643,100.00000000000004,100.00000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
i drank from the water fountain.,i sipped from the water fountain.,i was thirsty.,i was thirsty.,i felt nauseous.,i was feelin' sick.,64.34588841607616,100.00000000000004,12.703318703865365,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
the homeowners disliked their nosy neighbors.,the homeowners ain't like they nosy neighbors.,they built a fence around their property.,they put up a fence 'round they property.,they hosted a barbeque in their backyard.,they threw a bbq in they backyard.,25.848657697858535,14.25876976452075,13.888095170058955,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
the bodybuilder lifted weights.,the bodybuilder was liftin' weights.,the gym closed.,da gym closed.,her muscles became fatigued.,her muscles got tired.,22.957488466614336,59.460355750136046,23.643540225079384,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
the cook stirred the ingredients in the bowl.,the cook mixed up the stuff in the bowl.,the ingredients melted.,da ingredients melted.,the ingredients blended together.,the ingredients mixed together.,32.46679154750989,59.460355750136046,30.213753973567677,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
the man signed the document.,the man signed the document.,the transaction was voided.,they voided the transaction.,the transaction became official.,de transaction went through fo' real.,100.00000000000004,25.40663740773074,7.809849842300637,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
the police officer dropped the gun.,the police officer dropped the gun.,the gun recoiled.,da gun kicked back.,the gun went off.,the gun went off.,100.00000000000004,12.703318703865365,100.00000000000004,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
the woman felt compelled to help someone in need.,da woman felt like she had to help somebody in need.,she donated blood.,she gave blood.,she wrote a poem.,she wrote a poem.,18.52797255583095,35.35533905932737,100.00000000000004,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
the woman felt lonely.,dat woman was feelin' lonely.,she renovated her kitchen.,she fixed up her kitchen.,she adopted a cat.,she 'dopted a cat.,17.965205598154213,32.46679154750991,42.72870063962342,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
i rubbed sandpaper on the wood.,i rubbed sandpaper on the wood.,the wood became smooth.,da wood got smooth.,the wood became sticky.,da wood got sticky.,100.00000000000004,23.643540225079384,23.643540225079384,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
the crowd gave the band a standing ovation.,the crowd gave the band a standin' ovation.,the band signed autographs.,the band signed they autographs.,the band reappeared on the stage.,the band came back on the stage.,66.06328636027612,37.99178428257963,41.11336169005198,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
the man threw his empty can onto the street.,the man threw his empty can out on the street.,he was jumped from behind.,they jumped him from behind.,he was fined for littering.,he got fined for litterin'.,58.77283725105324,32.46679154750991,19.304869754804482,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
my stomach growled.,my stomach was growlin'.,i forgot to eat breakfast.,i forgot to eat breakfast.,i was full from breakfast.,i was full from breakfast.,23.643540225079384,100.00000000000004,100.00000000000004,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
the boaters set off a flare.,them boaters shot off a flare.,their boat drifted to shore.,dey boat drifted to shore.,their boat was rescued.,dey boat got rescued.,43.47208719449914,75.98356856515926,23.643540225079384,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
the man removed his coat.,the man took off his coat.,he entered the house.,he went up in the house.,he loosened his tie.,he loosened up his tie.,30.739407647563215,26.269098944241588,37.99178428257963,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1
the family took their dog to the veterinarian.,the family took they dog to the vet.,the dog chewed on a bone.,da dog chewed on a bone.,the dog injured his paw.,the dog hurt his paw.,31.02016197007,80.91067115702207,37.99178428257963,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
the woman dangled the biscuit above the dog.,the woman held the biscuit up over the dog.,the dog jumped up.,the dog jumped up.,the dog scratched its fur.,the dog scratched its fur.,22.957488466614326,100.00000000000004,100.00000000000004,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
i learned how to play the board game.,i learned how to play the board game.,my friend explained the rules to me.,my friend broke down the rules for me.,my friend got the rules wrong.,my friend got the rules messed up.,100.00000000000004,16.51582159006904,54.10822690539397,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
the man went away for the weekend.,the man dipped out for the weekend.,he wanted to relax.,he wanted to chill.,he felt content.,he felt good.,41.11336169005198,42.72870063962342,35.35533905932737,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
the shop was closed.,de shop was closed.,the owner was helping customers.,the owner was helpin' customers.,the shop was undergoing renovation.,the shop was gettin' fixed up.,66.87403049764218,37.99178428257963,26.269098944241588,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1
the boy tuned the radio.,the boy tuned the radio.,the station was playing rock music.,da station was playin' rock music.,the station was coming in with static.,the station was comin' in all staticky.,100.00000000000004,30.739407647563215,23.356898886410015,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
the terrorist set off the bomb.,the terrorist blew up the bomb.,the bomb exploded.,da bomb went off.,the bomb was deactivated.,dey turned off da bomb.,30.739407647563215,12.703318703865365,9.652434877402245,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
the police handcuffed the suspect.,the police cuffed up the suspect.,the police called for backup.,the police called for backup.,the suspect resisted arrest.,the suspect fought back 'gainst gettin' arrested.,30.739407647563215,100.00000000000004,12.22307556087252,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
the authorities vowed to protect the identity of the crime victim.,the authorities promised to keep the crime victim's identity safe.,the victim struggled to recall details about the crime.,da victim had trouble 'memberin' details 'bout da crime.,they withheld the victim's name from the public.,they ain't tell nobody the victim's name.,11.13260756993763,9.980099403873663,20.612390921238426,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
the man's clothes fit loosely.,da man's clothes fit loose.,he bought them on sale.,he copped them on sale.,he lost weight.,he lost some pounds.,32.46679154750991,53.7284965911771,23.643540225079384,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1
the clock stopped ticking.,the clock stopped ticking.,i took extra time to get ready.,i took extra time to fix up.,the clock showed the wrong time.,the clock was showin' the wrong time.,100.00000000000004,54.10822690539397,41.11336169005198,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
the man closed the umbrella.,the man closed the umbrella.,he got out of the car.,he got out the car.,he approached the building.,he walked up to the building.,100.00000000000004,43.01250851313264,26.269098944241588,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
the man craved a cigarette.,the man was fiendin' for a cigarette.,his family urged him to quit smoking.,his folks was pressin' him to quit smokin'.,he was addicted to nicotine.,he was hooked on nicotine.,25.848657697858535,20.164945583740657,22.957488466614336,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
the man dropped food on the floor.,da man dropped food on da floor.,his dog jumped up on him.,his dog jumped up on him.,his dog ran over to eat the food.,his dog ran over to eat the food.,41.11336169005198,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the girl was angry with her friend.,the girl was mad at her friend.,the girl spread a rumor about her friend.,the girl spread a rumor 'bout her friend.,the girl told a secret to her friend.,the girl told her friend a secret.,34.57207846419412,59.694917920196445,27.568673181924442,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1
the fugitive hid from the police.,the fugitive was hidin' from the police.,the police dropped the case.,the police dropped the case.,the fugitive remained at large.,the fugitive still on the run.,41.11336169005198,100.00000000000004,14.535768424205482,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
i tipped the bottle.,i tipped the bottle.,the liquid in the bottle froze.,da liquid in da bottle froze.,the liquid in the bottle poured out.,da liquid in da bottle poured out.,100.00000000000004,30.739407647563215,41.11336169005198,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
the woman spoke with a foreign accent.,the woman was talkin' with a foreign accent.,she came from a wealthy family.,she come from a rich family.,she migrated from another country.,she moved here from another country.,51.33450480401705,19.64073254502566,43.47208719449914,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1
the boy's mouth stung.,dat boy mouth was stingin'.,he ate a pepper.,he ate a pepper.,he blew out the candle.,he blew out the candle.,9.652434877402245,100.00000000000004,100.00000000000004,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
i finished a page of the book.,i finished a page of the book.,i ripped out the next page.,i tore out the next page.,i turned to the next page.,i flipped to the next page.,100.00000000000004,64.34588841607616,64.34588841607616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
the service at the restaurant was slow.,da service at da restaurant was slow.,there were many empty tables.,it was a lot of empty tables.,the restaurant was crowded.,da restaurant was packed.,41.11336169005198,20.556680845025987,23.643540225079384,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
i saw a woman getting robbed on the street.,i seen a woman gettin' robbed on the street.,i called 911.,i called 911.,i hailed a cab.,i called a cab.,46.713797772819994,100.00000000000004,42.72870063962342,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
my stomach hurt.,my stomach hurtin'.,i jogged on the treadmill.,i ran on the treadmill.,i ate birthday cake.,i ate birthday cake.,35.35533905932737,53.7284965911771,100.00000000000004,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
i put my plate in the sink.,i put my plate in the sink.,i finished eating.,i done ate.,i skipped dinner.,i skipped dinner.,100.00000000000004,18.99589214128981,100.00000000000004,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
the man closed the book.,the man closed the book.,he finished reading it.,he done read it.,it provoked him to think.,it made him think.,100.00000000000004,23.643540225079384,20.80119537801062,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
the boy read the novel aloud to his grandfather.,the boy read the novel out loud to his granddaddy.,his grandfather was deaf.,his granddaddy was deaf.,his grandfather was blind.,his granddaddy was blind.,41.72261448611506,42.72870063962342,42.72870063962342,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
my foot went numb.,my foot done went numb.,i put my shoes on.,i put my shoes on.,i shook my foot.,i shook my foot.,37.99178428257963,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the photographer got the child to smile.,the photographer got the kid to smile.,the photographer quickly snapped the child's photo.,de photographer snapped da child's photo real quick.,the photographer quickly changed the child's pose.,the photographer switched up the kid's pose real quick.,50.000000000000014,11.99014838091355,10.552670315936318,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
the window was opaque.,the window was foggy.,the glass was stained.,de glass was stained.,the blinds were open.,the blinds was open.,42.72870063962342,66.87403049764218,30.213753973567677,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
i slipped on the floor.,i slipped on da floor.,the tile was wet.,da tile was wet.,the tile was cracked.,da tile was cracked.,37.99178428257963,66.87403049764218,66.87403049764218,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
the man slid the razor across his chin.,the man slid the razor 'cross his chin.,his stubble grew.,his stubble done grew.,his stubble disappeared.,his stubble gone.,59.694917920196445,30.213753973567677,35.35533905932737,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
the woman took her family on vacation.,the woman took her family on vacation.,her husband got laid off.,her husband got fired.,she received a salary bonus.,she got a salary bonus.,100.00000000000004,34.98330125272253,53.7284965911771,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
the woman awakened.,the woman woke up.,she took sleeping pills.,she took some sleeping pills.,her husband was snoring.,her husband was sawin' logs.,23.643540225079384,37.99178428257963,32.46679154750991,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1
the woman sensed a pleasant smell.,the woman smelled somethin' nice.,she remembered to take her medication.,she 'membered to take her meds.,she was reminded of her childhood.,she was reminded of her come-up.,15.207218222740094,27.77619034011791,64.34588841607616,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1
the bar closed.,the bar done closed.,it was crowded.,it was packed.,it was 3 am.,it was 3 in the mornin'.,30.213753973567677,35.35533905932737,26.269098944241588,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1
the driver got pulled over by the police.,the driver got pulled over by the cops.,he was parking.,he was parkin'.,he was speeding.,he was drivin' fast.,75.06238537503395,35.35533905932737,23.643540225079384,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
the teacher took roll.,the teacher called roll.,she identified the students that were absent.,she pointed out the students that weren't there.,she gave her students a pop quiz.,she gave her students a pop quiz.,30.213753973567677,20.164945583740657,100.00000000000004,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
i pushed the pendulum.,i pushed da pendulum.,it slowed to a stop.,it slowed down to a stop.,it swung back and forth.,it was swingin' back and forth.,30.213753973567677,48.892302243490086,43.47208719449914,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
the child kicked the stack of blocks.,the kid kicked the stack of blocks.,the stack towered over the boy's head.,the stack was way taller than the boy's head.,the blocks scattered all over the rug.,the blocks all over the rug.,70.71067811865478,31.239399369202552,61.29752413741059,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
the teenager ran away from home.,the teenager ran away from home.,he relied on his parents.,he depended on his folks.,his parents abused him.,his folks did him wrong.,100.00000000000004,19.304869754804482,10.682175159905853,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
i botched the job interview.,i messed up the job interview.,the interviewer asked difficult questions.,the interviewer was askin' some tough questions.,i anticipated the interviewer's questions.,i was ready fo' what the interviewer was finna ask.,43.47208719449914,15.619699684601276,4.9323515694897075,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
the pharmaceutical company recalled the drug.,de pharmaceutical company pulled back dat drug.,users reported dangerous side effects.,folks been sayin' they got some dangerous side effects.,users got refills on their prescriptions.,folks got they prescriptions refilled.,15.619699684601276,26.269098944241588,9.042266054940777,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
the man looked at his watch.,the man checked his watch.,he realized he forgot something.,he realized he forgot somethin'.,he realized he was early.,he realized he was early.,32.159351091190125,53.7284965911771,100.00000000000004,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
i dabbed the floor with a paper towel.,i dabbed the floor wit' a paper towel.,i spilled juice on the floor.,i spilled juice on the floor.,the floor was permanently stained.,da floor got stains fo' good.,59.694917920196445,100.00000000000004,7.809849842300637,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
the bartender refused to serve the patron.,the bartender ain't serve the patron.,the patron was alone.,the patron was by theyself.,the patron was drunk.,the patron was lit.,42.38365628278778,32.46679154750991,42.72870063962342,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
i was confused by the professor's lecture.,i was confused by the professor's lecture.,i paid attention to the professor.,i listened to the professor.,i asked the professor questions.,i axed the professor questions.,100.00000000000004,45.48019047027906,53.7284965911771,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
the book was deemed inappropriate for children.,dey said dat book ain't right for kids.,schools banned it from its libraries.,schools banned it from they libraries.,teachers required students to read it.,teachers made students read it.,6.27465531099474,48.892302243490086,29.05925408079185,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1
the man begged for forgiveness.,da man begged fo' forgiveness.,the woman took pity on him.,the woman felt bad for him.,the woman joked around with him.,the woman was playin' wit him.,22.957488466614336,18.575057999133602,18.575057999133602,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
i received a package in the mail.,i got a package in the mail.,the package triggered my curiosity.,dat package piqued my curiosity.,i took the package to the post office.,i took the package to the post office.,70.71067811865478,32.46679154750991,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the surfer caught the wave.,the surfer caught the wave.,the wave carried her to the shore.,the wave brought her to the shore.,she paddled her board into the ocean.,she paddled her board into the ocean.,100.00000000000004,59.4603557501361,100.00000000000004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the speaker disarmed her debate opponent.,da speaker disarmed her debate opponent.,the speaker congratulated her opponent.,the speaker bigged up her opponent.,the speaker won the debate.,the speaker won dat debate.,80.91067115702207,30.739407647563215,37.99178428257963,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
i moved to a new city.,i moved to a new city. translates to aave as: i moved to a new city.,i found a better-paying job.,i found a job that pay better.,my son was born.,my son was born. in aave can be translated as: my son got born.,30.82627646062185,23.356898886410015,21.409092659758045,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
i avoided giving a straight answer to the question.,i dodged givin' a straight answer to the question.,the question made me uncomfortable.,dat question made me uncomfortable.,i wanted to be honest.,i wanted to keep it real.,66.06328636027612,75.98356856515926,26.269098944241588,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
the student received detention.,the student got detention.,he talked back to the teacher.,he sassed the teacher.,the teacher graded his homework.,the teacher graded his homework.,30.213753973567677,28.641904579795423,100.00000000000004,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
the boy's hands were shaking.,dat boy hands was shakin'.,he planned to ask the girl out.,he finna ask that girl out.,his palms were cold and sweaty.,his palms was cold and sweaty.,9.652434877402245,24.0785655451027,48.892302243490086,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1
